"Survey Year","Set count","Number of positive sets","ITIS-TSN","Species code","Scientific name","English common name","French common name","LSID","Biomass index","Lower interval","Upper interval","CV"
2005,198,141,"160617","044","SQUALUS SUCKLEYI","NORTH PACIFIC SPINY DOGFISH","AIGUILLAT DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:299224","3383368.8728203899","1514770.32102043","6237723.6337037496","0.36435550968026698"
2005,198,42,"160848","056","BERINGRAJA BINOCULATA","BIG SKATE","RAIE BIOCELLÉE","urn:lsid:marinespecies.org:taxname:1021330","761637.71488352504","453432.51954240701","1147125.2384723099","0.23975293350853"
2005,198,15,"160937","058","BATHYRAJA INTERRUPTA","SANDPAPER SKATE","RAIE RUGUEUSE","urn:lsid:marinespecies.org:taxname:271515","78156.507336407696","12273.1157606422","172340.40076146799","0.55828395031546596"
2005,198,40,"160851","059","RAJA RHINA","LONGNOSE SKATE","POCHETEAU LONG-NEZ","urn:lsid:marinespecies.org:taxname:271581","392732.55250453501","116295.29202011001","816755.89512343402","0.46027818828934303"
2005,198,189,"161015","066","HYDROLAGUS COLLIEI","SPOTTED RATFISH","CHIMÈRE D’AMÉRIQUE","urn:lsid:marinespecies.org:taxname:271406","6118713.7323684497","4500848.8958265902","8261000.9429073604","0.15316716334660099"
2005,198,86,"551209","096","CLUPEA PALLASII","PACIFIC HERRING","HARENG DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:151159","152465.56282739199","77584.744865776098","242893.939965186","0.27324145358879698"
2005,198,36,"162051","148","THALEICHTHYS PACIFICUS","EULACHON","EULAKANE","urn:lsid:marinespecies.org:taxname:282959","41560.514817278003","20380.031931969799","69361.149326312501","0.296429662822072"
2005,198,161,"164711","222","GADUS MACROCEPHALUS","PACIFIC COD","MORUE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:254538","1860793.40288282","1167812.4342885099","2836943.3987232801","0.234679466543251"
2005,198,58,"164792","225","MERLUCCIUS PRODUCTUS","PACIFIC HAKE","MERLU DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:272458","459670.64040610503","253716.35426237501","752016.24482883501","0.27150053632010002"
2005,198,73,"164719","226","MICROGADUS PROXIMUS","PACIFIC TOMCOD","POULAMON DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:275873","898847.58642435598","356905.48380649299","1588020.7211720999","0.36158027180600999"
2005,198,107,"934083","228","GADUS CHALCOGRAMMUS","WALLEYE POLLOCK","GOBERGE DE L’ALASKA","urn:lsid:marinespecies.org:taxname:300735","1718380.53143655","830382.67944310699","3023314.8264446999","0.33539360255237"
2005,198,16,"630999","245","LYCODES PACIFICUS","BLACKBELLY EELPOUT","LYCODE À VENTRE NOIR","urn:lsid:marinespecies.org:taxname:274116","2349.0287731429398","508.52607312963102","5194.6285713733496","0.54516515669689403"
2005,198,20,"630414","361","AMMODYTES PERSONATUS","PACIFIC SAND LANCE","LANÇON GOURDEAU","urn:lsid:marinespecies.org:taxname:272967","12675.533338692499","1343.0934538430499","35835.081532197401","0.68181359959906096"
2005,198,13,"166706","394","SEBASTES ALEUTIANUS/MELANOSTICTUS COMPLEX","ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX","SÉBASTE","urn:lsid:marinespecies.org:taxname:126175","51230.693247048701","25675.779562805499","79740.849772600297","0.27049925325063401"
2005,198,46,"166707","396","SEBASTES ALUTUS","PACIFIC OCEAN PERCH","SÉBASTE À LONGUE MÂCHOIRE","urn:lsid:marinespecies.org:taxname:254573","331616.62441844499","187631.357506862","520975.829406515","0.26039023368439201"
2005,198,30,"166710","401","SEBASTES BABCOCKI","REDBANDED ROCKFISH","SÉBASTE À BANDES ROUGES","urn:lsid:marinespecies.org:taxname:274775","623851.39065669302","410917.73832191201","891645.490964317","0.19673402617782601"
2005,198,49,"166711","405","SEBASTES BREVISPINIS","SILVERGRAY ROCKFISH","SÉBASTE ARGENTÉ","urn:lsid:marinespecies.org:taxname:274778","411787.114783753","239466.887521786","614124.38559248496","0.233023366459813"
2005,198,13,"166713","407","SEBASTES CAURINUS","COPPER ROCKFISH","SÉBASTE CUIVRÉ","urn:lsid:marinespecies.org:taxname:274780","116620.23622887299","7230.7320723434004","321122.19445820799","0.79794553956717396"
2005,198,14,"166717","414","SEBASTES ELONGATUS","GREENSTRIPED ROCKFISH","SÉBASTE À RAYURES VERTES","urn:lsid:marinespecies.org:taxname:274788","4707.4317559969704","1896.2108162857501","8080.7681170928399","0.34252779865180499"
2005,198,24,"166720","418","SEBASTES FLAVIDUS","YELLOWTAIL ROCKFISH","SÉBASTE À QUEUE JAUNE","urn:lsid:marinespecies.org:taxname:274795","1490399.9822571401","129183.555153958","3989913.0979290302","0.787594697600563"
2005,198,41,"166726","424","SEBASTES MALIGER","QUILLBACK ROCKFISH","SÉBASTE À DOS ÉPINEUX","urn:lsid:marinespecies.org:taxname:274815","192932.489842354","101226.736916907","308923.56414646999","0.27349222551839297"
2005,198,10,"166733","435","SEBASTES PAUCISPINIS","BOCACCIO","BOCACCIO","urn:lsid:marinespecies.org:taxname:274833","19206.8679010831","6753.8006625318503","35365.344367894802","0.37010738223379003"
2005,198,13,"166734","437","SEBASTES PINNIGER","CANARY ROCKFISH","SÉBASTE CANARI","urn:lsid:marinespecies.org:taxname:274836","20616.381448417102","5665.9664655126899","39720.368391556898","0.44306426544496302"
2005,198,12,"166736","439","SEBASTES PRORIGER","REDSTRIPE ROCKFISH","SÉBASTE À RAIE ROUGE","urn:lsid:marinespecies.org:taxname:274838","98666.922556867401","17235.403645598701","235117.157396161","0.56487278580328504"
2005,198,8,"166740","442","SEBASTES RUBERRIMUS","YELLOWEYE ROCKFISH","SÉBASTE AUX YEUX JAUNES","urn:lsid:marinespecies.org:taxname:274844","14702.114455357399","4869.3335351321502","28230.614774494199","0.387738930503921"
2005,198,8,"166744","450","SEBASTES ZACENTRUS","SHARPCHIN ROCKFISH","SÉBASTE À MENTON POINTU","urn:lsid:marinespecies.org:taxname:274869","4200.5778580472297","59.077874102697699","10756.612825964899","0.66648653021665305"
2005,198,18,"166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","229298.042527621","77072.404389311996","433229.61839003803","0.40724943416105902"
2005,198,66,"167123","455","ANOPLOPOMA FIMBRIA","SABLEFISH","MORUE CHARBONNIÈRE","urn:lsid:marinespecies.org:taxname:159463","1026354.90310328","487306.60581637803","1769161.197472","0.31433724245709599"
2005,198,23,"167110","461","HEXAGRAMMOS DECAGRAMMUS","KELP GREENLING","SOURCIL DE VARECH","urn:lsid:marinespecies.org:taxname:240732","40243.276942943601","18297.2300018848","68161.639971631201","0.31918256282503699"
2005,198,65,"167116","467","OPHIODON ELONGATUS","LINGCOD","MORUE-LINGUE","urn:lsid:marinespecies.org:taxname:240745","187850.21527049801","118441.722333917","259974.22549421099","0.19137562521784399"
2005,198,62,"172716","596","CITHARICHTHYS SORDIDUS","PACIFIC SANDDAB","LIMANDE SORDIDE","urn:lsid:marinespecies.org:taxname:275694","631344.73288692604","230911.04734062601","1164612.0672659201","0.37416065297714102"
2005,198,139,"172862","602","ATHERESTHES STOMIAS","ARROWTOOTH FLOUNDER","PLIE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:279792","14534763.0343023","9046115.9208350908","21509616.4815333","0.22616332691159399"
2005,198,93,"172868","607","EOPSETTA JORDANI","PETRALE SOLE","PLIE DE CALIFORNIE","urn:lsid:marinespecies.org:taxname:280690","159003.23572679501","118720.25731095301","207489.36754225299","0.141223214320186"
2005,198,128,"172978","610","GLYPTOCEPHALUS ZACHIRUS","REX SOLE","PLIE ROYALE","urn:lsid:marinespecies.org:taxname:274287","2185559.9166397699","1708977.8106420401","2711224.5752898599","0.118906554863266"
2005,198,75,"172875","612","HIPPOGLOSSOIDES ELASSODON","FLATHEAD SOLE","PLIE À TÊTE PLATE","urn:lsid:marinespecies.org:taxname:274289","500526.06429506699","271919.77800143702","818412.89662697096","0.27373265372343297"
2005,198,127,"172932","614","HIPPOGLOSSUS STENOLEPIS","PACIFIC HALIBUT","FLÉTAN DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:274290","1886161.01122898","1450887.0730437301","2379605.9269710099","0.122167664634052"
2005,198,27,"172919","619","ISOPSETTA ISOLEPIS","BUTTER SOLE","PLIE À ÉCAILLES RÉGULIÈRES","urn:lsid:marinespecies.org:taxname:281189","69953.067450655697","31118.492892469101","112455.744112247","0.30340913201085201"
2005,198,106,"172917","621","LEPIDOPSETTA BILINEATA","SOUTHERN ROCK SOLE","FAUSSE LIMANDE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:281305","1875254.8716726101","1333010.2045851401","2495218.41488131","0.15910530962910599"
2005,198,46,"172871","625","LYOPSETTA EXILIS","SLENDER SOLE","PLIE MINCE","urn:lsid:marinespecies.org:taxname:281452","19234.364005533102","12669.7491181649","27000.698249220801","0.188952792629694"
2005,198,113,"172887","626","MICROSTOMUS PACIFICUS","DOVER SOLE","LIMANDE-SOLE","urn:lsid:marinespecies.org:taxname:274294","3050018.5396785298","1652803.8197234301","4627694.9876218596","0.258014776354064"
2005,198,156,"172921","628","PAROPHRYS VETULUS","ENGLISH SOLE","CARLOTTIN ANGLAIS","urn:lsid:marinespecies.org:taxname:254393","2719805.69913746","2025628.96352279","3519977.02456873","0.137060025325144"
2005,198,10,"172893","631","PLATICHTHYS STELLATUS","STARRY FLOUNDER","FLET ÉTOILÉ","urn:lsid:marinespecies.org:taxname:154781","56736.565827392697","11579.545652224801","141892.85465306","0.64434622810790099"
2005,198,50,"172924","635","PLEURONICHTHYS DECURRENS","CURLFIN SOLE","PLIE À NAGEOIRES FRISÉES","urn:lsid:marinespecies.org:taxname:282292","38767.114761443299","25698.9328184234","56022.583281118998","0.192514344424563"
2005,198,48,"172928","636","PSETTICHTHYS MELANOSTICTUS","SAND SOLE","SOLE DE SABLE","urn:lsid:marinespecies.org:taxname:282396","482318.94040972798","269409.53710657998","725720.24510473898","0.239114494286403"
2007,132,106,"160617","044","SQUALUS SUCKLEYI","NORTH PACIFIC SPINY DOGFISH","AIGUILLAT DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:299224","1262840.08630587","932275.06873765599","1640199.3687042799","0.141775086897965"
2007,132,30,"160848","056","BERINGRAJA BINOCULATA","BIG SKATE","RAIE BIOCELLÉE","urn:lsid:marinespecies.org:taxname:1021330","773317.07584214304","400349.19232083199","1226636.6301693099","0.26674662341542499"
2007,132,10,"160937","058","BATHYRAJA INTERRUPTA","SANDPAPER SKATE","RAIE RUGUEUSE","urn:lsid:marinespecies.org:taxname:271515","14815.396074083799","4965.94170100675","26729.151963122498","0.382599955855428"
2007,132,29,"160851","059","RAJA RHINA","LONGNOSE SKATE","POCHETEAU LONG-NEZ","urn:lsid:marinespecies.org:taxname:271581","205822.85780895501","126090.589413108","290161.80552540498","0.20731762199847101"
2007,132,125,"161015","066","HYDROLAGUS COLLIEI","SPOTTED RATFISH","CHIMÈRE D’AMÉRIQUE","urn:lsid:marinespecies.org:taxname:271406","5816670.0538038705","4190879.4053253299","7687047.3174109403","0.151957837758148"
2007,132,43,"551209","096","CLUPEA PALLASII","PACIFIC HERRING","HARENG DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:151159","88666.840329979197","46236.924131089298","142200.54433599699","0.28112858443129202"
2007,132,42,"162051","148","THALEICHTHYS PACIFICUS","EULACHON","EULAKANE","urn:lsid:marinespecies.org:taxname:282959","19308.455757677199","11899.0871952335","28915.837691942401","0.22622483183424599"
2007,132,72,"164711","222","GADUS MACROCEPHALUS","PACIFIC COD","MORUE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:254538","559180.74046944303","352906.244603756","812819.45439134503","0.20413100634499401"
2007,132,25,"164792","225","MERLUCCIUS PRODUCTUS","PACIFIC HAKE","MERLU DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:272458","119825.22296935599","63228.7085947538","184145.00461899201","0.25334979050539602"
2007,132,36,"164719","226","MICROGADUS PROXIMUS","PACIFIC TOMCOD","POULAMON DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:275873","405213.42703603301","116839.36884478699","786293.15097327298","0.42031566493781097"
2007,132,73,"934083","228","GADUS CHALCOGRAMMUS","WALLEYE POLLOCK","GOBERGE DE L’ALASKA","urn:lsid:marinespecies.org:taxname:300735","1360490.7703012","494156.36123871699","2573878.54897191","0.38299538318209803"
2007,132,13,"630999","245","LYCODES PACIFICUS","BLACKBELLY EELPOUT","LYCODE À VENTRE NOIR","urn:lsid:marinespecies.org:taxname:274116","3080.04824469597","358.24681787860698","8206.6701269759506","0.67716711252192296"
2007,132,21,"630414","361","AMMODYTES PERSONATUS","PACIFIC SAND LANCE","LANÇON GOURDEAU","urn:lsid:marinespecies.org:taxname:272967","16562.2135122129","2421.5811008373898","42609.523946711","0.71206852105281604"
2007,132,7,"166706","394","SEBASTES ALEUTIANUS/MELANOSTICTUS COMPLEX","ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX","SÉBASTE","urn:lsid:marinespecies.org:taxname:126175","130808.796438736","10173.517655880099","288569.22479854798","0.57106842089364096"
2007,132,40,"166707","396","SEBASTES ALUTUS","PACIFIC OCEAN PERCH","SÉBASTE À LONGUE MÂCHOIRE","urn:lsid:marinespecies.org:taxname:254573","450089.65974344697","191010.028896145","798581.38775468396","0.344031091122809"
2007,132,36,"166710","401","SEBASTES BABCOCKI","REDBANDED ROCKFISH","SÉBASTE À BANDES ROUGES","urn:lsid:marinespecies.org:taxname:274775","334216.89523810701","187538.60742386099","532832.74889776495","0.26454641448159599"
2007,132,41,"166711","405","SEBASTES BREVISPINIS","SILVERGRAY ROCKFISH","SÉBASTE ARGENTÉ","urn:lsid:marinespecies.org:taxname:274778","252511.203222732","153742.93876406099","356591.22352277598","0.215356701217574"
2007,132,12,"166713","407","SEBASTES CAURINUS","COPPER ROCKFISH","SÉBASTE CUIVRÉ","urn:lsid:marinespecies.org:taxname:274780","949425.02557257505","28834.740705769698","2468801.5058291499","0.70686395387821199"
2007,132,6,"166717","414","SEBASTES ELONGATUS","GREENSTRIPED ROCKFISH","SÉBASTE À RAYURES VERTES","urn:lsid:marinespecies.org:taxname:274788","4379.0135549011402","992.06226658102901","8860.1017436623097","0.44528646323710502"
2007,132,34,"166720","418","SEBASTES FLAVIDUS","YELLOWTAIL ROCKFISH","SÉBASTE À QUEUE JAUNE","urn:lsid:marinespecies.org:taxname:274795","2100923.1219351399","143794.14664077299","5777786.0429232903","0.83733076265853301"
2007,132,31,"166726","424","SEBASTES MALIGER","QUILLBACK ROCKFISH","SÉBASTE À DOS ÉPINEUX","urn:lsid:marinespecies.org:taxname:274815","383587.30741040403","117120.08005593299","768868.71596981201","0.443006016275304"
2007,132,8,"166733","435","SEBASTES PAUCISPINIS","BOCACCIO","BOCACCIO","urn:lsid:marinespecies.org:taxname:274833","47781.327013844297","15290.906669645799","85349.901451910104","0.37317579992195599"
2007,132,14,"166734","437","SEBASTES PINNIGER","CANARY ROCKFISH","SÉBASTE CANARI","urn:lsid:marinespecies.org:taxname:274836","32222.3693225674","13237.8400538037","56084.777881950402","0.34315546383784801"
2007,132,10,"166736","439","SEBASTES PRORIGER","REDSTRIPE ROCKFISH","SÉBASTE À RAIE ROUGE","urn:lsid:marinespecies.org:taxname:274838","16455.667854611798","1854.45130734483","43544.011870060102","0.73040295084043405"
2007,132,4,"166740","442","SEBASTES RUBERRIMUS","YELLOWEYE ROCKFISH","SÉBASTE AUX YEUX JAUNES","urn:lsid:marinespecies.org:taxname:274844","20167.203829583901","4353.9153819368903","42654.7817506016","0.48696203532508697"
2007,132,16,"166744","450","SEBASTES ZACENTRUS","SHARPCHIN ROCKFISH","SÉBASTE À MENTON POINTU","urn:lsid:marinespecies.org:taxname:274869","28163.510457173401","3100.1804346808199","66798.499850434993","0.59121209953920695"
2007,132,22,"166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","334799.09762737999","137440.08178742201","597152.65185470204","0.34986418974859401"
2007,132,45,"167123","455","ANOPLOPOMA FIMBRIA","SABLEFISH","MORUE CHARBONNIÈRE","urn:lsid:marinespecies.org:taxname:159463","543041.19131452905","260051.74942454399","838763.92164104304","0.27223945027866803"
2007,132,9,"167110","461","HEXAGRAMMOS DECAGRAMMUS","KELP GREENLING","SOURCIL DE VARECH","urn:lsid:marinespecies.org:taxname:240732","50857.806411386999","12973.724875063899","105713.632037426","0.47736767197086299"
2007,132,46,"167116","467","OPHIODON ELONGATUS","LINGCOD","MORUE-LINGUE","urn:lsid:marinespecies.org:taxname:240745","228905.08425806201","148256.27269555701","317520.668476997","0.18923333859015001"
2007,132,39,"172716","596","CITHARICHTHYS SORDIDUS","PACIFIC SANDDAB","LIMANDE SORDIDE","urn:lsid:marinespecies.org:taxname:275694","1146020.08258839","320719.68970997399","2437277.8870845102","0.45111499798799998"
2007,132,102,"172862","602","ATHERESTHES STOMIAS","ARROWTOOTH FLOUNDER","PLIE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:279792","6572022.1601953804","4387185.5471380502","9434223.01002598","0.193858932132109"
2007,132,53,"172868","607","EOPSETTA JORDANI","PETRALE SOLE","PLIE DE CALIFORNIE","urn:lsid:marinespecies.org:taxname:280690","266914.88762324699","145480.34616504799","412851.62461314001","0.26168229341714"
2007,132,89,"172978","610","GLYPTOCEPHALUS ZACHIRUS","REX SOLE","PLIE ROYALE","urn:lsid:marinespecies.org:taxname:274287","2346453.6460492099","1680104.8708096801","3097633.3124184702","0.15118744000927101"
2007,132,52,"172875","612","HIPPOGLOSSOIDES ELASSODON","FLATHEAD SOLE","PLIE À TÊTE PLATE","urn:lsid:marinespecies.org:taxname:274289","305578.24547187501","174556.02972132101","468946.14278947603","0.25067455844754799"
2007,132,68,"172932","614","HIPPOGLOSSUS STENOLEPIS","PACIFIC HALIBUT","FLÉTAN DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:274290","987024.54503436398","656143.28652084398","1461769.63730256","0.211855552089113"
2007,132,23,"172919","619","ISOPSETTA ISOLEPIS","BUTTER SOLE","PLIE À ÉCAILLES RÉGULIÈRES","urn:lsid:marinespecies.org:taxname:281189","203837.961855776","51941.347099261897","407367.61109439901","0.45995928658435697"
