"Survey Year","Trip identifier","Vessel name","Trip start date","Trip end date","GMA","PFMA","Set number","Set date","Start latitude","Start longitude","End latitude","End longitude","Bottom depth (m)","Tow duration (min)","Distance towed (m)","Vessel speed (m/min)","Trawl door spread (m)","Trawl mouth opening height (m)"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","1","2005-05-27","52.685866","-130.615550","52.702116","-130.611066","137.000000",22,"1830.000","98.33530","72.80","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","2","2005-05-28","52.689816","-130.857683","52.703283","-130.842766","91.000000",22,"1870.000","86.66840","70.40","2.6"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","3","2005-05-28","52.711066","-130.800366","52.727250","-130.797333","95.000000",22,"1810.000","95.00190","67.50","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","4","2005-05-28","52.675683","-130.770033","52.689733","-130.764866","106.000000",22,"1600.000","83.33500","67.10","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","5","2005-05-28","52.691633","-130.672350","52.707516","-130.673500","124.000000",22,"1770.000","90.00180","72.60","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","10","2005-05-28","52.775616","-130.608600","52.762333","-130.621966","124.000000",21,"1760.000","111.66890","71.70","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","11","2005-05-28","52.758916","-130.537750","52.771933","-130.553883","137.000000",24,"1820.000","105.00210","72.80","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","12","2005-05-29","52.834533","-130.852766","52.817016","-130.852616","54.000000",22,"1950.000","95.00190","64.40","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","13","2005-05-29","52.788950","-130.804783","52.771983","-130.820950","76.000000",22,"2200.000","111.66890","65.90","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","14","2005-05-29","52.767566","-130.807733","52.749666","-130.817916","82.000000",22,"2130.000","108.33550","65.80","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","15","2005-05-29","52.751333","-130.832300","52.735983","-130.850233","80.000000",22,"2100.000","101.66870","66.30","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","16","2005-05-29","52.742083","-130.857600","52.759166","-130.860733","73.000000",23,"1910.000","93.33520","64.30","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","17","2005-05-29","52.973933","-130.991600","52.986566","-130.971333","29.000000",22,"2000.000","108.33550","55.30","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","18","2005-05-29","52.962600","-130.921166","52.975516","-130.900850","31.000000",23,"1990.000","120.00240","54.50","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","19","2005-05-29","52.917616","-130.976916","52.928250","-130.960733","29.000000",16,"1610.000","115.00230","58.20",NA
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","20","2005-05-29","52.832766","-130.917250","52.848933","-130.912866","45.000000",21,"1820.000","93.33520","62.00","2.4"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","21","2005-05-30","52.899166","-130.813216","52.912550","-130.804066","45.000000",17,"1610.000","105.00210","56.80",NA
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","23","2005-05-30","52.930166","-130.604233","52.913783","-130.602616","96.000000",22,"1830.000","98.33530","70.10","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","24","2005-05-30","52.967116","-130.661900","52.973750","-130.686266","73.000000",22,"1840.000","90.00180","65.50",NA
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","25","2005-05-30","52.990383","-130.723533","52.994950","-130.746450","96.000000",22,"1620.000","80.00160","66.50","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","26","2005-05-30","53.010316","-130.725316","53.017850","-130.749016","102.000000",22,"1800.000","90.00180","69.70","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","27","2005-05-30","53.022950","-130.729950","53.035083","-130.745300","118.000000",24,"1700.000","83.33500","63.80","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","28","2005-05-30","53.056933","-130.778216","53.046300","-130.762916","117.000000",23,"1580.000","80.00160","69.50","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","29","2005-05-30","53.019900","-130.708816","53.034116","-130.727216","144.000000",23,"2010.000","105.00210","75.60","2.2"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","30","2005-05-30","52.996466","-130.848250","53.010016","-130.864466","64.000000",20,"1870.000","111.66890","64.50","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","31","2005-05-30","53.008700","-130.834033","52.991666","-130.819900","73.000000",23,"2120.000","101.66870","64.00","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","106","32","2005-05-31","53.100733","-130.843516","53.086883","-130.857983","100.000000",23,"1820.000","93.33520","69.20","2.7"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","33","2005-05-31","53.057783","-130.917383","53.066950","-130.895583","60.000000",22,"1790.000","90.00180","61.30","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","34","2005-05-31","53.030933","-131.013933","53.021783","-130.991866","34.000000",21,"1830.000","98.33530","55.10","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","35","2005-05-31","53.077500","-131.105433","53.093250","-131.117883","43.000000",23,"1980.000","95.00190","61.80","3.1"
2005,"59140","FROSTI","2005-05-25","2005-06-29","07","102","37","2005-05-31","53.047816","-131.388533","53.039450","-131.411666","23.000000",23,"1810.000","98.33530","54.80","3.1"
