"Survey Year","Set count","Number of positive sets","ITIS-TSN","Species code","Scientific name","English common name","French common name","LSID","Biomass index","Lower interval","Upper interval","CV"
2003,228,123,"160617","044","SQUALUS SUCKLEYI","NORTH PACIFIC SPINY DOGFISH","AIGUILLAT DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:299224","2751464.6340055899","986206.72268946399","5393788.6938306103","0.41552645746782801"
2003,228,12,"160848","056","BERINGRAJA BINOCULATA","BIG SKATE","RAIE BIOCELLÉE","urn:lsid:marinespecies.org:taxname:1021330","653668.29002154898","89701.035358415","1629635.2605910499","0.71880079483804304"
2003,228,24,"160937","058","BATHYRAJA INTERRUPTA","SANDPAPER SKATE","RAIE RUGUEUSE","urn:lsid:marinespecies.org:taxname:271515","22437.202156109401","11134.2597851424","36955.554279917298","0.30367832417073498"
2003,228,79,"160851","059","RAJA RHINA","LONGNOSE SKATE","POCHETEAU LONG-NEZ","urn:lsid:marinespecies.org:taxname:271581","480062.49406980199","328118.909979944","705264.63072337897","0.19549698467273999"
2003,228,142,"161015","066","HYDROLAGUS COLLIEI","SPOTTED RATFISH","CHIMÈRE D’AMÉRIQUE","urn:lsid:marinespecies.org:taxname:271406","3404332.32259937","523769.66294877097","8870694.4131830893","0.72090723734524997"
2003,228,28,"551209","096","CLUPEA PALLASII","PACIFIC HERRING","HARENG DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:151159","8421.3359941775307","4357.1022390544404","13385.385437340399","0.26861352420866003"
2003,228,31,"162051","148","THALEICHTHYS PACIFICUS","EULACHON","EULAKANE","urn:lsid:marinespecies.org:taxname:282959","32575.5714195742","12758.4989827605","55188.208573219403","0.33284879062130501"
2003,228,99,"164711","222","GADUS MACROCEPHALUS","PACIFIC COD","MORUE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:254538","815138.14483855304","565637.66326038097","1082266.5465536499","0.16075471603885599"
2003,228,84,"164792","225","MERLUCCIUS PRODUCTUS","PACIFIC HAKE","MERLU DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:272458","1149847.8455930301","838654.327007827","1502156.75352315","0.14912046862469699"
2003,228,84,"934083","228","GADUS CHALCOGRAMMUS","WALLEYE POLLOCK","GOBERGE DE L’ALASKA","urn:lsid:marinespecies.org:taxname:300735","238355.047217563","166936.612664346","330817.56010627799","0.17540808729215401"
2003,228,43,"630999","245","LYCODES PACIFICUS","BLACKBELLY EELPOUT","LYCODE À VENTRE NOIR","urn:lsid:marinespecies.org:taxname:274116","53208.913997816497","23343.518350562899","90788.277119562495","0.33241579663563903"
2003,228,68,"166706","394","SEBASTES ALEUTIANUS/MELANOSTICTUS COMPLEX","ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX","SÉBASTE","urn:lsid:marinespecies.org:taxname:126175","973009.47999167501","281567.69474698103","1810519.9085486999","0.40575616951530502"
2003,228,167,"166707","396","SEBASTES ALUTUS","PACIFIC OCEAN PERCH","SÉBASTE À LONGUE MÂCHOIRE","urn:lsid:marinespecies.org:taxname:254573","22056105.863407299","16378511.339397101","28663562.8478406","0.14063445669917901"
2003,228,118,"166710","401","SEBASTES BABCOCKI","REDBANDED ROCKFISH","SÉBASTE À BANDES ROUGES","urn:lsid:marinespecies.org:taxname:274775","842739.12212276296","585583.57080826897","1126613.2880067199","0.164897083575783"
2003,228,7,"166712","403","SEBASTES BOREALIS","SHORTRAKER ROCKFISH","SÉBASTE BORÉAL","urn:lsid:marinespecies.org:taxname:274777","64980.689162512099","15266.573542616899","130093.423150559","0.44829350490202702"
2003,228,116,"166711","405","SEBASTES BREVISPINIS","SILVERGRAY ROCKFISH","SÉBASTE ARGENTÉ","urn:lsid:marinespecies.org:taxname:274778","2291174.3319962001","1613660.0885654101","3060796.6241961801","0.15894404985097399"
2003,228,24,"166715","410","SEBASTES CRAMERI","DARKBLOTCHED ROCKFISH","SÉBASTE TACHETÉ","urn:lsid:marinespecies.org:taxname:274785","140043.85279466299","40964.410423228001","293385.63307462499","0.49214437549526902"
2003,228,27,"166716","412","SEBASTES DIPLOPROA","SPLITNOSE ROCKFISH","GUEULE-DE-LOUP","urn:lsid:marinespecies.org:taxname:274787","2934216.9778608698","246293.954602532","8003334.4490792397","0.76992259509323802"
2003,228,46,"166717","414","SEBASTES ELONGATUS","GREENSTRIPED ROCKFISH","SÉBASTE À RAYURES VERTES","urn:lsid:marinespecies.org:taxname:274788","111339.219442364","63403.719066010897","176286.17111253901","0.26241699755660503"
2003,228,12,"166719","417","SEBASTES ENTOMELAS","WIDOW ROCKFISH","VEUVE","urn:lsid:marinespecies.org:taxname:274791","165284.52031152201","11361.6841573644","400173.654939759","0.60831796236948599"
2003,228,30,"166720","418","SEBASTES FLAVIDUS","YELLOWTAIL ROCKFISH","SÉBASTE À QUEUE JAUNE","urn:lsid:marinespecies.org:taxname:274795","619869.144382642","202606.12883983401","1172492.8264148401","0.40588373620713503"
2003,228,31,"166723","421","SEBASTES HELVOMACULATUS","ROSETHORN ROCKFISH","SÉBASTE ROSACÉ","urn:lsid:marinespecies.org:taxname:274799","73911.728482793405","38342.316793837097","117233.069671258","0.27031554963205101"
2003,228,5,"166726","424","SEBASTES MALIGER","QUILLBACK ROCKFISH","SÉBASTE À DOS ÉPINEUX","urn:lsid:marinespecies.org:taxname:274815","85318.514216095995","7370.04632013421","198352.99969817401","0.57615293669158896"
2003,228,11,"166733","435","SEBASTES PAUCISPINIS","BOCACCIO","BOCACCIO","urn:lsid:marinespecies.org:taxname:274833","107222.244508059","21955.550441001898","283926.47426061699","0.63797022361214495"
2003,228,37,"166734","437","SEBASTES PINNIGER","CANARY ROCKFISH","SÉBASTE CANARI","urn:lsid:marinespecies.org:taxname:274836","1140953.0882534599","502411.691953998","1996386.07007345","0.33123982786876599"
2003,228,44,"166736","439","SEBASTES PRORIGER","REDSTRIPE ROCKFISH","SÉBASTE À RAIE ROUGE","urn:lsid:marinespecies.org:taxname:274838","2467228.1624740702","575544.45237287995","5854074.8894798998","0.58383176528777603"
2003,228,35,"166737","440","SEBASTES REEDI","YELLOWMOUTH ROCKFISH","SÉBASTE À BOUCHE JAUNE","urn:lsid:marinespecies.org:taxname:274840","1407009.8693885501","505484.420192916","2554756.4889340899","0.36723234589966902"
2003,228,20,"166740","442","SEBASTES RUBERRIMUS","YELLOWEYE ROCKFISH","SÉBASTE AUX YEUX JAUNES","urn:lsid:marinespecies.org:taxname:274844","201322.753767927","74299.477492451799","365475.09750257898","0.37189052616344398"
2003,228,4,"166743","448","SEBASTES WILSONI","PYGMY ROCKFISH","SÉBASTE PYGMÉE","urn:lsid:marinespecies.org:taxname:274868","3063.55013416881","205.782013528421","7514.1863378550897","0.66731263038669097"
2003,228,35,"166744","450","SEBASTES ZACENTRUS","SHARPCHIN ROCKFISH","SÉBASTE À MENTON POINTU","urn:lsid:marinespecies.org:taxname:274869","265603.75253572903","93966.358451134205","490411.33708489599","0.373610384195036"
2003,228,99,"166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","969092.57832257706","766108.33302682103","1174358.2186922601","0.106762798543288"
2003,228,131,"167123","455","ANOPLOPOMA FIMBRIA","SABLEFISH","MORUE CHARBONNIÈRE","urn:lsid:marinespecies.org:taxname:159463","1131807.7910877799","878962.50439716899","1439389.4762405299","0.122161684304743"
2003,228,53,"167116","467","OPHIODON ELONGATUS","LINGCOD","MORUE-LINGUE","urn:lsid:marinespecies.org:taxname:240745","710269.647138634","389579.338458932","1165224.71488288","0.27820605586011399"
2003,228,2,"167287","505","HEMITRIPTERUS BOLINI","BIGMOUTH SCULPIN","HÉMITRIPTÈRE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:254541","6121.9724749021098","0.0","16056.7243451838","0.73018878793992203"
2003,228,16,"167293","510","ICELINUS FILAMENTOSUS","THREADFIN SCULPIN","ICÉLINE FILAMENTEUSE","urn:lsid:marinespecies.org:taxname:281136","9023.8075063762499","3090.7981908957599","16146.9185977126","0.37031429587008102"
2003,228,31,"172716","596","CITHARICHTHYS SORDIDUS","PACIFIC SANDDAB","LIMANDE SORDIDE","urn:lsid:marinespecies.org:taxname:275694","1202991.5157735799","589886.52991956798","1949928.6976328101","0.28132277184274701"
2003,228,203,"172862","602","ATHERESTHES STOMIAS","ARROWTOOTH FLOUNDER","PLIE À GRANDE BOUCHE","urn:lsid:marinespecies.org:taxname:279792","5749819.9427846596","4602075.0016857199","7184630.4547784496","0.110155092197111"
2003,228,66,"172868","607","EOPSETTA JORDANI","PETRALE SOLE","PLIE DE CALIFORNIE","urn:lsid:marinespecies.org:taxname:280690","297620.612940997","199476.15044600199","410350.67068237503","0.176860194585716"
2003,228,191,"172978","610","GLYPTOCEPHALUS ZACHIRUS","REX SOLE","PLIE ROYALE","urn:lsid:marinespecies.org:taxname:274287","2340210.5878691901","1906302.1236342001","2825407.4466360901","9.9469523002353302E-2"
2003,228,77,"172875","612","HIPPOGLOSSOIDES ELASSODON","FLATHEAD SOLE","PLIE À TÊTE PLATE","urn:lsid:marinespecies.org:taxname:274289","538553.86437582294","352570.19751642901","754873.16956735298","0.188836337349437"
2003,228,47,"172932","614","HIPPOGLOSSUS STENOLEPIS","PACIFIC HALIBUT","FLÉTAN DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:274290","802895.09360229305","463443.79767006898","1196455.4223036","0.23212977506589499"
2003,228,30,"172917","621","LEPIDOPSETTA BILINEATA","SOUTHERN ROCK SOLE","FAUSSE LIMANDE DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:281305","726387.32722229604","406318.66357048898","1089878.0368560101","0.24144297849978999"
2003,228,77,"172871","625","LYOPSETTA EXILIS","SLENDER SOLE","PLIE MINCE","urn:lsid:marinespecies.org:taxname:281452","84528.445026280795","50360.485256878703","129236.737183807","0.24061870094823901"
2003,228,165,"172887","626","MICROSTOMUS PACIFICUS","DOVER SOLE","LIMANDE-SOLE","urn:lsid:marinespecies.org:taxname:274294","1799031.59566249","1390754.33273925","2212238.7573741502","0.118894177759097"
2003,228,75,"172921","628","PAROPHRYS VETULUS","ENGLISH SOLE","CARLOTTIN ANGLAIS","urn:lsid:marinespecies.org:taxname:254393","1119373.84848665","666931.85874280299","1660469.15790852","0.222975025582416"
2003,228,11,"172924","635","PLEURONICHTHYS DECURRENS","CURLFIN SOLE","PLIE À NAGEOIRES FRISÉES","urn:lsid:marinespecies.org:taxname:282292","14476.9065913915","6252.6466293922804","23959.948109947702","0.30806423977674902"
2004,229,88,"160617","044","SQUALUS SUCKLEYI","NORTH PACIFIC SPINY DOGFISH","AIGUILLAT DU PACIFIQUE","urn:lsid:marinespecies.org:taxname:299224","11749515.4046697","689888.72022508201","33415838.996084001","0.90007285223007405"
2004,229,14,"160848","056","BERINGRAJA BINOCULATA","BIG SKATE","RAIE BIOCELLÉE","urn:lsid:marinespecies.org:taxname:1021330","200333.19766227601","80261.010004589101","333824.81937493099","0.33068315727295"
2004,229,14,"160937","058","BATHYRAJA INTERRUPTA","SANDPAPER SKATE","RAIE RUGUEUSE","urn:lsid:marinespecies.org:taxname:271515","14175.3659077754","5935.1405073337901","25931.262052193","0.370546609584951"
2004,229,77,"160851","059","RAJA RHINA","LONGNOSE SKATE","POCHETEAU LONG-NEZ","urn:lsid:marinespecies.org:taxname:271581","540087.57748966396","384542.218789701","697559.15997550101","0.15307839401148399"
