"Survey Year","Trip identifier","Set number","ITIS-TSN","Species code","Scientific name","English common name","French common name","LSID","Catch weight (kg)","Catch count (pieces)"
2006,"62066","1","160942","057","BATHYRAJA TRACHURA","ROUGHTAIL SKATE","RAIE À QUEUE RUDE","urn:lsid:marinespecies.org:taxname:271538","1.36","2"
2006,"62066","1","161612","087","NEMICHTHYIDAE","SNIPE EELS","POISSONS-AVOCETTES","urn:lsid:marinespecies.org:taxname:125432",,"1"
2006,"62066","1","69459","10A","GASTROPODA","GASTROPODS","GASTROPODES","urn:lsid:marinespecies.org:taxname:101",".12",
2006,"62066","1","162080","152","BATHYLAGIDAE","DEEPSEA SMELTS","GARCETTES","urn:lsid:marinespecies.org:taxname:125509",".12","3"
2006,"62066","1","162247","167","TACTOSTOMA MACROPUS","LONGFIN DRAGONFISH","DRAGON À LONGUES NAGEOIRES","urn:lsid:marinespecies.org:taxname:282922",".18","5"
2006,"62066","1","162279","171","CHAULIODUS MACOUNI","PACIFIC VIPERFISH","CHAULIODE FÉROCE","urn:lsid:marinespecies.org:taxname:275055",".26",
2006,"62066","1","162463","180","PARALEPIDIDAE","BARRACUDINAS","LUSSIONS","urn:lsid:marinespecies.org:taxname:125447",".20","1"
2006,"62066","1","162584","189","DIAPHUS THETA","CALIFORNIA HEADLIGHTFISH","LAMPE-DE-TÊTE À TACHES BLANCHES","urn:lsid:marinespecies.org:taxname:272694",,"2"
2006,"62066","1","162664","198","STENOBRACHIUS LEUCOPSARUS","NORTHERN LAMPFISH","LANTERNE DU NORD","urn:lsid:marinespecies.org:taxname:254363",".28","11"
2006,"62066","1","164673","220","ANTIMORA MICROLEPIS","PACIFIC FLATNOSE","ANTIMORE À PETITES ÉCAILLES","urn:lsid:marinespecies.org:taxname:272460","3.04",
2006,"62066","1","165219","235","BOTHROCARA BRUNNEUM","TWOLINE EELPOUT","LYCODE À DEUX LIGNES","urn:lsid:marinespecies.org:taxname:279397",".18","2"
2006,"62066","1","165335","250","CORYPHAENOIDES CINEREUS","POPEYE","GRENADIER CENDRÉ","urn:lsid:marinespecies.org:taxname:272326","10.78",
2006,"62066","1","165334","251","CORYPHAENOIDES ACROLEPIS","PACIFIC GRENADIER","GRENADIER À ÉCAILLES RUDES","urn:lsid:marinespecies.org:taxname:272313","155.81",
2006,"62066","1","649753","254","CORYPHAENOIDES FILIFER","THREADFIN GRENADIER",,"urn:lsid:marinespecies.org:taxname:272331","1.46",
2006,"62066","1","165427","256","ALBATROSSIA PECTORALIS","GIANT GRENADIER","GRENADIER PECTORAL","urn:lsid:marinespecies.org:taxname:236135","27.28",
2006,"62066","1","166108","264","POROMITRA CRASSICEPS","CRESTED BIGSCALE","HEAUME À CRÊTE","urn:lsid:marinespecies.org:taxname:127273",".02","2"
2006,"62066","1","46861","2A0","PORIFERA","SPONGES","ÉPONGES","urn:lsid:marinespecies.org:taxname:558",".54",
2006,"62066","1","51483","3G0","SCYPHOZOA","JELLYFISH","MÉDUSES","urn:lsid:marinespecies.org:taxname:135220",".32","6"
2006,"62066","1","52485","3L0","ACTINIARIA","ANEMONE",,"urn:lsid:marinespecies.org:taxname:1360",".38","2"
2006,"62066","1","52629","3N2","STOMPHIA","STOMPHIA",,"urn:lsid:marinespecies.org:taxname:100716",".04","1"
2006,"62066","1","52348","3U0","PENNATULACEA","SEA PENS",,"urn:lsid:marinespecies.org:taxname:1367",,"1"
2006,"62066","1","166783","451","SEBASTOLOBUS ALASCANUS","SHORTSPINE THORNYHEAD","SÉBASTOLOBE À COURTES ÉPINES","urn:lsid:marinespecies.org:taxname:282740","3.64","5"
2006,"62066","1","166784","453","SEBASTOLOBUS ALTIVELIS","LONGSPINE THORNYHEAD","SÉBASTOLOBE À LONGUES ÉPINES","urn:lsid:marinespecies.org:taxname:282741","18.80",
2006,"62066","1","167123","455","ANOPLOPOMA FIMBRIA","SABLEFISH","MORUE CHARBONNIÈRE","urn:lsid:marinespecies.org:taxname:159463","53.58",
2006,"62066","1","156961","4HI","NEARCHASTER VARIABILIS","NEARCHASTER VARIABILIS",,"urn:lsid:marinespecies.org:taxname:380822",".04","3"
2006,"62066","1","157009","4JI","HIPPASTERIA CALIFORNICA","HIPPASTERIA CALIFORNICA",,"urn:lsid:marinespecies.org:taxname:254890",".16","1"
2006,"62066","1","157203","4YX","MYXODERMA SACCULATUM","MYXODERMA SACCULATUM",,"urn:lsid:marinespecies.org:taxname:255087",".06","2"
2006,"62066","1","157345","5QA","EURYALINA","BASKET STARS",,"urn:lsid:marinespecies.org:taxname:123115",,"2"
2006,"62066","1","172866","605","EMBASSICHTHYS BATHYBIUS","DEEPSEA SOLE","PLIE DE PROFONDEUR","urn:lsid:marinespecies.org:taxname:280641","1.14","2"
2006,"62066","1","158492","6UA","MOLPADIIDAE","MOLPADIIDAE",,"urn:lsid:marinespecies.org:taxname:123196",".62","1"
2006,"62066","1","82367","92A","TEUTHIDA","SQUIDS",,"urn:lsid:marinespecies.org:taxname:11716",".12","2"
2006,"62066","1","82484","92H","HISTIOTEUTHIDAE","HISTIOTEUTHIDAE",,"urn:lsid:marinespecies.org:taxname:11749",".08","1"
2006,"62066","1","93294","OAA","AMPHIPODA","AMPHIPODS","AMPHIPODES","urn:lsid:marinespecies.org:taxname:1135",,"1"
2006,"62066","1","96982","SCF","PANDALUS DANAE","COONSTRIPE SHRIMP","CREVETTE DE DANAÉ","urn:lsid:marinespecies.org:taxname:515462",,"2"
2006,"62066","1","96107","TEA","OPLOPHORIDAE","DEEPSEA SHRIMPS",,"urn:lsid:marinespecies.org:taxname:106786",,"1"
2006,"62066","1","97946","VOG","PARALOMIS MULTISPINA","MANY-SPINED KING CRAB","CRABE ROYAL ÉPINEUX","urn:lsid:marinespecies.org:taxname:378131",,
2006,"62066","1","98427","ZAD","CHIONOECETES","TANNER CRABS",,"urn:lsid:marinespecies.org:taxname:106898",".90","3"
2006,"62066","1","98431","ZAG","CHIONOECETES TANNERI","GROOVED TANNER CRAB","CRABE RAINURÉ","urn:lsid:marinespecies.org:taxname:442165",".15","2"
2006,"62066","1","159643","ZLA","SALPIDA","SALPS",,"urn:lsid:marinespecies.org:taxname:137214",,"1"
2006,"62066","2","160942","057","BATHYRAJA TRACHURA","ROUGHTAIL SKATE","RAIE À QUEUE RUDE","urn:lsid:marinespecies.org:taxname:271538",".64","1"
2006,"62066","2","161015","066","HYDROLAGUS COLLIEI","SPOTTED RATFISH","CHIMÈRE D’AMÉRIQUE","urn:lsid:marinespecies.org:taxname:271406","9.20",
2006,"62066","2","934083","228","GADUS CHALCOGRAMMUS","WALLEYE POLLOCK","GOBERGE DE L’ALASKA","urn:lsid:marinespecies.org:taxname:300735","4.44","12"
2006,"62066","2","165261","243","LYCODES DIAPTERUS","BLACK EELPOUT","LYCODE NOIRE","urn:lsid:marinespecies.org:taxname:254597",".64",
