EXPOCODE,CRUISE_ID,STATION_ID,EVENT_NO,NISKIN_NO,YEAR_UTC,MONTH_UTC,DAY_UTC,TIME_UTC,YEARDAY_UTC,LONGITUDE_DEC,LATITUDE_DEC,CTDPRS_DBAR,DEPTH_METER,CTDTMP_ITS90_DEG_C,TMP_REVERSING_DEG_C,CTDSAL_PSS78,CTDSAL_FLAG_W,SALINITY_PSS78,SALINITY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,TA_UMOL_KG,TA_FLAG_W,NITRATE_NITRITE_UMOL_KG,NITRATE_NITRITE_FLAG_W,SILICATE_UMOL_KG,SILICATE_FLAG_W,PHOSPHATE_UMOL_KG,PHOSPHATE_FLAG_W,original_filename,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,0,-999,10.4,-999,-999,31.553,2,300.1,2,1913.5,2,-999,9,0.0,2,3.5,2,0.29,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,10,-999,10.4,-999,-999,31.553,2,-999,9,1912.8,2,-999,9,0.0,2,2.5,2,0.21,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,20,-999,10.34,-999,-999,31.562,2,303.1,2,1912.8,2,-999,9,0.0,2,3.0,2,0.22,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,30,-999,8.47,-999,-999,32.43,2,292.6,2,2045.8,2,-999,9,13.4,2,17.4,2,1.25,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,50,-999,8.03,-999,-999,32.605,2,260.9,2,2040.0,2,-999,9,11.2,2,13.2,2,1.10,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,74,-999,7.78,-999,-999,33.299,2,182.3,2,2129.6,2,-999,9,22.6,2,25.6,2,1.77,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,99,-999,7.9,-999,-999,33.585,2,147.8,2,2163.9,2,-999,9,26.2,2,30.5,2,1.91,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,124,-999,7.77,-999,-999,33.78,2,127.7,2,2182.6,2,-999,9,28.5,2,35.5,2,2.12,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,149,-999,7.42,-999,-999,33.882,2,121.8,2,2191.5,2,-999,9,29.7,2,38.8,2,2.19,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,173,-999,7.09,-999,-999,33.91,2,122.2,2,2202.9,2,-999,9,30.4,2,41.6,2,2.23,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,199,-999,6.77,-999,-999,33.926,2,115.1,2,2207.9,2,-999,9,31.6,2,45.4,2,2.29,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,248,-999,6.35,-999,-999,33.967,2,95.9,2,2233.3,2,-999,9,34.0,2,52.6,2,2.46,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,297,-999,5.84,-999,-999,33.973,2,81.4,2,2252.4,2,-999,9,36.1,2,60.5,2,2.63,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,396,-999,5.38,-999,-999,34.046,2,51.8,2,2287.9,2,-999,9,39.4,2,73.1,2,2.90,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,495,-999,4.9,-999,-999,34.103,2,36.1,2,2309.5,2,-999,9,41.5,2,84.8,2,3.08,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,595,-999,4.59,-999,-999,34.166,2,23.3,2,2331.9,2,-999,9,42.6,2,95.6,2,3.18,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,792,-999,3.97,-999,-999,34.303,2,15.5,2,2352.9,2,-999,9,43.5,2,115.4,2,3.27,2,1990-001-0001.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,4,1,-999,1990,5,10,21:14,130,-126.67,48.65,-999,990,-999,3.52,-999,-999,34.393,2,17.6,2,2367.4,2,-999,9,43.9,2,129.9,2,3.30,2,1990-001-0001.bot,,,,,,,,,,,,,,
