PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,14.5026,14.4984,3.929968,3.929276,2.6220,1.984,0.147,32.1300,32.1272,6.1775,1023.8748,1023.8735,1501.77,1501.76,0.0000e+00
3.000,14.4926,14.4940,3.929184,3.929152,2.6250,2.976,0.314,32.1308,32.1293,6.1877,1023.8820,1023.8806,1501.76,1501.76,0.0000e+00
4.000,14.4871,14.4941,3.928741,3.929288,2.6233,3.968,0.594,32.1310,32.1301,6.1788,1023.8877,1023.8856,1501.76,1501.78,0.0000e+00
5.000,14.4922,14.4901,3.929281,3.928857,2.6233,4.960,0.659,32.1313,32.1291,6.1899,1023.8914,1023.8901,1501.79,1501.78,0.0000e+00
6.000,14.4827,14.4768,3.928453,3.927879,2.6255,5.952,0.522,32.1312,32.1309,6.2035,1023.8977,1023.8987,1501.77,1501.76,0.0000e+00
7.000,14.4677,14.4625,3.927141,3.926484,2.6270,6.944,0.440,32.1313,32.1296,6.1885,1023.9054,1023.9052,1501.74,1501.72,0.0000e+00
8.000,14.4609,14.4473,3.926541,3.925209,2.6194,7.936,0.720,32.1311,32.1302,6.1680,1023.9112,1023.9133,1501.74,1501.69,0.0000e+00
9.000,14.4344,14.4011,3.924014,3.922867,2.6215,8.928,0.726,32.1296,32.1468,6.1877,1023.9200,1023.9402,1501.67,1501.58,0.0000e+00
10.000,14.0414,14.0163,3.888995,3.888098,2.6191,9.920,0.553,32.1353,32.1480,6.2658,1024.0104,1024.0254,1500.41,1500.35,0.0000e+00
11.000,13.7417,13.6920,3.863960,3.863442,2.6371,10.912,0.564,32.1545,32.1915,6.3656,1024.0908,1024.1294,1499.47,1499.35,0.0000e+00
12.000,13.0869,12.9747,3.812252,3.805481,2.6332,11.904,0.446,32.2240,32.2556,6.4125,1024.2799,1024.3263,1497.39,1497.05,0.0000e+00
13.000,12.4051,12.2749,3.756338,3.750380,2.6384,12.896,0.626,32.2758,32.3310,6.4428,1024.4557,1024.5235,1495.16,1494.79,0.0000e+00
14.000,11.9163,11.8871,3.715942,3.719141,2.6101,13.888,0.825,32.3091,32.3656,6.3048,1024.5784,1024.6276,1493.55,1493.52,0.0000e+00
15.000,11.4383,11.4182,3.678080,3.679278,2.5744,14.880,0.628,32.3569,32.3862,6.2460,1024.7074,1024.7338,1491.97,1491.93,0.0000e+00
16.000,11.1327,11.1233,3.654484,3.654458,2.5192,15.872,0.423,32.3931,32.4011,6.1728,1024.7950,1024.8029,1490.96,1490.94,0.0000e+00
17.000,10.9363,10.9215,3.639233,3.639808,2.4883,16.864,0.758,32.4152,32.4340,6.1365,1024.8514,1024.8686,1490.31,1490.28,0.0000e+00
18.000,10.7566,10.7481,3.626130,3.626527,2.4720,17.856,0.744,32.4439,32.4553,6.1081,1024.9097,1024.9200,1489.73,1489.71,0.0000e+00
19.000,10.6846,10.6824,3.621041,3.621202,2.4500,18.848,0.599,32.4567,32.4602,6.0399,1024.9366,1024.9398,1489.50,1489.50,0.0000e+00
20.000,10.6230,10.6195,3.616145,3.616357,2.4252,19.840,0.557,32.4622,32.4675,5.9839,1024.9561,1024.9608,1489.31,1489.30,0.0000e+00
21.000,10.5670,10.5660,3.611910,3.611939,2.4033,20.832,0.400,32.4693,32.4705,5.9925,1024.9759,1024.9770,1489.13,1489.13,0.0000e+00
22.000,10.5382,10.5351,3.610092,3.610174,2.4004,21.824,0.663,32.4763,32.4800,6.0462,1024.9908,1024.9942,1489.06,1489.05,0.0000e+00
23.000,10.5042,10.5030,3.608296,3.608449,2.4024,22.816,0.871,32.4883,32.4909,6.0547,1025.0105,1025.0127,1488.96,1488.96,0.0000e+00
24.000,10.4418,10.4398,3.603521,3.604041,2.4021,23.808,0.834,32.4957,32.5027,6.0526,1025.0314,1025.0373,1488.77,1488.77,0.0000e+00
25.000,10.4047,10.4045,3.600679,3.600745,2.3987,24.800,0.467,32.4999,32.5008,6.0317,1025.0456,1025.0463,1488.66,1488.66,0.0000e+00
26.000,10.3836,10.3821,3.598913,3.599129,2.3908,25.792,0.778,32.5006,32.5042,5.9940,1025.0543,1025.0573,1488.60,1488.60,0.0000e+00
27.000,10.3457,10.3383,3.595632,3.595443,2.3861,26.784,0.830,32.5011,32.5059,5.9844,1025.0657,1025.0706,1488.48,1488.46,0.0000e+00
28.000,10.2705,10.2722,3.589043,3.589590,2.3784,27.776,0.429,32.5017,32.5057,5.9534,1025.0834,1025.0862,1488.23,1488.24,0.0000e+00
29.000,10.2083,10.2051,3.583310,3.583604,2.3616,28.768,0.779,32.4993,32.5051,5.8779,1025.0966,1025.1017,1488.02,1488.01,0.0000e+00
30.000,10.1463,10.1421,3.577299,3.578067,2.3527,29.760,1.033,32.4938,32.5053,5.8605,1025.1073,1025.1169,1487.80,1487.80,0.0000e+00
31.000,10.0715,10.0668,3.570258,3.570376,2.3442,30.752,0.735,32.4894,32.4948,5.8448,1025.1209,1025.1259,1487.54,1487.53,0.0000e+00
32.000,9.9705,9.9716,3.560687,3.561809,2.3116,31.744,0.543,32.4828,32.4931,5.7446,1025.1371,1025.1450,1487.19,1487.20,0.0000e+00
33.000,9.8357,9.8207,3.547938,3.548048,2.2995,32.735,0.954,32.4742,32.4888,5.7568,1025.1572,1025.1712,1486.70,1486.67,0.0000e+00
34.000,9.7290,9.7234,3.538430,3.538826,2.2954,33.727,0.829,32.4732,32.4822,5.8045,1025.1785,1025.1865,1486.33,1486.32,0.0000e+00
35.000,9.6136,9.6061,3.529448,3.529723,2.2991,34.719,0.404,32.4853,32.4948,5.8442,1025.2113,1025.2200,1485.94,1485.93,0.0000e+00
36.000,9.4324,9.4282,3.514756,3.514704,2.2935,35.711,0.616,32.4984,32.5017,5.8017,1025.2555,1025.2587,1485.31,1485.30,0.0000e+00
37.000,9.4252,9.4252,3.514878,3.514912,2.2839,36.703,0.510,32.5058,32.5061,5.7633,1025.2669,1025.2672,1485.31,1485.31,0.0000e+00
38.000,9.4234,9.4232,3.515011,3.515077,2.2710,37.695,0.590,32.5083,32.5092,5.7221,1025.2737,1025.2744,1485.32,1485.32,0.0000e+00
39.000,9.4083,9.4054,3.514087,3.514107,2.2641,38.687,0.932,32.5121,32.5149,5.7122,1025.2837,1025.2863,1485.29,1485.28,0.0000e+00
40.000,9.3890,9.3882,3.512959,3.512993,2.2599,39.679,0.840,32.5177,32.5187,5.7111,1025.2956,1025.2966,1485.24,1485.24,0.0000e+00
41.000,9.3790,9.3795,3.512468,3.512552,2.2535,40.671,0.436,32.5212,32.5217,5.7037,1025.3046,1025.3048,1485.23,1485.23,0.0000e+00
42.000,9.3710,9.3705,3.512154,3.512197,2.2476,41.662,0.774,32.5248,32.5257,5.6944,1025.3132,1025.3140,1485.22,1485.22,0.0000e+00
43.000,9.3634,9.3627,3.512048,3.512096,2.2463,42.654,0.898,32.5302,32.5313,5.6911,1025.3232,1025.3242,1485.21,1485.21,0.0000e+00
44.000,9.3519,9.3520,3.511555,3.511584,2.2432,43.646,0.597,32.5351,32.5353,5.6768,1025.3334,1025.3335,1485.19,1485.19,0.0000e+00
45.000,9.3462,9.3449,3.511201,3.511168,2.2369,44.638,0.376,32.5362,32.5371,5.6629,1025.3397,1025.3406,1485.19,1485.19,0.0000e+00
46.000,9.3316,9.3310,3.510060,3.510083,2.2341,45.630,0.645,32.5373,32.5381,5.6616,1025.3475,1025.3482,1485.15,1485.15,0.0000e+00
47.000,9.3229,9.3230,3.509691,3.509746,2.2318,46.622,0.552,32.5410,32.5414,5.6500,1025.3563,1025.3566,1485.14,1485.14,0.0000e+00
48.000,9.3061,9.3020,3.508400,3.508387,2.2279,47.613,0.720,32.5426,32.5461,5.6189,1025.3648,1025.3682,1485.10,1485.09,0.0000e+00
49.000,9.2734,9.2728,3.505641,3.505730,2.2205,48.605,0.696,32.5434,32.5449,5.5799,1025.3752,1025.3765,1485.00,1485.00,0.0000e+00
50.000,9.2355,9.2300,3.501865,3.502384,2.2080,49.597,0.469,32.5385,32.5489,5.5274,1025.3820,1025.3910,1484.87,1484.86,0.0000e+00
51.000,9.0294,9.0325,3.482667,3.483660,2.1919,50.589,0.602,32.5275,32.5351,5.5054,1025.4105,1025.4159,1484.11,1484.13,0.0000e+00
52.000,8.9652,8.9614,3.477167,3.477232,2.1831,51.581,0.677,32.5287,32.5329,5.5067,1025.4260,1025.4298,1483.89,1483.88,0.0000e+00
53.000,8.9455,8.9465,3.475638,3.475717,2.1770,52.573,0.575,32.5304,32.5304,5.5095,1025.4349,1025.4348,1483.83,1483.84,0.0000e+00
54.000,8.9498,8.9502,3.476239,3.476277,2.1722,53.564,0.455,32.5323,32.5324,5.5045,1025.4403,1025.4403,1483.87,1483.87,0.0000e+00
55.000,8.9504,8.9507,3.476439,3.476401,2.1687,54.556,0.506,32.5334,32.5327,5.4973,1025.4456,1025.4451,1483.89,1483.89,0.0000e+00
56.000,8.9554,8.9565,3.477186,3.477396,2.1653,55.548,0.756,32.5361,32.5373,5.4613,1025.4515,1025.4523,1483.93,1483.93,0.0000e+00
57.000,8.9454,8.9450,3.479588,3.479582,2.1587,56.540,0.825,32.5698,32.5701,5.4116,1025.4840,1025.4843,1483.95,1483.95,0.0000e+00
58.000,8.9177,8.9166,3.479768,3.479816,2.1448,57.532,0.487,32.5966,32.5981,5.3312,1025.5139,1025.5152,1483.90,1483.89,0.0000e+00
59.000,8.8558,8.8471,3.478970,3.478964,2.1111,58.523,0.458,32.6447,32.6527,5.1681,1025.5656,1025.5732,1483.74,1483.72,0.0000e+00
60.000,8.8028,8.8032,3.477788,3.477804,2.0855,59.515,0.832,32.6808,32.6805,5.0651,1025.6067,1025.6064,1483.60,1483.61,0.0000e+00
61.000,8.7933,8.7916,3.481269,3.481179,2.0650,60.507,0.846,32.7255,32.7260,4.9936,1025.6477,1025.6484,1483.64,1483.63,0.0000e+00
62.000,8.7584,8.7591,3.481488,3.481496,2.0374,61.499,0.478,32.7595,32.7590,4.9152,1025.6842,1025.6837,1483.57,1483.57,0.0000e+00
63.000,8.7224,8.7213,3.484611,3.484693,1.9949,62.490,0.491,32.8251,32.8269,4.8003,1025.7457,1025.7473,1483.53,1483.53,0.0000e+00
64.000,8.7226,8.7235,3.488920,3.488836,1.9746,63.482,0.648,32.8695,32.8678,4.7648,1025.7850,1025.7835,1483.60,1483.60,0.0000e+00
65.000,8.7278,8.7295,3.490734,3.490842,1.9591,64.474,0.584,32.8832,32.8828,4.7424,1025.7995,1025.7989,1483.66,1483.66,0.0000e+00
66.000,8.7334,8.7341,3.492007,3.491967,1.9452,65.466,0.576,32.8908,32.8898,4.6911,1025.8091,1025.8083,1483.70,1483.70,0.0000e+00
67.000,8.7192,8.7183,3.493275,3.493269,1.9282,66.457,0.579,32.9168,32.9177,4.6238,1025.8363,1025.8371,1483.70,1483.69,0.0000e+00
68.000,8.6961,8.6961,3.494605,3.494611,1.9088,67.449,0.426,32.9518,32.9519,4.5637,1025.8718,1025.8718,1483.67,1483.67,0.0000e+00
69.000,8.6790,8.6772,3.494982,3.494993,1.8821,68.441,0.491,32.9712,32.9730,4.4340,1025.8942,1025.8959,1483.65,1483.64,0.0000e+00
70.000,8.6535,8.6526,3.495761,3.495695,1.8584,69.433,0.832,33.0027,33.0029,4.3173,1025.9273,1025.9276,1483.61,1483.60,0.0000e+00
71.000,8.6232,8.6196,3.498067,3.497975,1.8375,70.424,0.882,33.0548,33.0572,4.2503,1025.9773,1025.9797,1483.57,1483.56,0.0000e+00
72.000,8.5941,8.5943,3.500210,3.500156,1.8169,71.416,0.616,33.1041,33.1033,4.2167,1026.0250,1026.0244,1483.54,1483.54,0.0000e+00
73.000,8.5863,8.5867,3.500933,3.500942,1.7897,72.408,0.404,33.1185,33.1183,4.1891,1026.0420,1026.0418,1483.55,1483.55,0.0000e+00
74.000,8.5816,8.5818,3.501343,3.501336,1.7760,73.399,0.680,33.1268,33.1265,4.1655,1026.0538,1026.0535,1483.56,1483.56,0.0000e+00
75.000,8.5750,8.5748,3.501857,3.501870,1.7671,74.391,0.561,33.1379,33.1383,4.1396,1026.0680,1026.0684,1483.56,1483.56,0.0000e+00
76.000,8.5677,8.5673,3.502408,3.502410,1.7552,75.383,0.565,33.1501,33.1505,4.0884,1026.0833,1026.0837,1483.57,1483.57,0.0000e+00
77.000,8.5529,8.5525,3.502989,3.502968,1.7432,76.375,0.623,33.1697,33.1698,4.0490,1026.1055,1026.1056,1483.55,1483.55,0.0000e+00
78.000,8.5399,8.5393,3.503468,3.503475,1.7304,77.366,0.414,33.1864,33.1870,4.0105,1026.1251,1026.1257,1483.54,1483.54,0.0000e+00
79.000,8.5283,8.5284,3.503895,3.503875,1.7138,78.358,0.652,33.2013,33.2010,3.9109,1026.1431,1026.1429,1483.53,1483.53,0.0000e+00
80.000,8.5029,8.5006,3.505507,3.505352,1.6971,79.350,0.812,33.2418,33.2423,3.8442,1026.1833,1026.1841,1483.50,1483.50,0.0000e+00
81.000,8.4759,8.4758,3.507110,3.507072,1.6821,80.341,0.605,33.2837,33.2834,3.8203,1026.2248,1026.2246,1483.47,1483.47,0.0000e+00
82.000,8.4675,8.4679,3.507551,3.507544,1.6640,81.333,0.364,33.2958,33.2954,3.7916,1026.2402,1026.2397,1483.47,1483.47,0.0000e+00
83.000,8.4599,8.4594,3.507737,3.507711,1.6488,82.325,0.550,33.3045,33.3047,3.7188,1026.2526,1026.2529,1483.47,1483.47,0.0000e+00
84.000,8.4227,8.4204,3.508378,3.508341,1.6321,83.316,0.682,33.3460,33.3478,3.6475,1026.2954,1026.2972,1483.40,1483.39,0.0000e+00
85.000,8.3823,8.3810,3.508590,3.508562,1.6171,84.308,0.610,33.3860,33.3870,3.6110,1026.3375,1026.3385,1483.31,1483.31,0.0000e+00
86.000,8.3568,8.3562,3.508628,3.508594,1.6005,85.300,0.466,33.4101,33.4104,3.5761,1026.3649,1026.3652,1483.26,1483.26,0.0000e+00
87.000,8.3335,8.3322,3.508711,3.508684,1.5876,86.291,0.695,33.4327,33.4336,3.5427,1026.3907,1026.3916,1483.22,1483.21,0.0000e+00
88.000,8.2992,8.2964,3.508620,3.508580,1.5787,87.283,0.657,33.4639,33.4661,3.5270,1026.4249,1026.4270,1483.14,1483.14,0.0000e+00
89.000,8.2659,8.2661,3.508295,3.508277,1.5699,88.274,0.447,33.4917,33.4912,3.5206,1026.4563,1026.4559,1483.07,1483.07,0.0000e+00
90.000,8.2607,8.2689,3.508403,3.508476,1.5630,89.266,0.471,33.4973,33.4903,3.5183,1026.4660,1026.4593,1483.07,1483.10,0.0000e+00
91.000,8.2573,8.2628,3.508469,3.508550,1.5602,90.258,0.696,33.5007,33.4963,3.5159,1026.4738,1026.4695,1483.08,1483.10,0.0000e+00
92.000,8.2532,8.2580,3.508475,3.508529,1.5584,91.249,0.746,33.5042,33.5003,3.5107,1026.4817,1026.4779,1483.09,1483.10,0.0000e+00
93.000,8.2521,8.2558,3.508511,3.508552,1.5561,92.241,0.499,33.5052,33.5022,3.5047,1026.4872,1026.4843,1483.10,1483.11,0.0000e+00
94.000,8.2507,8.2536,3.508560,3.508594,1.5535,93.233,0.528,33.5066,33.5042,3.4995,1026.4931,1026.4908,1483.11,1483.12,0.0000e+00
95.000,8.2459,8.2495,3.508582,3.508609,1.5519,94.224,0.629,33.5110,33.5078,3.4921,1026.5018,1026.4988,1483.12,1483.13,0.0000e+00
96.000,8.2418,8.2449,3.508595,3.508611,1.5487,95.216,0.394,33.5145,33.5117,3.4856,1026.5098,1026.5071,1483.12,1483.13,0.0000e+00
97.000,8.2408,8.2435,3.508624,3.508636,1.5479,96.207,0.832,33.5153,33.5129,3.4940,1026.5151,1026.5128,1483.14,1483.14,0.0000e+00
98.000,8.2367,8.2397,3.508523,3.508563,1.5480,97.199,1.015,33.5177,33.5153,3.4963,1026.5221,1026.5198,1483.14,1483.15,0.0000e+00
99.000,8.2166,8.2223,3.507778,3.507845,1.5481,98.191,0.690,33.5285,33.5238,3.4979,1026.5382,1026.5336,1483.09,1483.11,0.0000e+00
100.000,8.1649,8.1714,3.505357,3.505415,1.5445,99.182,0.820,33.5516,33.5461,3.4760,1026.5687,1026.5634,1482.94,1482.96,0.0000e+00
101.000,8.1575,8.1620,3.506721,3.506657,1.5442,100.174,1.243,33.5728,33.5678,3.4802,1026.5910,1026.5864,1482.96,1482.97,0.0000e+00
102.000,8.1099,8.1222,3.503254,3.503736,1.5438,101.165,1.396,33.5810,33.5743,3.4854,1026.6091,1026.6021,1482.81,1482.85,0.0000e+00
103.000,8.0899,8.0998,3.501990,3.502199,1.5434,102.157,1.446,33.5862,33.5789,3.4863,1026.6209,1026.6136,1482.75,1482.78,0.0000e+00
104.000,8.0570,8.0693,3.500693,3.500848,1.5429,103.148,1.423,33.6034,33.5932,3.4869,1026.6438,1026.6340,1482.67,1482.70,0.0000e+00
105.000,8.0400,8.0504,3.500212,3.500331,1.5425,104.140,1.347,33.6141,33.6054,3.4877,1026.6593,1026.6509,1482.63,1482.66,0.0000e+00
106.000,8.0164,8.0262,3.499256,3.499428,1.5422,105.132,1.231,33.6261,33.6186,3.4871,1026.6768,1026.6694,1482.57,1482.60,0.0000e+00
107.000,7.9883,7.9983,3.497950,3.498149,1.5416,106.123,1.088,33.6387,33.6312,3.4818,1026.6955,1026.6881,1482.50,1482.53,0.0000e+00
108.000,7.9646,7.9739,3.496796,3.496891,1.5402,107.115,1.019,33.6486,33.6407,3.4699,1026.7113,1026.7037,1482.44,1482.46,0.0000e+00
109.000,7.9526,7.9596,3.496379,3.496456,1.5374,108.106,1.065,33.6552,33.6493,3.4555,1026.7229,1026.7172,1482.42,1482.44,0.0000e+00
110.000,7.9332,7.9406,3.496149,3.496185,1.5348,109.098,1.142,33.6710,33.6642,3.4474,1026.7427,1026.7363,1482.38,1482.40,0.0000e+00
111.000,7.9234,7.9299,3.496036,3.496073,1.5328,110.089,1.166,33.6788,33.6729,3.4463,1026.7548,1026.7492,1482.37,1482.39,0.0000e+00
112.000,7.9220,7.9268,3.496144,3.496162,1.5308,111.081,1.136,33.6808,33.6764,3.4458,1026.7612,1026.7570,1482.38,1482.39,0.0000e+00
113.000,7.9214,7.9253,3.496260,3.496281,1.5299,112.072,1.066,33.6822,33.6786,3.4474,1026.7669,1026.7635,1482.40,1482.41,0.0000e+00
