PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
4.000,15.8759,15.8895,3.910633,3.912029,2.6644,3.968,0.344,30.8531,30.8548,6.2141,1022.6055,1022.6039,1504.69,1504.73,0.0000e+00
5.000,14.8337,14.6878,3.841091,3.844340,2.6810,4.960,0.532,31.0565,31.2045,6.5255,1022.9880,1023.1314,1501.60,1501.30,0.0000e+00
6.000,12.0504,12.0037,3.655752,3.655601,2.7083,5.952,0.492,31.6174,31.6554,6.7324,1023.9799,1024.0181,1493.05,1492.93,0.0000e+00
7.000,11.2138,11.1652,3.602734,3.602761,2.6413,6.944,0.578,31.8172,31.8596,6.1598,1024.2919,1024.3335,1490.40,1490.28,0.0000e+00
8.000,10.3031,10.2492,3.548605,3.548612,2.5127,7.936,0.666,32.0749,32.1226,5.6320,1024.6543,1024.7005,1487.49,1487.36,0.0000e+00
9.000,9.7220,9.6966,3.511960,3.511625,2.3714,8.928,0.502,32.2207,32.2399,5.3112,1024.8687,1024.8879,1485.59,1485.52,0.0000e+00
10.000,9.4600,9.4599,3.495500,3.495446,2.2223,9.919,0.521,32.2873,32.2868,4.9444,1024.9678,1024.9674,1484.73,1484.73,0.0000e+00
11.000,9.2095,9.1845,3.480459,3.480654,2.1205,10.911,0.693,32.3586,32.3833,4.6216,1025.0677,1025.0909,1483.91,1483.85,0.0000e+00
12.000,8.9242,8.9114,3.461994,3.461746,2.0082,11.903,0.442,32.4265,32.4356,4.3999,1025.1699,1025.1790,1482.95,1482.92,0.0000e+00
13.000,8.8023,8.7968,3.454522,3.454393,1.9126,12.895,0.688,32.4597,32.4634,4.2524,1025.2193,1025.2230,1482.56,1482.54,0.0000e+00
14.000,8.6982,8.6893,3.448943,3.449108,1.8716,13.887,0.822,32.4964,32.5063,4.1872,1025.2685,1025.2776,1482.23,1482.21,0.0000e+00
15.000,8.5799,8.5771,3.442849,3.442868,1.8303,14.879,0.503,32.5409,32.5437,4.1286,1025.3259,1025.3285,1481.86,1481.85,0.0000e+00
16.000,8.4992,8.4941,3.438726,3.438587,1.7742,15.871,0.529,32.5716,32.5749,4.0884,1025.3667,1025.3700,1481.61,1481.60,0.0000e+00
17.000,8.4638,8.4615,3.436587,3.436630,1.7666,16.863,0.870,32.5813,32.5839,4.1578,1025.3842,1025.3865,1481.51,1481.50,0.0000e+00
18.000,8.3719,8.3601,3.432012,3.432079,1.7670,17.855,0.661,32.6178,32.6295,4.1928,1025.4311,1025.4420,1481.22,1481.19,0.0000e+00
19.000,8.2268,8.2238,3.424484,3.424524,1.7628,18.847,0.423,32.6725,32.6757,4.1871,1025.5001,1025.5031,1480.76,1480.75,0.0000e+00
20.000,8.1311,8.1250,3.420480,3.420518,1.7584,19.838,0.822,32.7188,32.7249,4.1771,1025.5551,1025.5608,1480.47,1480.46,0.0000e+00
21.000,8.1045,8.1036,3.420295,3.420314,1.7562,20.830,0.851,32.7411,32.7422,4.1879,1025.5811,1025.5820,1480.41,1480.41,0.0000e+00
22.000,8.0841,8.0831,3.420119,3.420154,1.7575,21.822,0.491,32.7579,32.7592,4.2301,1025.6018,1025.6030,1480.38,1480.37,0.0000e+00
23.000,8.0376,8.0336,3.419635,3.419598,1.7716,22.814,0.516,32.7958,32.7991,4.3035,1025.6430,1025.6461,1480.26,1480.25,0.0000e+00
24.000,7.9861,7.9845,3.421860,3.421874,1.7760,23.806,0.899,32.8674,32.8690,4.2976,1025.7112,1025.7127,1480.17,1480.17,0.0000e+00
25.000,7.9782,7.9781,3.422677,3.422707,1.7770,24.798,0.904,32.8831,32.8835,4.2904,1025.7292,1025.7295,1480.18,1480.18,0.0000e+00
26.000,7.9766,7.9771,3.422982,3.423044,1.7779,25.790,0.513,32.8874,32.8876,4.2867,1025.7374,1025.7375,1480.20,1480.20,0.0000e+00
27.000,7.9767,7.9772,3.423343,3.423391,1.7777,26.781,0.527,32.8906,32.8906,4.2770,1025.7445,1025.7445,1480.22,1480.22,0.0000e+00
28.000,7.9757,7.9761,3.423768,3.423826,1.7771,27.773,0.737,32.8956,32.8959,4.2703,1025.7532,1025.7533,1480.23,1480.24,0.0000e+00
29.000,7.9756,7.9760,3.423911,3.423976,1.7749,28.765,0.528,32.8968,32.8971,4.2508,1025.7587,1025.7588,1480.25,1480.25,0.0000e+00
30.000,7.9747,7.9751,3.424387,3.424442,1.7694,29.757,0.612,32.9022,32.9025,4.2113,1025.7676,1025.7678,1480.27,1480.27,0.0000e+00
31.000,7.9713,7.9715,3.426116,3.426133,1.7630,30.749,0.736,32.9234,32.9234,4.1844,1025.7893,1025.7893,1480.30,1480.30,0.0000e+00
32.000,7.9684,7.9688,3.426862,3.426935,1.7564,31.741,0.475,32.9337,32.9341,4.1656,1025.8024,1025.8027,1480.32,1480.32,0.0000e+00
33.000,7.9643,7.9644,3.427678,3.427734,1.7433,32.732,0.511,32.9457,32.9463,4.0901,1025.8170,1025.8175,1480.33,1480.34,0.0000e+00
34.000,7.9583,7.9583,3.429722,3.429705,1.7316,33.724,0.825,32.9728,32.9726,4.0119,1025.8438,1025.8435,1480.36,1480.36,0.0000e+00
35.000,7.9555,7.9557,3.432303,3.432264,1.7176,34.716,0.846,33.0024,33.0019,3.9390,1025.8720,1025.8715,1480.41,1480.40,0.0000e+00
