PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,13.8993,13.8940,3.954200,3.953926,2.6155,1.984,0.197,32.8608,32.8628,6.1992,1024.5641,1024.5667,1500.67,1500.65,0.0000e+00
3.000,13.7742,13.7722,3.942519,3.942089,2.5945,2.976,0.354,32.8591,32.8568,6.1573,1024.5928,1024.5914,1500.27,1500.26,0.0000e+00
4.000,13.5133,13.5147,3.918322,3.917982,2.5429,3.968,0.626,32.8573,32.8530,6.0416,1024.6490,1024.6454,1499.43,1499.43,0.0000e+00
5.000,13.5079,13.5034,3.917817,3.917437,2.5402,4.960,0.411,32.8570,32.8572,6.0271,1024.6542,1024.6553,1499.43,1499.41,0.0000e+00
6.000,13.4821,13.4806,3.915400,3.915539,2.5330,5.952,0.775,32.8561,32.8588,5.9994,1024.6633,1024.6656,1499.36,1499.35,0.0000e+00
7.000,13.4316,13.4280,3.910784,3.910510,2.5296,6.943,0.877,32.8561,32.8566,6.0008,1024.6779,1024.6790,1499.21,1499.19,0.0000e+00
8.000,13.4186,13.4218,3.909556,3.909576,2.5265,7.935,0.514,32.8553,32.8528,6.0033,1024.6844,1024.6818,1499.18,1499.19,0.0000e+00
9.000,13.4285,13.4195,3.910520,3.909260,2.5232,8.927,0.484,32.8554,32.8514,5.9521,1024.6869,1024.6857,1499.23,1499.19,0.0000e+00
10.000,13.4227,13.4118,3.909997,3.909446,2.5049,9.919,0.755,32.8551,32.8594,5.7710,1024.6924,1024.6978,1499.22,1499.19,0.0000e+00
11.000,13.3511,13.3447,3.903340,3.903292,2.4633,10.911,0.757,32.8541,32.8591,5.5041,1024.7104,1024.7156,1499.00,1498.99,0.0000e+00
12.000,12.9270,12.8716,3.864294,3.864403,2.3844,11.903,0.634,32.8524,32.9018,5.1345,1024.7972,1024.8464,1497.60,1497.47,0.0000e+00
13.000,11.9676,11.9039,3.778125,3.778262,2.2183,12.895,0.403,32.8659,32.9235,4.5114,1024.9952,1025.0520,1494.37,1494.22,0.0000e+00
14.000,10.3212,10.3090,3.631105,3.644011,1.9938,13.887,0.579,32.8851,33.0263,3.8730,1025.3091,1025.4210,1488.63,1488.76,0.0000e+00
15.000,9.2970,9.2681,3.542404,3.543595,1.8719,14.879,0.754,32.9164,32.9555,3.6336,1025.5082,1025.5434,1484.98,1484.92,0.0000e+00
16.000,8.8239,8.6444,3.501509,3.493541,1.7688,15.870,0.618,32.9285,33.0128,3.4528,1025.5960,1025.6895,1483.26,1482.69,0.0000e+00
17.000,7.8849,7.8868,3.425687,3.425960,1.6541,16.862,0.450,33.0069,33.0081,3.3756,1025.8035,1025.8041,1479.85,1479.86,0.0000e+00
18.000,7.8891,7.8886,3.428047,3.428145,1.5926,17.854,0.650,33.0277,33.0293,3.3739,1025.8236,1025.8249,1479.90,1479.90,0.0000e+00
19.000,7.8679,7.8664,3.431126,3.431235,1.5645,18.846,0.505,33.0803,33.0828,3.3935,1025.8726,1025.8748,1479.90,1479.90,0.0000e+00
