PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,15.6737,15.6742,3.929005,3.928932,2.5736,1.984,0.275,31.1742,31.1731,5.9244,1022.8878,1022.8869,1504.39,1504.39,0.0000e+00
3.000,15.6738,15.6736,3.929216,3.929110,2.5736,2.976,0.446,31.1756,31.1748,5.9242,1022.8933,1022.8928,1504.41,1504.41,0.0000e+00
4.000,15.6667,15.6674,3.929124,3.929073,2.5738,3.968,0.781,31.1800,31.1790,5.9252,1022.9028,1022.9018,1504.41,1504.41,0.0000e+00
5.000,15.6707,15.6706,3.929350,3.929328,2.5745,4.959,0.618,31.1785,31.1784,5.9288,1022.9051,1022.9051,1504.44,1504.43,0.0000e+00
6.000,15.6708,15.6712,3.929387,3.929368,2.5760,5.951,0.633,31.1784,31.1779,5.9311,1022.9096,1022.9090,1504.45,1504.45,0.0000e+00
7.000,15.6718,15.6719,3.929479,3.929454,2.5750,6.943,0.347,31.1780,31.1778,5.9292,1022.9135,1022.9133,1504.47,1504.47,0.0000e+00
8.000,15.6720,15.6722,3.929544,3.929523,2.5757,7.935,0.374,31.1781,31.1778,5.9341,1022.9180,1022.9177,1504.49,1504.49,0.0000e+00
9.000,15.6741,15.6743,3.929728,3.929722,2.5755,8.927,0.362,31.1777,31.1775,5.9304,1022.9216,1022.9214,1504.51,1504.51,0.0000e+00
10.000,15.6748,15.6750,3.929890,3.929893,2.5751,9.919,0.483,31.1782,31.1781,5.9311,1022.9263,1022.9261,1504.53,1504.53,0.0000e+00
11.000,15.6746,15.6746,3.929889,3.929849,2.5748,10.911,0.417,31.1780,31.1777,5.9309,1022.9306,1022.9304,1504.55,1504.55,0.0000e+00
12.000,15.6754,15.6753,3.930013,3.929989,2.5743,11.903,0.412,31.1781,31.1780,5.9299,1022.9350,1022.9349,1504.57,1504.57,0.0000e+00
13.000,15.6755,15.6755,3.930102,3.930069,2.5741,12.894,0.666,31.1785,31.1782,5.9264,1022.9397,1022.9395,1504.58,1504.58,0.0000e+00
14.000,15.6762,15.6760,3.930144,3.930117,2.5721,13.886,0.482,31.1779,31.1778,5.9222,1022.9435,1022.9435,1504.60,1504.60,0.0000e+00
15.000,15.6715,15.6712,3.930214,3.930184,2.5742,14.878,0.539,31.1819,31.1819,5.9363,1022.9521,1022.9522,1504.61,1504.61,0.0000e+00
16.000,15.6607,15.6565,3.930180,3.930141,2.5743,15.870,0.687,31.1898,31.1928,5.9345,1022.9650,1022.9682,1504.60,1504.59,0.0000e+00
17.000,15.6360,15.6389,3.929853,3.929872,2.5743,16.862,0.466,31.2061,31.2039,5.9416,1022.9874,1022.9850,1504.56,1504.56,0.0000e+00
18.000,15.5845,15.5836,3.928509,3.928701,2.5760,17.854,0.570,31.2345,31.2370,5.9557,1023.0249,1023.0270,1504.44,1504.45,0.0000e+00
19.000,15.4098,15.4884,3.918958,3.925215,2.5611,18.845,0.414,31.2882,31.2813,5.8965,1023.1085,1023.0863,1503.97,1504.21,0.0000e+00
20.000,14.4812,14.5551,3.862049,3.875344,2.5006,19.837,0.912,31.5232,31.5842,5.7972,1023.4911,1023.5229,1501.28,1501.60,0.0000e+00
21.000,13.2098,13.1309,3.774224,3.781080,2.4963,20.829,0.986,31.7601,31.8902,5.9498,1023.9365,1024.0526,1497.40,1497.29,0.0000e+00
22.000,12.3613,12.2952,3.712123,3.713734,2.4885,21.821,0.822,31.8872,31.9588,6.0417,1024.2037,1024.2717,1494.71,1494.56,0.0000e+00
23.000,11.8178,11.8079,3.672775,3.673000,2.4823,22.813,0.607,31.9728,31.9835,6.1070,1024.3762,1024.3863,1492.96,1492.94,0.0000e+00
24.000,11.6704,11.6637,3.663514,3.663828,2.4761,23.804,0.586,32.0095,32.0184,6.1034,1024.4363,1024.4444,1492.51,1492.50,0.0000e+00
25.000,11.6020,11.5989,3.659405,3.659426,2.4688,24.796,0.685,32.0282,32.0311,6.0816,1024.4677,1024.4705,1492.31,1492.30,0.0000e+00
26.000,11.5101,11.4796,3.653514,3.652608,2.4569,25.788,0.444,32.0499,32.0675,6.0462,1024.5058,1024.5249,1492.03,1491.95,0.0000e+00
27.000,11.0282,10.9577,3.621064,3.620099,2.4400,26.780,0.814,32.1506,32.2028,6.0540,1024.6745,1024.7276,1490.48,1490.29,0.0000e+00
28.000,10.6753,10.6522,3.596554,3.598069,2.4305,27.772,0.920,32.2171,32.2526,6.0720,1024.7925,1024.8241,1489.33,1489.29,0.0000e+00
29.000,10.2338,10.2016,3.561881,3.562769,2.4256,28.763,0.551,32.2607,32.2983,6.1431,1024.9062,1024.9409,1487.82,1487.75,0.0000e+00
30.000,9.9762,9.8804,3.549292,3.545864,2.4426,29.755,0.447,32.3633,32.4144,6.3051,1025.0337,1025.0895,1487.03,1486.74,0.0000e+00
31.000,9.6484,9.6378,3.529347,3.530055,2.4398,30.747,0.690,32.4545,32.4714,6.2123,1025.1635,1025.1784,1485.97,1485.95,0.0000e+00
32.000,9.4626,9.4525,3.514515,3.515100,2.4223,31.739,0.870,32.4703,32.4855,6.1138,1025.2104,1025.2239,1485.32,1485.30,0.0000e+00
33.000,9.3547,9.3502,3.506110,3.506012,2.4020,32.730,0.798,32.4814,32.4845,6.0513,1025.2409,1025.2440,1484.96,1484.94,0.0000e+00
34.000,9.3663,9.3670,3.509772,3.510180,2.3679,33.722,0.436,32.5081,32.5117,5.9928,1025.2645,1025.2672,1485.05,1485.05,0.0000e+00
35.000,9.2959,9.2894,3.505078,3.505368,2.3457,34.714,0.736,32.5234,32.5322,5.9732,1025.2922,1025.3002,1484.82,1484.81,0.0000e+00
36.000,9.2322,9.2288,3.500576,3.500718,2.3386,35.706,0.824,32.5345,32.5391,5.9726,1025.3156,1025.3197,1484.62,1484.61,0.0000e+00
37.000,9.1825,9.1780,3.496137,3.496419,2.3324,36.697,0.651,32.5335,32.5405,5.9715,1025.3273,1025.3334,1484.45,1484.44,0.0000e+00
38.000,9.1294,9.1284,3.491458,3.491615,2.3239,37.689,0.455,32.5331,32.5357,5.9695,1025.3398,1025.3421,1484.27,1484.27,0.0000e+00
39.000,9.0767,9.0696,3.486587,3.487051,2.3199,38.681,0.768,32.5304,32.5417,5.9767,1025.3506,1025.3605,1484.09,1484.08,0.0000e+00
40.000,8.9598,8.9551,3.476057,3.476445,2.3184,39.673,0.502,32.5275,32.5359,5.9989,1025.3712,1025.3784,1483.67,1483.66,0.0000e+00
41.000,8.8863,8.8857,3.469741,3.469874,2.3186,40.664,0.492,32.5287,32.5306,6.0092,1025.3881,1025.3897,1483.42,1483.42,0.0000e+00
42.000,8.8852,8.8843,3.469780,3.469895,2.3157,41.656,0.547,32.5296,32.5316,5.9814,1025.3935,1025.3953,1483.43,1483.43,0.0000e+00
43.000,8.8606,8.8600,3.467819,3.468250,2.3099,42.648,0.546,32.5313,32.5364,5.9367,1025.4032,1025.4073,1483.36,1483.36,0.0000e+00
44.000,8.7603,8.7530,3.459282,3.459168,2.2910,43.639,0.376,32.5339,32.5394,5.8553,1025.4253,1025.4307,1483.00,1482.98,0.0000e+00
45.000,8.6726,8.6675,3.452055,3.452296,2.2717,44.631,0.749,32.5385,32.5457,5.8269,1025.4469,1025.4533,1482.70,1482.69,0.0000e+00
46.000,8.6352,8.6345,3.451656,3.451806,2.2664,45.623,0.928,32.5682,32.5705,5.8359,1025.4805,1025.4824,1482.61,1482.61,0.0000e+00
47.000,8.5944,8.5886,3.448160,3.448377,2.2637,46.614,0.614,32.5687,32.5764,5.8449,1025.4916,1025.4985,1482.47,1482.46,0.0000e+00
48.000,8.5286,8.5165,3.442837,3.442701,2.2412,47.606,0.564,32.5731,32.5829,5.6460,1025.5096,1025.5191,1482.25,1482.22,0.0000e+00
49.000,8.4378,8.4393,3.436419,3.436133,2.2161,48.598,0.942,32.5891,32.5846,5.5222,1025.5404,1025.5367,1481.94,1481.94,0.0000e+00
50.000,8.5930,8.5998,3.457368,3.456337,2.1948,49.589,0.879,32.6653,32.6481,5.4441,1025.5811,1025.5667,1482.64,1482.64,0.0000e+00
51.000,8.6208,8.6205,3.462172,3.462345,2.1660,50.581,0.462,32.6895,32.6915,5.3913,1025.6004,1025.6021,1482.79,1482.79,0.0000e+00
52.000,8.6723,8.6800,3.469553,3.469402,2.1263,51.573,0.747,32.7188,32.7101,5.2530,1025.6200,1025.6120,1483.03,1483.05,0.0000e+00
53.000,8.7169,8.7163,3.476708,3.476734,2.1120,52.564,0.972,32.7519,32.7528,5.2076,1025.6437,1025.6445,1483.26,1483.26,0.0000e+00
54.000,8.6970,8.6952,3.476810,3.476932,2.0944,53.556,0.639,32.7710,32.7739,5.1815,1025.6662,1025.6688,1483.22,1483.22,0.0000e+00
55.000,8.6656,8.6622,3.474926,3.475010,2.0640,54.548,0.969,32.7799,32.7839,5.1290,1025.6826,1025.6863,1483.13,1483.12,0.0000e+00
56.000,8.6296,8.6232,3.472063,3.472455,2.0612,55.539,1.193,32.7828,32.7929,5.1491,1025.6950,1025.7038,1483.02,1483.01,0.0000e+00
57.000,8.5220,8.4980,3.461884,3.462028,2.0608,56.531,0.863,32.7753,32.7991,5.1759,1025.7100,1025.7323,1482.62,1482.56,0.0000e+00
58.000,8.2936,8.2729,3.440292,3.440130,2.0397,57.523,0.792,32.7597,32.7773,5.0275,1025.7368,1025.7537,1481.76,1481.70,0.0000e+00
59.000,8.1688,8.1546,3.430991,3.431450,2.0189,58.514,1.280,32.7771,32.7952,4.9093,1025.7736,1025.7899,1481.33,1481.30,0.0000e+00
60.000,8.1389,8.1383,3.433299,3.433293,2.0035,59.506,0.990,32.8291,32.8296,4.8603,1025.8234,1025.8239,1481.29,1481.29,0.0000e+00
61.000,8.1348,8.1348,3.436055,3.436241,1.9668,60.498,0.424,32.8617,32.8637,4.7969,1025.8542,1025.8557,1481.34,1481.34,0.0000e+00
62.000,8.1338,8.1345,3.437985,3.438088,1.9415,61.489,0.629,32.8827,32.8831,4.7505,1025.8753,1025.8756,1481.37,1481.38,0.0000e+00
63.000,8.1315,8.1317,3.439094,3.439152,1.9303,62.481,0.704,32.8962,32.8966,4.7171,1025.8908,1025.8911,1481.40,1481.40,0.0000e+00
64.000,8.1336,8.1341,3.442138,3.442232,1.9182,63.472,0.527,32.9261,32.9266,4.6770,1025.9185,1025.9189,1481.46,1481.46,0.0000e+00
65.000,8.1373,8.1386,3.445198,3.445300,1.8998,64.464,0.404,32.9546,32.9545,4.6095,1025.9449,1025.9447,1481.53,1481.53,0.0000e+00
66.000,8.1303,8.1292,3.447229,3.447309,1.8795,65.456,0.435,32.9823,32.9842,4.5086,1025.9723,1025.9739,1481.55,1481.55,0.0000e+00
67.000,8.0748,8.0703,3.447466,3.447548,1.8527,66.447,0.626,33.0367,33.0417,4.3911,1026.0277,1026.0323,1481.42,1481.41,0.0000e+00
68.000,8.0416,8.0412,3.447249,3.447376,1.8347,67.439,0.809,33.0652,33.0669,4.3422,1026.0595,1026.0609,1481.35,1481.35,0.0000e+00
69.000,8.0354,8.0354,3.448686,3.448766,1.8185,68.430,0.580,33.0859,33.0868,4.3124,1026.0813,1026.0819,1481.37,1481.37,0.0000e+00
70.000,8.0249,8.0233,3.449476,3.449611,1.7885,69.422,0.470,33.1037,33.1067,4.1958,1026.1014,1026.1040,1481.37,1481.37,0.0000e+00
71.000,7.9998,7.9998,3.452051,3.452014,1.7663,70.413,0.782,33.1545,33.1541,4.1163,1026.1495,1026.1492,1481.35,1481.35,0.0000e+00
72.000,8.0043,8.0054,3.454968,3.455072,1.7520,71.405,0.676,33.1809,33.1810,4.0864,1026.1741,1026.1740,1481.42,1481.42,0.0000e+00
73.000,8.0140,8.0152,3.458356,3.458347,1.7299,72.397,0.456,33.2074,33.2062,4.0340,1026.1980,1026.1969,1481.50,1481.51,0.0000e+00
74.000,8.0259,8.0268,3.462593,3.462633,1.7161,73.388,0.825,33.2407,33.2404,4.0074,1026.2270,1026.2266,1481.61,1481.61,0.0000e+00
75.000,8.0289,8.0295,3.463351,3.463398,1.7093,74.380,0.666,33.2456,33.2455,4.0015,1026.2349,1026.2347,1481.64,1481.64,0.0000e+00
76.000,8.0312,8.0319,3.464176,3.464243,1.6919,75.371,0.547,33.2517,33.2517,3.9011,1026.2439,1026.2438,1481.67,1481.68,0.0000e+00
77.000,8.0398,8.0418,3.468002,3.467777,1.6772,76.363,1.000,33.2838,33.2796,3.8121,1026.2724,1026.2688,1481.76,1481.76,0.0000e+00
78.000,8.0457,8.0455,3.472957,3.472909,1.6642,77.354,0.906,33.3306,33.3303,3.7673,1026.3128,1026.3126,1481.86,1481.86,0.0000e+00
79.000,8.0198,8.0183,3.472514,3.472584,1.6396,78.346,0.450,33.3501,33.3522,3.6920,1026.3365,1026.3384,1481.80,1481.80,0.0000e+00
80.000,7.9908,7.9881,3.471566,3.471622,1.6052,79.337,0.698,33.3671,33.3703,3.5361,1026.3588,1026.3616,1481.73,1481.72,0.0000e+00
81.000,7.9396,7.9376,3.471759,3.471831,1.5856,80.329,0.805,33.4176,33.4202,3.4798,1026.4105,1026.4128,1481.61,1481.61,0.0000e+00
82.000,7.9238,7.9240,3.471851,3.471919,1.5681,81.320,0.596,33.4332,33.4337,3.4602,1026.4297,1026.4300,1481.59,1481.59,0.0000e+00
83.000,7.9225,7.9231,3.472104,3.472170,1.5458,82.312,0.452,33.4367,33.4368,3.4297,1026.4372,1026.4372,1481.61,1481.61,0.0000e+00
84.000,7.9223,7.9227,3.472370,3.472419,1.5332,83.303,0.888,33.4392,33.4394,3.3870,1026.4437,1026.4438,1481.62,1481.63,0.0000e+00
85.000,7.9100,7.9080,3.472250,3.472318,1.5258,84.295,0.920,33.4493,33.4519,3.3665,1026.4580,1026.4604,1481.61,1481.60,0.0000e+00
86.000,7.8930,7.8892,3.471752,3.471772,1.5014,85.286,0.611,33.4598,33.4636,3.2095,1026.4733,1026.4769,1481.57,1481.56,0.0000e+00
87.000,7.8378,7.8349,3.470434,3.470589,1.4583,86.278,1.110,33.4981,33.5025,2.9326,1026.5161,1026.5200,1481.42,1481.42,0.0000e+00
88.000,7.7982,7.7955,3.469271,3.469380,1.4366,87.269,1.088,33.5231,33.5269,2.8779,1026.5461,1026.5495,1481.32,1481.32,0.0000e+00
89.000,7.7768,7.7724,3.468612,3.468552,1.4063,88.261,0.588,33.5362,33.5398,2.8405,1026.5641,1026.5675,1481.27,1481.26,0.0000e+00
90.000,7.7592,7.7575,3.468021,3.468049,1.3580,89.252,0.755,33.5463,33.5482,2.7290,1026.5791,1026.5809,1481.24,1481.23,0.0000e+00
91.000,7.7308,7.7287,3.468898,3.468895,1.3452,90.244,0.830,33.5825,33.5846,2.6993,1026.6163,1026.6183,1481.19,1481.18,0.0000e+00
92.000,7.7135,7.7141,3.470485,3.470473,1.3280,91.235,0.433,33.6159,33.6152,2.6835,1026.6496,1026.6490,1481.18,1481.18,0.0000e+00
93.000,7.7074,7.7073,3.471217,3.471301,1.3126,92.227,0.435,33.6292,33.6301,2.6838,1026.6655,1026.6662,1481.19,1481.19,0.0000e+00
94.000,7.7058,7.7063,3.471840,3.471878,1.3083,93.218,0.501,33.6369,33.6368,2.6916,1026.6764,1026.6762,1481.21,1481.21,0.0000e+00
95.000,7.6983,7.6978,3.473779,3.473773,1.3047,94.210,0.644,33.6646,33.6650,2.6616,1026.7038,1026.7042,1481.23,1481.23,0.0000e+00
96.000,7.6713,7.6701,3.474570,3.474579,1.2986,95.201,0.689,33.6988,33.7000,2.6347,1026.7392,1026.7403,1481.19,1481.19,0.0000e+00
97.000,7.6512,7.6517,3.475180,3.475212,1.2927,96.193,0.474,33.7243,33.7242,2.6249,1026.7667,1026.7665,1481.16,1481.16,0.0000e+00
98.000,7.6484,7.6486,3.475388,3.475434,1.2855,97.184,0.521,33.7288,33.7291,2.6177,1026.7752,1026.7754,1481.17,1481.17,0.0000e+00
99.000,7.6460,7.6466,3.475503,3.475540,1.2837,98.175,0.738,33.7318,33.7317,2.6160,1026.7825,1026.7823,1481.18,1481.18,0.0000e+00
100.000,7.6445,7.6435,3.475557,3.475596,1.2817,99.167,0.427,33.7335,33.7348,2.6201,1026.7886,1026.7898,1481.19,1481.19,0.0000e+00
101.000,7.6200,7.6203,3.475749,3.475777,1.2824,100.158,0.738,33.7588,33.7588,2.6582,1026.8166,1026.8166,1481.15,1481.15,0.0000e+00
102.000,7.6110,7.6110,3.475855,3.475905,1.2868,101.150,0.863,33.7682,33.7687,2.6855,1026.8298,1026.8303,1481.14,1481.14,0.0000e+00
103.000,7.6093,7.6099,3.476066,3.476090,1.2916,102.141,0.657,33.7716,33.7713,2.7083,1026.8374,1026.8370,1481.16,1481.16,0.0000e+00
104.000,7.6085,7.6088,3.476107,3.476116,1.2992,103.133,0.648,33.7724,33.7722,2.7793,1026.8426,1026.8424,1481.17,1481.17,0.0000e+00
105.000,7.6084,7.6093,3.476256,3.476265,1.3115,104.124,1.060,33.7736,33.7729,2.8756,1026.8482,1026.8475,1481.19,1481.19,0.0000e+00
106.000,7.6021,7.5991,3.476091,3.476225,1.3242,105.115,1.318,33.7775,33.7818,2.9400,1026.8567,1026.8605,1481.19,1481.18,0.0000e+00
107.000,7.5655,7.5620,3.473626,3.473802,1.3347,106.107,1.460,33.7859,33.7912,2.9761,1026.8733,1026.8779,1481.07,1481.07,0.0000e+00
108.000,7.5407,7.5404,3.471993,3.472127,1.3437,107.098,1.475,33.7919,33.7937,2.9933,1026.8861,1026.8875,1481.00,1481.00,0.0000e+00
109.000,7.5319,7.5324,3.471361,3.471555,1.3519,108.090,1.339,33.7931,33.7947,3.0003,1026.8929,1026.8941,1480.99,1480.99,0.0000e+00
110.000,7.5221,7.5227,3.470653,3.470706,1.3594,109.081,1.054,33.7945,33.7945,2.9987,1026.9000,1026.9000,1480.97,1480.97,0.0000e+00
111.000,7.5181,7.5181,3.470519,3.470552,1.3664,110.072,0.862,33.7965,33.7968,2.9933,1026.9068,1026.9070,1480.97,1480.97,0.0000e+00
112.000,7.5124,7.5128,3.470377,3.470392,1.3715,111.064,1.027,33.8000,33.7998,2.9926,1026.9149,1026.9147,1480.97,1480.97,0.0000e+00
113.000,7.5082,7.5083,3.470345,3.470372,1.3742,112.055,1.290,33.8033,33.8035,2.9932,1026.9226,1026.9228,1480.97,1480.97,0.0000e+00
114.000,7.5051,7.5052,3.470376,3.470394,1.3765,113.046,1.467,33.8061,33.8063,2.9961,1026.9299,1026.9300,1480.98,1480.98,0.0000e+00
