PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,13.3171,13.2946,3.742874,3.740228,2.4560,1.984,0.179,31.3854,31.3792,5.8582,1023.5412,1023.5409,1497.00,1496.93,0.0000e+00
3.000,13.3431,13.3541,3.744853,3.745818,2.4564,2.976,0.369,31.3820,31.3819,5.8617,1023.5380,1023.5358,1497.11,1497.14,0.0000e+00
4.000,13.3029,13.3008,3.742011,3.742553,2.4550,3.967,0.534,31.3883,31.3951,5.8541,1023.5552,1023.5609,1497.00,1497.00,0.0000e+00
5.000,13.2020,13.1864,3.734406,3.733761,2.4559,4.959,0.457,31.4001,31.4069,5.8983,1023.5887,1023.5970,1496.69,1496.65,0.0000e+00
6.000,13.1349,13.1459,3.729579,3.730273,2.4622,5.951,0.804,31.4099,31.4074,5.8632,1023.6139,1023.6098,1496.49,1496.53,0.0000e+00
7.000,13.2093,13.2510,3.735302,3.736620,2.4495,6.943,0.772,31.4016,31.3796,5.6187,1023.5974,1023.5722,1496.75,1496.86,0.0000e+00
8.000,12.7311,12.8871,3.705733,3.723361,2.3179,7.935,0.399,31.5223,31.5595,4.9647,1023.7834,1023.7844,1495.26,1495.85,0.0000e+00
9.000,10.4923,10.5262,3.560429,3.565536,2.1098,8.927,0.660,32.0252,32.0462,4.4979,1024.5903,1024.6009,1488.15,1488.29,0.0000e+00
10.000,10.3857,10.3221,3.547746,3.550745,2.0483,9.919,0.937,31.9923,32.0787,4.4671,1024.5850,1024.6630,1487.72,1487.60,0.0000e+00
11.000,9.7755,9.7582,3.499331,3.500023,2.0046,10.910,0.815,32.0433,32.0658,4.5049,1024.7308,1024.7511,1485.60,1485.56,0.0000e+00
12.000,9.6607,9.6548,3.492087,3.491864,1.9589,11.902,0.430,32.0715,32.0745,4.6723,1024.7760,1024.7793,1485.23,1485.21,0.0000e+00
13.000,9.6285,9.6278,3.492003,3.491995,1.9797,12.894,0.750,32.0990,32.0995,5.1390,1024.8073,1024.8078,1485.17,1485.16,0.0000e+00
14.000,9.6646,9.6657,3.505988,3.505388,2.0329,13.886,0.840,32.2089,32.2018,5.3157,1024.8917,1024.8861,1485.45,1485.44,0.0000e+00
15.000,9.4641,9.4414,3.496344,3.497088,2.0702,14.878,0.677,32.2901,32.3182,5.3458,1024.9920,1025.0175,1484.83,1484.78,0.0000e+00
16.000,9.1751,9.1680,3.475501,3.475734,2.0969,15.869,0.441,32.3364,32.3452,5.2856,1025.0786,1025.0866,1483.84,1483.82,0.0000e+00
17.000,9.0315,9.0184,3.465821,3.466305,2.0907,16.861,0.572,32.3662,32.3831,5.1455,1025.1289,1025.1442,1483.36,1483.33,0.0000e+00
18.000,8.9148,8.9156,3.458502,3.458403,2.0786,17.853,0.745,32.3961,32.3942,5.0331,1025.1750,1025.1734,1482.98,1482.98,0.0000e+00
19.000,8.7759,8.7624,3.450041,3.450487,2.0462,18.845,0.616,32.4343,32.4513,4.8622,1025.2308,1025.2462,1482.53,1482.50,0.0000e+00
20.000,8.5933,8.5898,3.435667,3.435712,1.9906,19.837,0.363,32.4510,32.4547,4.7289,1025.2763,1025.2797,1481.88,1481.87,0.0000e+00
21.000,8.5301,8.5262,3.431413,3.431470,1.9561,20.828,0.700,32.4640,32.4682,4.7134,1025.3006,1025.3044,1481.68,1481.67,0.0000e+00
22.000,8.5031,8.5021,3.430041,3.430136,1.9464,21.820,0.794,32.4740,32.4759,4.7407,1025.3170,1025.3187,1481.60,1481.60,0.0000e+00
23.000,8.4688,8.4679,3.428721,3.428838,1.9420,22.812,0.606,32.4912,32.4933,4.7701,1025.3403,1025.3420,1481.51,1481.51,0.0000e+00
24.000,8.4099,8.4051,3.425818,3.425919,1.9403,23.804,0.488,32.5146,32.5200,4.7764,1025.3720,1025.3769,1481.34,1481.33,0.0000e+00
25.000,8.3580,8.3523,3.422851,3.422807,1.9352,24.795,0.576,32.5308,32.5356,4.7478,1025.3970,1025.4016,1481.18,1481.16,0.0000e+00
26.000,8.3117,8.3105,3.420158,3.420176,1.9291,25.787,0.536,32.5447,32.5460,4.7347,1025.4194,1025.4206,1481.04,1481.03,0.0000e+00
27.000,8.2843,8.2821,3.418816,3.418851,1.9240,26.779,0.540,32.5555,32.5578,4.7335,1025.4364,1025.4386,1480.96,1480.96,0.0000e+00
28.000,8.2468,8.2429,3.417237,3.417321,1.9213,27.771,0.689,32.5731,32.5775,4.7948,1025.4604,1025.4644,1480.86,1480.85,0.0000e+00
29.000,8.1933,8.1890,3.414932,3.415033,1.9354,28.763,0.633,32.5978,32.6029,4.9705,1025.4922,1025.4969,1480.71,1480.70,0.0000e+00
30.000,8.1222,8.1192,3.412808,3.412861,1.9795,29.754,0.407,32.6410,32.6443,5.1740,1025.5411,1025.5442,1480.51,1480.50,0.0000e+00
31.000,8.0677,8.0637,3.410473,3.410582,2.0144,30.746,0.678,32.6665,32.6714,5.1446,1025.5737,1025.5781,1480.35,1480.34,0.0000e+00
32.000,8.0371,8.0371,3.409832,3.409825,2.0131,31.738,0.819,32.6878,32.6877,4.9146,1025.5994,1025.5994,1480.28,1480.28,0.0000e+00
33.000,8.0314,8.0314,3.410617,3.410673,1.9673,32.729,0.584,32.7010,32.7016,4.4375,1025.6152,1025.6157,1480.29,1480.29,0.0000e+00
