PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,10.6606,10.6584,3.682830,3.682719,2.1330,2.976,0.408,33.1021,33.1029,5.1300,1025.3710,1025.3721,1489.93,1489.93,0.0000e+00
4.000,10.6746,10.6771,3.684274,3.684636,2.1378,3.968,0.483,33.1034,33.1047,5.1466,1025.3741,1025.3748,1490.00,1490.01,0.0000e+00
5.000,10.6744,10.6758,3.684285,3.684543,2.1392,4.960,0.377,33.1032,33.1045,5.1508,1025.3786,1025.3793,1490.02,1490.02,0.0000e+00
6.000,10.6786,10.6707,3.684667,3.683981,2.1366,5.951,0.579,33.1028,33.1031,5.1188,1025.3820,1025.3836,1490.05,1490.02,0.0000e+00
7.000,10.6734,10.6755,3.684253,3.684538,2.1322,6.943,0.908,33.1029,33.1039,5.0843,1025.3876,1025.3879,1490.05,1490.06,0.0000e+00
8.000,10.5930,10.5977,3.676724,3.678422,2.1251,7.935,0.804,33.1000,33.1128,5.0519,1025.4038,1025.4130,1489.77,1489.81,0.0000e+00
9.000,10.5151,10.4837,3.669214,3.666581,2.1037,8.927,0.434,33.0951,33.0972,4.8748,1025.4179,1025.4250,1489.51,1489.40,0.0000e+00
10.000,10.3701,10.3547,3.655082,3.653688,2.0407,9.919,0.709,33.0845,33.0845,4.3080,1025.4392,1025.4418,1488.99,1488.94,0.0000e+00
11.000,10.0896,10.0194,3.627522,3.626481,1.9357,10.911,0.725,33.0613,33.1151,3.7240,1025.4730,1025.5267,1487.97,1487.79,0.0000e+00
12.000,8.9746,8.8990,3.521893,3.519437,1.7591,11.903,0.434,33.0025,33.0472,3.2071,1025.6120,1025.6589,1483.84,1483.62,0.0000e+00
13.000,8.4959,8.4800,3.484177,3.484210,1.5763,12.894,0.522,33.0546,33.0699,2.9074,1025.7320,1025.7464,1482.15,1482.11,0.0000e+00
14.000,8.2668,8.2616,3.471750,3.471691,1.4992,13.886,0.665,33.1382,33.1424,2.8666,1025.8365,1025.8406,1481.41,1481.39,0.0000e+00
15.000,8.2295,8.2281,3.471189,3.471181,1.4541,14.878,0.730,33.1669,33.1682,2.8707,1025.8692,1025.8704,1481.32,1481.31,0.0000e+00
16.000,8.1989,8.1957,3.471703,3.471736,1.4280,15.870,0.709,33.2009,33.2042,2.8812,1025.9050,1025.9080,1481.26,1481.25,0.0000e+00
17.000,8.1159,8.1061,3.469377,3.469328,1.4058,16.862,0.413,33.2544,33.2631,2.8818,1025.9638,1025.9721,1481.03,1481.00,0.0000e+00
18.000,7.9649,7.9581,3.462518,3.462814,1.3836,17.854,0.514,33.3244,33.3340,2.8226,1026.0455,1026.0541,1480.56,1480.55,0.0000e+00
19.000,7.8211,7.8170,3.457044,3.457002,1.3675,18.845,0.816,33.4027,33.4061,2.7179,1026.1325,1026.1358,1480.13,1480.12,0.0000e+00
20.000,7.8321,7.8357,3.462836,3.462488,1.3458,19.837,0.724,33.4538,33.4466,2.6109,1026.1756,1026.1695,1480.25,1480.25,0.0000e+00
21.000,7.8677,7.8668,3.472843,3.472899,1.3103,20.829,0.398,33.5265,33.5280,2.5032,1026.2321,1026.2335,1480.49,1480.49,0.0000e+00
22.000,7.7979,7.7960,3.470876,3.471027,1.2760,21.821,0.611,33.5721,33.5756,2.4349,1026.2827,1026.2857,1480.30,1480.30,0.0000e+00
23.000,7.7708,7.7697,3.470414,3.470531,1.2619,22.813,0.825,33.5928,33.5951,2.4182,1026.3074,1026.3094,1480.24,1480.24,0.0000e+00
24.000,7.7552,7.7545,3.469967,3.470106,1.2521,23.804,0.795,33.6025,33.6046,2.4099,1026.3219,1026.3237,1480.21,1480.21,0.0000e+00
25.000,7.7332,7.7324,3.470999,3.471093,1.2429,24.796,0.454,33.6343,33.6361,2.3980,1026.3547,1026.3562,1480.18,1480.18,0.0000e+00
26.000,7.7061,7.7051,3.473991,3.474072,1.2220,25.788,0.580,33.6924,33.6941,2.2993,1026.4088,1026.4103,1480.16,1480.16,0.0000e+00
27.000,7.6786,7.6759,3.472518,3.472685,1.2108,26.780,0.893,33.7026,33.7070,2.2468,1026.4253,1026.4292,1480.09,1480.08,0.0000e+00
28.000,7.6486,7.6464,3.471136,3.471308,1.1989,27.772,0.729,33.7163,33.7203,2.2121,1026.4451,1026.4485,1480.01,1480.00,0.0000e+00
