PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,12.5181,12.5701,3.773750,3.776924,3.1853,2.975,0.276,32.3491,32.3347,8.1325,1024.4467,1024.4256,1495.48,1495.64,0.0000e+00
4.000,12.7322,12.6960,3.790211,3.786196,3.2070,3.967,0.770,32.3215,32.3145,7.6400,1024.3887,1024.3902,1496.19,1496.06,0.0000e+00
5.000,12.5774,12.7017,3.779748,3.791265,3.0757,4.959,0.740,32.3546,32.3575,6.8174,1024.4484,1024.4268,1495.72,1496.14,0.0000e+00
6.000,11.3863,11.5519,3.686637,3.705674,2.8144,5.950,0.493,32.4899,32.5306,5.9264,1024.7784,1024.7795,1491.79,1492.41,0.0000e+00
7.000,10.8212,10.8143,3.641784,3.641531,2.5175,6.942,0.512,32.5468,32.5505,5.0952,1024.9288,1024.9329,1489.90,1489.88,0.0000e+00
8.000,10.3545,10.3294,3.605774,3.607156,2.2834,7.934,0.619,32.6033,32.6398,4.5897,1025.0575,1025.0902,1488.32,1488.27,0.0000e+00
9.000,10.0276,10.0207,3.580665,3.580434,2.1311,8.926,0.562,32.6439,32.6478,4.4815,1025.1489,1025.1531,1487.21,1487.19,0.0000e+00
10.000,9.9426,9.9395,3.575791,3.575481,2.0167,9.917,0.507,32.6709,32.6705,4.3608,1025.1886,1025.1888,1486.95,1486.94,0.0000e+00
11.000,9.8806,9.8700,3.572112,3.572057,1.9335,10.909,0.673,32.6891,32.6983,4.0737,1025.2177,1025.2265,1486.77,1486.74,0.0000e+00
12.000,9.5734,9.5462,3.549313,3.549338,1.8503,11.901,0.637,32.7353,32.7604,3.7622,1025.3085,1025.3325,1485.72,1485.65,0.0000e+00
13.000,9.0943,9.0618,3.515194,3.514678,1.7330,12.892,0.449,32.8225,32.8471,3.4383,1025.4577,1025.4821,1484.09,1484.00,0.0000e+00
14.000,8.7108,8.6941,3.488752,3.488551,1.6267,13.884,0.558,32.9015,32.9150,3.2436,1025.5838,1025.5969,1482.78,1482.73,0.0000e+00
15.000,8.5398,8.5289,3.478284,3.478005,1.5667,14.876,0.641,32.9505,32.9577,3.1515,1025.6528,1025.6601,1482.22,1482.18,0.0000e+00
16.000,8.4634,8.4603,3.474731,3.474606,1.5205,15.867,0.594,32.9840,32.9856,3.0775,1025.6952,1025.6969,1481.99,1481.98,0.0000e+00
17.000,8.4070,8.4022,3.472447,3.472372,1.4796,16.859,0.539,33.0123,33.0160,3.0116,1025.7305,1025.7341,1481.83,1481.81,0.0000e+00
18.000,8.3320,8.3295,3.469258,3.469172,1.4475,17.851,0.490,33.0486,33.0499,2.9595,1025.7748,1025.7762,1481.60,1481.60,0.0000e+00
19.000,8.2838,8.2788,3.467376,3.467370,1.4187,18.842,0.526,33.0735,33.0781,2.8639,1025.8061,1025.8104,1481.47,1481.46,0.0000e+00
20.000,8.1993,8.1933,3.464942,3.464932,1.3919,19.834,0.750,33.1268,33.1324,2.7406,1025.8651,1025.8704,1481.24,1481.22,0.0000e+00
21.000,8.0634,8.0538,3.460701,3.460763,1.3666,20.826,0.755,33.2099,33.2197,2.6661,1025.9549,1025.9640,1480.84,1480.82,0.0000e+00
22.000,7.9725,7.9709,3.456953,3.456924,1.3403,21.818,0.447,33.2558,33.2569,2.6316,1026.0089,1026.0100,1480.57,1480.57,0.0000e+00
23.000,7.9643,7.9638,3.456771,3.456831,1.3099,22.809,0.490,33.2611,33.2623,2.5852,1026.0188,1026.0198,1480.56,1480.56,0.0000e+00
24.000,7.9317,7.9287,3.455240,3.455285,1.2975,23.801,0.839,33.2754,33.2786,2.5174,1026.0393,1026.0423,1480.47,1480.46,0.0000e+00
25.000,7.8913,7.8882,3.454093,3.454121,1.2827,24.792,0.781,33.3011,33.3043,2.4380,1026.0700,1026.0730,1480.37,1480.36,0.0000e+00
26.000,7.7775,7.7699,3.450204,3.450303,1.2578,25.784,0.528,33.3677,33.3760,2.3519,1026.1434,1026.1511,1480.03,1480.01,0.0000e+00
27.000,7.6911,7.6908,3.447411,3.447462,1.2296,26.776,0.449,33.4200,33.4208,2.2965,1026.2015,1026.2022,1479.79,1479.78,0.0000e+00
28.000,7.6714,7.6703,3.447022,3.447076,1.2086,27.767,0.529,33.4342,33.4359,2.2322,1026.2201,1026.2216,1479.74,1479.74,0.0000e+00
29.000,7.6435,7.6416,3.447291,3.447322,1.1892,28.759,0.632,33.4635,33.4656,2.1450,1026.2517,1026.2537,1479.69,1479.69,0.0000e+00
30.000,7.6110,7.6094,3.447609,3.447630,1.1687,29.751,0.676,33.4977,33.4995,2.0482,1026.2879,1026.2895,1479.62,1479.62,0.0000e+00
31.000,7.5910,7.5907,3.449341,3.449338,1.1432,30.742,0.590,33.5353,33.5355,1.9167,1026.3248,1026.3251,1479.61,1479.61,0.0000e+00
32.000,7.5663,7.5648,3.452098,3.452013,1.1017,31.734,0.495,33.5885,33.5890,1.7083,1026.3747,1026.3754,1479.60,1479.59,0.0000e+00
33.000,7.4840,7.4794,3.458622,3.458569,1.0452,32.725,0.452,33.7384,33.7423,1.5379,1026.5089,1026.5126,1479.49,1479.47,0.0000e+00
34.000,7.4264,7.4265,3.460239,3.460255,1.0072,33.717,0.626,33.8116,33.8117,1.4909,1026.5792,1026.5793,1479.38,1479.37,0.0000e+00
35.000,7.4085,7.4059,3.460306,3.460369,0.9891,34.709,0.826,33.8293,33.8325,1.4633,1026.6003,1026.6032,1479.34,1479.34,0.0000e+00
36.000,7.3668,7.3645,3.458826,3.458885,0.9747,35.700,0.705,33.8534,33.8564,1.4410,1026.6298,1026.6324,1479.23,1479.22,0.0000e+00
37.000,7.3409,7.3409,3.457631,3.457691,0.9576,36.692,0.408,33.8654,33.8660,1.4214,1026.6474,1026.6479,1479.16,1479.16,0.0000e+00
38.000,7.3306,7.3299,3.457096,3.457102,0.9440,37.683,0.511,33.8691,33.8699,1.4021,1026.6563,1026.6571,1479.14,1479.14,0.0000e+00
39.000,7.3275,7.3277,3.456981,3.457022,0.9360,38.675,0.570,33.8704,33.8706,1.3810,1026.6624,1026.6626,1479.15,1479.15,0.0000e+00
40.000,7.3240,7.3242,3.456867,3.456902,0.9289,39.666,0.666,33.8721,33.8723,1.3656,1026.6688,1026.6690,1479.15,1479.15,0.0000e+00
41.000,7.3239,7.3243,3.456915,3.456952,0.9247,40.658,0.742,33.8723,33.8723,1.3617,1026.6735,1026.6735,1479.17,1479.17,0.0000e+00
42.000,7.3240,7.3245,3.456985,3.457015,0.9214,41.650,0.590,33.8724,33.8723,1.3581,1026.6782,1026.6781,1479.19,1479.19,0.0000e+00
43.000,7.3240,7.3245,3.457034,3.457068,0.9175,42.641,0.411,33.8725,33.8724,1.3496,1026.6829,1026.6827,1479.20,1479.20,0.0000e+00
44.000,7.3241,7.3246,3.457087,3.457127,0.9139,43.633,0.417,33.8724,33.8724,1.3413,1026.6874,1026.6873,1479.22,1479.22,0.0000e+00
45.000,7.3254,7.3256,3.457212,3.457239,0.8987,44.624,0.046,33.8721,33.8722,1.3018,1026.6916,1026.6916,1479.24,1479.24,0.0000e+00
