PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,15.7116,15.7215,3.920188,3.920206,2.7159,1.983,0.128,31.0664,31.0589,6.3286,1022.7967,1022.7887,1504.39,1504.40,0.0000e+00
3.000,15.7206,15.7208,3.920504,3.920367,2.7143,2.975,0.454,31.0618,31.0604,6.3242,1022.7956,1022.7945,1504.42,1504.42,0.0000e+00
4.000,15.6004,15.5911,3.915776,3.915635,2.6899,3.967,0.491,31.1144,31.1204,6.2420,1022.8668,1022.8735,1504.12,1504.10,0.0000e+00
5.000,15.4501,15.3932,3.910042,3.907913,2.6780,4.958,0.422,31.1820,31.2081,6.2427,1022.9560,1022.9884,1503.74,1503.59,0.0000e+00
6.000,15.3854,15.3716,3.907451,3.906583,2.6786,5.950,0.882,31.2099,31.2131,6.2824,1022.9959,1023.0014,1503.59,1503.55,0.0000e+00
7.000,15.4005,15.4374,3.908181,3.909759,2.6816,6.942,1.105,31.2040,31.1888,6.2877,1022.9926,1022.9728,1503.65,1503.75,0.0000e+00
8.000,15.4979,15.4802,3.911804,3.910967,2.6833,7.933,0.917,31.1587,31.1653,6.2775,1022.9410,1022.9499,1503.92,1503.87,0.0000e+00
9.000,15.5513,15.5344,3.914135,3.913384,2.6831,8.925,0.426,31.1368,31.1435,6.2515,1022.9170,1022.9258,1504.08,1504.03,0.0000e+00
10.000,15.5026,15.5009,3.911944,3.912148,2.6713,9.916,0.561,31.1554,31.1586,6.1783,1022.9464,1022.9492,1503.96,1503.96,0.0000e+00
11.000,15.4364,15.4344,3.908817,3.909176,2.6580,10.908,0.821,31.1798,31.1845,6.1241,1022.9839,1022.9880,1503.80,1503.80,0.0000e+00
12.000,15.3464,15.3430,3.905409,3.905482,2.6429,11.900,0.924,31.2205,31.2238,6.0740,1023.0392,1023.0425,1503.58,1503.57,0.0000e+00
13.000,15.3121,15.2995,3.904054,3.903724,2.6254,12.891,0.789,31.2353,31.2424,6.0013,1023.0625,1023.0707,1503.50,1503.47,0.0000e+00
14.000,15.0840,14.8499,3.895588,3.887514,2.5677,13.883,0.427,31.3414,31.4573,5.8218,1023.1976,1023.3366,1502.92,1502.30,0.0000e+00
15.000,13.9614,13.7326,3.846149,3.842733,2.5092,14.874,0.738,31.8071,31.9656,5.8559,1023.7948,1023.9638,1499.84,1499.27,0.0000e+00
16.000,12.7769,12.7084,3.779923,3.780479,2.5049,15.866,0.759,32.1811,32.2449,6.0169,1024.3249,1024.3876,1496.37,1496.21,0.0000e+00
17.000,12.0392,12.0259,3.724527,3.725800,2.4946,16.858,0.510,32.2844,32.3082,6.0900,1024.5499,1024.5708,1493.99,1493.98,0.0000e+00
18.000,11.8016,11.7845,3.704229,3.704259,2.4878,17.849,0.531,32.2936,32.3088,6.1218,1024.6057,1024.6206,1493.20,1493.16,0.0000e+00
19.000,11.6452,11.6400,3.692582,3.692868,2.4831,18.841,0.606,32.3161,32.3234,6.1310,1024.6564,1024.6630,1492.71,1492.70,0.0000e+00
20.000,11.5552,11.5502,3.685293,3.685642,2.4814,19.832,0.607,32.3231,32.3310,6.1668,1024.6827,1024.6897,1492.42,1492.41,0.0000e+00
21.000,11.3038,11.2859,3.665697,3.666104,2.4855,20.824,0.574,32.3509,32.3706,6.2091,1024.7542,1024.7727,1491.59,1491.55,0.0000e+00
22.000,11.1184,11.1080,3.651807,3.652120,2.4831,21.815,0.606,32.3767,32.3890,6.2326,1024.8119,1024.8232,1490.99,1490.97,0.0000e+00
23.000,10.9342,10.9267,3.637665,3.637830,2.4883,22.807,0.578,32.3991,32.4072,6.2923,1024.8663,1024.8740,1490.38,1490.37,0.0000e+00
24.000,10.8615,10.8545,3.632282,3.632196,2.4936,23.799,0.482,32.4095,32.4149,6.3225,1024.8917,1024.8971,1490.16,1490.14,0.0000e+00
25.000,10.6599,10.6476,3.615862,3.616500,2.4996,24.790,0.624,32.4244,32.4417,6.3694,1024.9429,1024.9585,1489.47,1489.45,0.0000e+00
26.000,10.4892,10.4818,3.602153,3.602305,2.5028,25.782,0.432,32.4389,32.4469,6.3812,1024.9881,1024.9957,1488.90,1488.88,0.0000e+00
27.000,10.3987,10.3974,3.594966,3.595041,2.5004,26.773,0.764,32.4471,32.4490,6.3739,1025.0146,1025.0163,1488.60,1488.60,0.0000e+00
28.000,10.3324,10.3174,3.589376,3.590119,2.4996,27.765,1.098,32.4497,32.4706,6.3841,1025.0324,1025.0512,1488.39,1488.36,0.0000e+00
29.000,10.1921,10.1820,3.578057,3.578340,2.4997,28.756,0.913,32.4608,32.4728,6.3978,1025.0693,1025.0803,1487.91,1487.89,0.0000e+00
30.000,10.0725,10.0307,3.568413,3.567069,2.4874,29.748,0.490,32.4703,32.4942,6.3448,1025.1013,1025.1269,1487.51,1487.39,0.0000e+00
31.000,9.9195,9.9169,3.556200,3.556337,2.4747,30.739,0.977,32.4835,32.4873,6.3153,1025.1416,1025.1450,1486.99,1486.98,0.0000e+00
32.000,9.8950,9.8919,3.554192,3.554305,2.4700,31.731,1.176,32.4848,32.4887,6.3126,1025.1512,1025.1548,1486.92,1486.91,0.0000e+00
33.000,9.8166,9.8033,3.547564,3.548057,2.4656,32.722,0.996,32.4876,32.5046,6.3189,1025.1709,1025.1863,1486.65,1486.62,0.0000e+00
