PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,11.6641,11.6619,3.644965,3.644014,2.2277,2.975,0.239,31.8433,31.8360,5.3352,1024.2136,1024.2083,1491.94,1491.92,0.0000e+00
4.000,11.5835,11.5813,3.639656,3.639982,2.2298,3.966,0.986,31.8606,31.8656,5.4141,1024.2462,1024.2504,1491.70,1491.70,0.0000e+00
5.000,11.6758,11.7663,3.646381,3.648228,2.2414,4.958,1.192,31.8463,31.7867,5.4514,1024.2227,1024.1600,1492.02,1492.26,0.0000e+00
6.000,11.7877,11.7903,3.652734,3.652990,2.2403,5.949,0.726,31.8115,31.8118,5.3582,1024.1799,1024.1797,1492.38,1492.39,0.0000e+00
7.000,11.7084,11.7078,3.649057,3.648403,2.2295,6.941,1.064,31.8435,31.8376,5.2820,1024.2237,1024.2193,1492.16,1492.15,0.0000e+00
8.000,11.5008,11.4965,3.634766,3.636169,2.2215,7.932,0.843,31.8825,31.8999,5.2546,1024.2961,1024.3104,1491.50,1491.51,0.0000e+00
9.000,11.5168,11.5621,3.638021,3.639575,2.1761,8.924,0.448,31.9001,31.8762,4.9438,1024.3113,1024.2847,1491.60,1491.73,0.0000e+00
10.000,11.1628,11.1570,3.614253,3.616606,2.1087,9.915,0.799,31.9732,32.0015,4.6427,1024.4358,1024.4589,1490.46,1490.47,0.0000e+00
11.000,10.6099,10.6310,3.575548,3.579347,2.0429,10.907,0.544,32.0728,32.0921,4.4677,1024.6140,1024.6254,1488.64,1488.74,0.0000e+00
12.000,10.3220,10.3125,3.556342,3.556271,1.9321,11.899,0.477,32.1341,32.1417,4.1052,1024.7156,1024.7232,1487.70,1487.68,0.0000e+00
13.000,9.8489,9.8284,3.527732,3.529174,1.8611,12.890,0.709,32.2658,32.2987,3.9769,1024.9015,1024.9306,1486.17,1486.14,0.0000e+00
14.000,9.7278,9.7260,3.520745,3.520742,1.8056,13.882,0.487,32.3027,32.3043,3.9276,1024.9548,1024.9563,1485.79,1485.79,0.0000e+00
15.000,9.6893,9.6859,3.519148,3.519063,1.7554,14.873,0.529,32.3206,32.3228,3.8437,1024.9795,1024.9818,1485.69,1485.68,0.0000e+00
16.000,9.6170,9.6119,3.514105,3.514068,1.7243,15.865,0.732,32.3337,32.3379,3.7344,1025.0060,1025.0101,1485.46,1485.44,0.0000e+00
17.000,9.4818,9.4669,3.505814,3.506145,1.6943,16.856,0.706,32.3703,32.3872,3.6382,1025.0610,1025.0765,1485.02,1484.99,0.0000e+00
18.000,9.2394,9.2254,3.491450,3.491421,1.6350,17.848,0.464,32.4418,32.4542,3.4253,1025.1600,1025.1719,1484.24,1484.20,0.0000e+00
19.000,8.9533,8.9234,3.473853,3.474886,1.5738,18.839,0.941,32.5200,32.5582,3.2198,1025.2705,1025.3050,1483.29,1483.23,0.0000e+00
20.000,8.7420,8.7476,3.458436,3.459550,1.5502,19.831,0.929,32.5526,32.5592,3.1988,1025.3332,1025.3375,1482.56,1482.59,0.0000e+00
21.000,8.7060,8.7025,3.455629,3.455374,1.5169,20.822,0.490,32.5560,32.5566,3.1587,1025.3460,1025.3469,1482.45,1482.44,0.0000e+00
22.000,8.6849,8.6882,3.453955,3.454413,1.4843,21.813,0.781,32.5574,32.5592,3.0667,1025.3548,1025.3557,1482.39,1482.40,0.0000e+00
23.000,8.6091,8.5970,3.448853,3.448992,1.4626,22.805,0.625,32.5733,32.5860,2.9921,1025.3834,1025.3951,1482.14,1482.11,0.0000e+00
24.000,8.4567,8.4561,3.440503,3.440482,1.4281,23.796,0.493,32.6260,32.6263,2.9458,1025.4523,1025.4525,1481.65,1481.65,0.0000e+00
25.000,8.4353,8.4341,3.442935,3.442807,1.4160,24.788,0.787,32.6710,32.6707,2.9454,1025.4953,1025.4952,1481.64,1481.64,0.0000e+00
26.000,8.4275,8.4269,3.444967,3.444834,1.4069,25.779,0.477,32.6991,32.6983,2.9266,1025.5230,1025.5226,1481.67,1481.66,0.0000e+00
27.000,8.3857,8.3783,3.444247,3.444198,1.3906,26.771,0.556,32.7299,32.7363,2.8494,1025.5581,1025.5642,1481.56,1481.54,0.0000e+00
28.000,8.2667,8.2593,3.439369,3.439484,1.3780,27.762,0.727,32.7888,32.7969,2.8116,1025.6265,1025.6340,1481.20,1481.18,0.0000e+00
29.000,8.1474,8.1426,3.435873,3.435834,1.3665,28.754,0.614,32.8628,32.8669,2.7963,1025.7068,1025.7107,1480.86,1480.85,0.0000e+00
