PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,13.6936,13.7673,3.795940,3.798865,2.4868,1.983,0.190,31.5681,31.5345,5.9011,1023.6074,1023.5667,1498.47,1498.67,0.0000e+00
3.000,13.8221,13.8286,3.805144,3.805223,2.4917,2.975,0.332,31.5470,31.5424,5.9039,1023.5697,1023.5648,1498.89,1498.90,0.0000e+00
4.000,13.8393,13.8389,3.806460,3.806222,2.4926,3.966,0.412,31.5446,31.5428,5.8999,1023.5689,1023.5676,1498.96,1498.95,0.0000e+00
5.000,13.8503,13.8438,3.807311,3.806725,2.4881,4.958,0.446,31.5430,31.5429,5.8637,1023.5699,1023.5712,1499.01,1498.99,0.0000e+00
6.000,13.7608,13.7569,3.800681,3.800796,2.4775,5.949,0.553,31.5551,31.5593,5.8088,1023.6018,1023.6058,1498.74,1498.74,0.0000e+00
7.000,13.5646,13.5562,3.786068,3.786844,2.4584,6.941,0.538,31.5811,31.5953,5.7518,1023.6657,1023.6784,1498.14,1498.13,0.0000e+00
8.000,13.1768,13.1140,3.757095,3.755594,2.4356,7.932,0.488,31.6322,31.6705,5.7183,1023.7864,1023.8284,1496.93,1496.76,0.0000e+00
9.000,12.6350,12.7799,3.717190,3.726639,2.4092,8.924,0.560,31.7091,31.6770,5.6644,1023.9555,1023.9029,1495.21,1495.66,0.0000e+00
10.000,12.3463,12.3871,3.695763,3.702407,2.3708,9.916,0.547,31.7483,31.7773,5.5305,1024.0449,1024.0596,1494.29,1494.46,0.0000e+00
11.000,11.9042,11.8883,3.662193,3.667427,2.3286,10.907,0.589,31.8013,31.8660,5.4523,1024.1727,1024.2258,1492.85,1492.87,0.0000e+00
12.000,10.8132,10.8046,3.581687,3.583455,2.2927,11.899,0.586,31.9552,31.9802,5.4791,1024.4922,1024.5131,1489.24,1489.24,0.0000e+00
13.000,10.4840,10.4854,3.556219,3.557070,2.2570,12.890,0.490,31.9895,31.9968,5.4306,1024.5801,1024.5855,1488.12,1488.14,0.0000e+00
14.000,10.3320,10.3248,3.544311,3.544801,2.2244,13.882,0.540,32.0036,32.0148,5.3611,1024.6213,1024.6313,1487.61,1487.60,0.0000e+00
15.000,10.1850,10.1854,3.533147,3.533630,2.1979,14.873,0.574,32.0207,32.0252,5.2896,1024.6638,1024.6673,1487.12,1487.13,0.0000e+00
16.000,9.9663,9.9600,3.516466,3.517266,2.1665,15.865,0.554,32.0455,32.0592,5.1951,1024.7240,1024.7357,1486.38,1486.37,0.0000e+00
17.000,9.8341,9.8227,3.506355,3.506822,2.1391,16.856,1.031,32.0600,32.0749,5.1237,1024.7616,1024.7751,1485.93,1485.91,0.0000e+00
18.000,9.6293,9.6113,3.491920,3.492987,2.1244,17.848,0.903,32.0953,32.1222,5.1204,1024.8269,1024.8508,1485.24,1485.21,0.0000e+00
19.000,9.2808,9.2700,3.473121,3.473210,2.0750,18.839,0.407,32.2150,32.2256,5.0492,1024.9806,1024.9907,1484.13,1484.10,0.0000e+00
20.000,9.0882,9.0844,3.461536,3.461879,2.0467,19.831,0.711,32.2689,32.2759,5.0083,1025.0577,1025.0637,1483.50,1483.50,0.0000e+00
21.000,9.0637,9.0631,3.460197,3.460003,2.0419,20.822,0.756,32.2768,32.2753,5.0302,1025.0723,1025.0712,1483.44,1483.43,0.0000e+00
22.000,9.0744,9.0761,3.463278,3.463020,2.0393,21.813,0.741,32.2986,32.2944,5.0037,1025.0921,1025.0886,1483.52,1483.52,0.0000e+00
