PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,12.0889,12.1017,3.624033,3.624647,2.4687,2.975,0.042,31.2812,31.2764,6.0823,1023.6997,1023.6935,1492.74,1492.78,0.0000e+00
4.000,12.0196,11.9973,3.617997,3.616674,2.4330,3.966,0.452,31.2809,31.2869,5.8187,1023.7166,1023.7254,1492.52,1492.45,0.0000e+00
5.000,11.7789,11.7479,3.597255,3.597034,2.3857,4.958,0.487,31.2828,31.3068,5.6708,1023.7666,1023.7908,1491.70,1491.62,0.0000e+00
6.000,11.5250,11.4974,3.577453,3.574153,2.3503,5.950,0.408,31.3047,31.2959,5.6215,1023.8339,1023.8321,1490.86,1490.76,0.0000e+00
7.000,11.6717,11.6603,3.588881,3.588696,2.2944,6.941,0.648,31.2913,31.2991,5.1389,1023.8017,1023.8099,1491.37,1491.34,0.0000e+00
8.000,11.3309,11.2734,3.561005,3.560940,2.2048,7.933,0.773,31.3079,31.3561,4.7461,1023.8798,1023.9274,1490.22,1490.07,0.0000e+00
9.000,10.7747,10.7260,3.520038,3.518798,2.1033,8.924,0.544,31.3791,31.4085,4.5310,1024.0368,1024.0681,1488.35,1488.22,0.0000e+00
10.000,10.5121,10.5060,3.502817,3.502647,1.9895,9.916,0.405,31.4335,31.4370,4.4189,1024.1286,1024.1325,1487.50,1487.48,0.0000e+00
11.000,10.4363,10.4310,3.498525,3.498390,1.9377,10.907,0.581,31.4557,31.4589,4.3904,1024.1633,1024.1667,1487.27,1487.26,0.0000e+00
12.000,10.3867,10.3839,3.494655,3.494690,1.9102,11.899,0.636,31.4595,31.4623,4.3571,1024.1791,1024.1818,1487.12,1487.11,0.0000e+00
13.000,10.3410,10.3397,3.491027,3.491135,1.8888,12.890,0.611,31.4624,31.4646,4.3124,1024.1936,1024.1955,1486.97,1486.97,0.0000e+00
14.000,10.2998,10.2971,3.488232,3.488227,1.8635,13.882,0.483,31.4696,31.4720,4.1801,1024.2107,1024.2129,1486.85,1486.84,0.0000e+00
15.000,10.1617,10.1525,3.478411,3.478945,1.8111,14.874,0.543,31.4906,31.5040,3.9094,1024.2544,1024.2664,1486.39,1486.38,0.0000e+00
16.000,9.8387,9.8245,3.458061,3.458577,1.7568,15.865,0.630,31.5666,31.5843,3.7764,1024.3712,1024.3874,1485.33,1485.30,0.0000e+00
17.000,9.7102,9.7095,3.451364,3.451358,1.7176,16.857,0.551,31.6108,31.6114,3.7452,1024.4312,1024.4317,1484.93,1484.93,0.0000e+00
18.000,9.7010,9.7003,3.451305,3.451221,1.6886,17.848,0.513,31.6179,31.6177,3.7183,1024.4427,1024.4427,1484.93,1484.92,0.0000e+00
19.000,9.6684,9.6642,3.450623,3.450508,1.6679,18.840,0.532,31.6392,31.6418,3.6896,1024.4692,1024.4718,1484.85,1484.84,0.0000e+00
20.000,9.6005,9.5981,3.450998,3.450882,1.6546,19.831,0.572,31.7024,31.7035,3.6909,1024.5340,1024.5352,1484.69,1484.69,0.0000e+00
21.000,9.5737,9.5744,3.457758,3.457634,1.6496,20.823,0.620,31.7947,31.7928,3.7043,1024.6149,1024.6133,1484.72,1484.72,0.0000e+00
22.000,9.5755,9.5749,3.461859,3.461727,1.6477,21.814,0.624,31.8345,31.8337,3.7081,1024.6502,1024.6497,1484.80,1484.79,0.0000e+00
23.000,9.5726,9.5723,3.464026,3.463944,1.6458,22.806,0.470,31.8588,31.8582,3.6938,1024.6742,1024.6738,1484.83,1484.83,0.0000e+00
24.000,9.5567,9.5559,3.463482,3.463437,1.6379,23.797,0.452,31.8669,31.8672,3.6248,1024.6877,1024.6880,1484.80,1484.80,0.0000e+00
25.000,9.5199,9.5101,3.460674,3.460460,1.6230,24.789,0.721,31.8705,31.8770,3.5397,1024.7009,1024.7076,1484.69,1484.66,0.0000e+00
26.000,9.4376,9.4316,3.454335,3.454157,1.6083,25.780,0.692,31.8784,31.8818,3.4873,1024.7247,1024.7284,1484.41,1484.39,0.0000e+00
27.000,9.3780,9.3744,3.450828,3.450718,1.5871,26.772,0.466,31.8950,31.8972,3.4080,1024.7517,1024.7540,1484.23,1484.22,0.0000e+00
28.000,9.2946,9.2887,3.444437,3.444429,1.5575,27.763,0.528,31.9034,31.9085,3.3216,1024.7760,1024.7810,1483.95,1483.93,0.0000e+00
29.000,9.2262,9.2244,3.442126,3.442022,1.5413,28.755,0.710,31.9403,31.9409,3.3082,1024.8202,1024.8209,1483.75,1483.75,0.0000e+00
30.000,9.2208,9.2205,3.444345,3.444246,1.5316,29.746,0.600,31.9676,31.9668,3.3008,1024.8469,1024.8463,1483.79,1483.78,0.0000e+00
31.000,9.2103,9.2083,3.445802,3.445748,1.5202,30.737,0.409,31.9915,31.9928,3.2731,1024.8719,1024.8731,1483.79,1483.79,0.0000e+00
32.000,9.1613,9.1573,3.447107,3.447023,1.5086,31.729,0.576,32.0485,32.0512,3.2365,1024.9287,1024.9314,1483.70,1483.69,0.0000e+00
33.000,9.1227,9.1195,3.447308,3.447203,1.5006,32.720,0.661,32.0848,32.0867,3.2111,1024.9676,1024.9696,1483.62,1483.61,0.0000e+00
34.000,9.0875,9.0851,3.447871,3.447767,1.4918,33.712,0.614,32.1220,32.1230,3.1781,1025.0067,1025.0079,1483.55,1483.54,0.0000e+00
35.000,9.0339,9.0298,3.449513,3.449370,1.4809,34.703,0.558,32.1870,32.1892,3.1432,1025.0705,1025.0728,1483.45,1483.43,0.0000e+00
