PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,12.8573,12.8376,3.678968,3.678331,2.7100,1.983,0.316,31.1654,31.1756,6.6874,1023.4606,1023.4723,1495.21,1495.15,0.0000e+00
3.000,12.7330,12.7326,3.667078,3.667214,2.6967,2.975,0.430,31.1554,31.1570,6.6638,1023.4812,1023.4825,1494.79,1494.79,0.0000e+00
4.000,12.6830,12.6817,3.662413,3.662888,2.6744,3.966,0.794,31.1522,31.1578,6.5465,1023.4927,1023.4973,1494.63,1494.63,0.0000e+00
5.000,12.6371,12.6351,3.658266,3.658613,2.6620,4.958,0.825,31.1505,31.1555,6.5153,1023.5046,1023.5089,1494.49,1494.49,0.0000e+00
6.000,12.5792,12.5736,3.653097,3.653030,2.6464,5.950,0.517,31.1490,31.1530,6.4708,1023.5190,1023.5232,1494.31,1494.30,0.0000e+00
7.000,12.5204,12.5106,3.647955,3.647398,2.6179,6.941,0.506,31.1485,31.1514,6.3132,1023.5342,1023.5383,1494.13,1494.10,0.0000e+00
8.000,12.4064,12.3853,3.638000,3.638013,2.5671,7.933,0.560,31.1480,31.1657,6.0214,1023.5598,1023.5774,1493.75,1493.70,0.0000e+00
9.000,12.0397,11.9963,3.605775,3.605715,2.4786,8.924,0.599,31.1447,31.1804,5.5935,1023.6298,1023.6655,1492.50,1492.40,0.0000e+00
10.000,11.3399,11.3115,3.545272,3.547029,2.3725,9.916,0.707,31.1459,31.1870,5.2405,1023.7616,1023.7986,1490.09,1490.04,0.0000e+00
11.000,11.0003,10.9863,3.516595,3.517196,2.2611,10.907,0.540,31.1518,31.1696,5.0053,1023.8303,1023.8466,1488.92,1488.89,0.0000e+00
12.000,10.8856,10.8835,3.508146,3.508201,2.1517,11.899,0.519,31.1657,31.1680,4.7766,1023.8655,1023.8677,1488.54,1488.54,0.0000e+00
13.000,10.8226,10.8150,3.504975,3.505293,2.0733,12.890,0.707,31.1875,31.1972,4.5089,1023.8979,1023.9067,1488.36,1488.35,0.0000e+00
