PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,14.6072,14.5913,3.834128,3.833025,3.5184,2.975,-0.128,31.1742,31.1770,8.8750,1023.1207,1023.1262,1501.01,1500.96,0.0000e+00
4.000,14.6807,14.6814,3.840991,3.841639,3.4965,3.966,0.780,31.1769,31.1823,8.6570,1023.1119,1023.1158,1501.27,1501.27,0.0000e+00
5.000,14.5385,14.5189,3.827978,3.830732,3.4283,4.958,0.741,31.1729,31.2137,8.2801,1023.1429,1023.1784,1500.82,1500.80,0.0000e+00
6.000,13.8466,13.8268,3.767757,3.768705,3.3404,5.950,0.552,31.1813,31.2060,8.1034,1023.2960,1023.3191,1498.59,1498.55,0.0000e+00
7.000,13.7236,13.7215,3.757426,3.757648,3.2556,6.941,0.389,31.1856,31.1894,7.9470,1023.3285,1023.3318,1498.20,1498.20,0.0000e+00
8.000,13.6721,13.6647,3.753189,3.753348,3.1661,7.933,0.592,31.1879,31.1955,7.7043,1023.3451,1023.3524,1498.05,1498.04,0.0000e+00
9.000,13.4942,13.4903,3.739466,3.739784,3.1167,8.924,0.525,31.2056,31.2118,7.6943,1023.3987,1023.4043,1497.50,1497.50,0.0000e+00
10.000,13.4989,13.5037,3.742616,3.742525,3.1002,9.916,0.609,31.2306,31.2259,7.7258,1023.4216,1023.4170,1497.56,1497.57,0.0000e+00
11.000,13.5837,13.6253,3.749017,3.750452,3.0878,10.907,0.822,31.2203,31.1997,7.3539,1023.4012,1023.3770,1497.85,1497.96,0.0000e+00
12.000,13.6367,13.6015,3.755848,3.755481,2.9698,11.899,0.691,31.2399,31.2654,6.6638,1023.4102,1023.4369,1498.06,1497.98,0.0000e+00
13.000,13.8272,13.8870,3.811624,3.814756,2.7876,12.890,0.555,31.5980,31.5779,6.1558,1023.6526,1023.6251,1499.13,1499.30,0.0000e+00
