PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,14.6562,14.6560,3.837060,3.837206,3.4644,1.983,-0.580,31.1618,31.1632,8.6767,1023.0965,1023.0976,1501.14,1501.14,0.0000e+00
3.000,14.6465,14.6422,3.836191,3.835810,3.4643,2.975,0.743,31.1613,31.1613,8.6798,1023.1026,1023.1035,1501.12,1501.11,0.0000e+00
4.000,14.6433,14.6488,3.835998,3.836315,3.4630,3.966,0.488,31.1618,31.1603,8.6620,1023.1081,1023.1057,1501.13,1501.14,0.0000e+00
5.000,14.6367,14.6323,3.835460,3.835136,3.4521,4.958,0.518,31.1618,31.1625,8.6109,1023.1139,1023.1153,1501.12,1501.11,0.0000e+00
6.000,14.5995,14.5997,3.832244,3.832647,3.4460,5.950,0.749,31.1622,31.1657,8.6206,1023.1265,1023.1292,1501.02,1501.03,0.0000e+00
7.000,14.5469,14.5397,3.827570,3.828633,3.4348,6.941,0.506,31.1618,31.1772,8.5812,1023.1416,1023.1550,1500.87,1500.86,0.0000e+00
8.000,14.3536,14.3358,3.811106,3.810754,3.4209,7.933,0.820,31.1673,31.1784,8.5481,1023.1905,1023.2027,1500.26,1500.22,0.0000e+00
9.000,14.3498,14.3795,3.811165,3.813479,3.4071,8.924,0.658,31.1705,31.1677,8.4464,1023.1982,1023.1899,1500.27,1500.37,0.0000e+00
10.000,14.3585,14.2797,3.811288,3.807330,3.3558,9.916,0.457,31.1642,31.1917,8.2664,1023.1959,1023.2333,1500.31,1500.08,0.0000e+00
11.000,13.9023,13.9025,3.773318,3.773501,3.3336,10.907,0.562,31.1853,31.1868,8.4068,1023.3101,1023.3112,1498.86,1498.86,0.0000e+00
12.000,13.9011,13.9154,3.774363,3.775788,3.2723,11.899,0.387,31.1955,31.1970,7.9736,1023.3227,1023.3209,1498.88,1498.93,0.0000e+00
13.000,13.8251,13.8219,3.771666,3.771507,3.1512,12.890,0.822,31.2320,31.2332,7.2927,1023.3708,1023.3724,1498.69,1498.69,0.0000e+00
14.000,13.8240,13.8241,3.775898,3.775691,3.0597,13.882,1.089,31.2716,31.2695,6.9428,1023.4060,1023.4044,1498.75,1498.75,0.0000e+00
15.000,13.7759,13.7667,3.777264,3.777312,2.9687,14.874,0.925,31.3230,31.3310,6.7044,1023.4599,1023.4679,1498.67,1498.65,0.0000e+00
16.000,13.7893,13.7965,3.793257,3.792278,2.7989,15.865,0.465,31.4592,31.4442,6.3618,1023.5668,1023.5538,1498.89,1498.90,0.0000e+00
17.000,14.0723,14.1236,3.841019,3.840329,2.6395,16.857,0.742,31.6658,31.6175,6.0114,1023.6730,1023.6252,1500.08,1500.19,0.0000e+00
18.000,13.9107,13.8383,3.855868,3.858158,2.6085,17.848,0.851,31.9357,32.0173,6.0434,1023.9183,1023.9961,1499.88,1499.74,0.0000e+00
19.000,13.4321,13.4277,3.819374,3.819610,2.5586,18.840,0.578,31.9967,32.0026,6.0700,1024.0672,1024.0726,1498.39,1498.39,0.0000e+00
20.000,13.2687,13.2561,3.807576,3.807977,2.5232,19.831,0.864,32.0233,32.0376,6.0514,1024.1247,1024.1383,1497.90,1497.87,0.0000e+00
21.000,13.1195,13.1040,3.797556,3.798126,2.5232,20.823,0.740,32.0547,32.0732,6.0757,1024.1829,1024.2003,1497.45,1497.42,0.0000e+00
22.000,12.8460,12.8344,3.778561,3.778762,2.5198,21.814,0.535,32.1068,32.1186,6.0820,1024.2812,1024.2926,1496.61,1496.59,0.0000e+00
23.000,12.6933,12.6786,3.767562,3.767355,2.5111,22.806,0.570,32.1321,32.1427,6.0679,1024.3349,1024.3459,1496.14,1496.11,0.0000e+00
24.000,12.3713,12.3484,3.742835,3.743078,2.5036,23.797,0.554,32.1714,32.1933,6.0755,1024.4313,1024.4526,1495.11,1495.06,0.0000e+00
25.000,12.1560,12.1500,3.726192,3.726421,2.4879,24.789,0.421,32.1963,32.2038,6.0352,1024.4959,1024.5027,1494.42,1494.41,0.0000e+00
