PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,14.7700,14.7663,3.848371,3.848133,3.4461,2.975,0.226,31.1724,31.1732,8.6008,1023.0852,1023.0866,1501.53,1501.52,0.0000e+00
4.000,14.7182,14.7194,3.843710,3.843816,3.4464,3.966,0.496,31.1714,31.1715,8.6161,1023.0998,1023.0995,1501.38,1501.39,0.0000e+00
5.000,14.6987,14.7031,3.841937,3.842395,3.4471,4.958,0.525,31.1707,31.1713,8.6214,1023.1078,1023.1073,1501.33,1501.35,0.0000e+00
6.000,14.7038,14.7088,3.842503,3.842845,3.4467,5.950,0.572,31.1713,31.1705,8.6156,1023.1116,1023.1099,1501.37,1501.38,0.0000e+00
7.000,14.7074,14.7093,3.842821,3.842947,3.4456,6.941,0.730,31.1710,31.1706,8.6214,1023.1151,1023.1144,1501.40,1501.40,0.0000e+00
8.000,14.7008,14.7003,3.842216,3.842187,3.4478,7.933,0.682,31.1704,31.1705,8.6388,1023.1205,1023.1207,1501.39,1501.39,0.0000e+00
9.000,14.6957,14.6927,3.841739,3.841482,3.4514,8.924,0.548,31.1699,31.1699,8.6396,1023.1256,1023.1263,1501.39,1501.38,0.0000e+00
10.000,14.6908,14.6974,3.841386,3.841787,3.4486,9.916,0.669,31.1702,31.1685,8.6142,1023.1313,1023.1287,1501.39,1501.41,0.0000e+00
11.000,14.7036,14.6839,3.842551,3.841297,3.4437,10.907,0.521,31.1701,31.1746,8.5967,1023.1330,1023.1406,1501.45,1501.39,0.0000e+00
12.000,14.5526,14.5342,3.828830,3.827968,3.4357,11.899,0.499,31.1667,31.1737,8.5044,1023.1665,1023.1757,1500.97,1500.92,0.0000e+00
13.000,14.2202,14.1590,3.800650,3.798881,3.3018,12.890,0.526,31.1775,31.2110,7.6740,1023.2480,1023.2864,1499.92,1499.76,0.0000e+00
14.000,13.9159,14.0042,3.777884,3.785864,3.1624,13.882,0.942,31.2151,31.2169,7.1062,1023.3437,1023.3272,1498.99,1499.28,0.0000e+00
15.000,13.8522,13.8664,3.788079,3.787716,3.0478,14.874,0.897,31.3604,31.3455,6.7433,1023.4733,1023.4589,1498.97,1498.99,0.0000e+00
16.000,13.9639,13.9758,3.815287,3.815778,2.8789,15.865,0.506,31.5190,31.5137,6.2995,1023.5775,1023.5710,1499.53,1499.57,0.0000e+00
17.000,13.8659,13.8155,3.823502,3.823703,2.6661,16.857,0.622,31.6749,31.7184,5.9460,1023.7222,1023.7659,1499.41,1499.30,0.0000e+00
18.000,13.2673,13.2310,3.785312,3.785478,2.6207,17.848,1.264,31.8169,31.8488,6.0179,1023.9565,1023.9882,1497.62,1497.53,0.0000e+00
19.000,13.1935,13.1924,3.789539,3.789047,2.5939,18.840,0.966,31.9179,31.9142,6.0247,1024.0536,1024.0510,1497.50,1497.50,0.0000e+00
20.000,13.1375,13.1260,3.792284,3.792435,2.5279,19.831,0.567,31.9904,32.0016,6.0673,1024.1252,1024.1361,1497.42,1497.39,0.0000e+00
21.000,12.9221,12.8984,3.781534,3.782232,2.4877,20.823,1.324,32.0708,32.0974,5.9842,1024.2340,1024.2593,1496.81,1496.76,0.0000e+00
22.000,12.7717,12.7564,3.772364,3.772844,2.4872,21.814,1.242,32.1113,32.1289,6.0019,1024.2991,1024.3157,1496.37,1496.34,0.0000e+00
23.000,12.4973,12.4623,3.750012,3.751195,2.4848,22.806,0.922,32.1324,32.1737,6.0296,1024.3727,1024.4113,1495.48,1495.41,0.0000e+00
24.000,12.1608,12.1544,3.722795,3.723023,2.4785,23.797,0.431,32.1600,32.1677,6.0473,1024.4623,1024.4695,1494.38,1494.37,0.0000e+00
25.000,12.1061,12.1041,3.718901,3.719064,2.4701,24.789,0.665,32.1693,32.1725,6.0255,1024.4842,1024.4871,1494.22,1494.22,0.0000e+00
26.000,12.0270,12.0203,3.713100,3.713175,2.4648,25.780,0.525,32.1811,32.1876,6.0247,1024.5127,1024.5189,1493.98,1493.96,0.0000e+00
27.000,11.9213,11.9173,3.704602,3.704592,2.4516,26.772,0.466,32.1899,32.1932,5.9851,1024.5436,1024.5470,1493.64,1493.63,0.0000e+00
28.000,11.8441,11.8388,3.697130,3.697350,2.4441,27.763,0.895,32.1839,32.1906,5.9909,1024.5577,1024.5640,1493.39,1493.37,0.0000e+00
29.000,11.8151,11.8148,3.696338,3.696148,2.4439,28.755,0.984,32.2009,32.1993,6.0066,1024.5808,1024.5796,1493.32,1493.32,0.0000e+00
