PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,13.5213,13.5228,3.748165,3.748212,2.6334,2.975,0.166,31.2665,31.2657,6.3814,1023.4134,1023.4125,1497.56,1497.57,0.0000e+00
4.000,13.5264,13.5264,3.748633,3.748615,2.6339,3.966,0.575,31.2663,31.2661,6.3822,1023.4168,1023.4166,1497.60,1497.60,0.0000e+00
5.000,13.5278,13.5282,3.748810,3.748802,2.6339,4.958,0.450,31.2664,31.2660,6.3823,1023.4210,1023.4206,1497.62,1497.62,0.0000e+00
6.000,13.5280,13.5273,3.748868,3.748820,2.6340,5.949,0.430,31.2664,31.2665,6.3832,1023.4255,1023.4257,1497.63,1497.63,0.0000e+00
7.000,13.5267,13.5268,3.748825,3.748811,2.6337,6.941,0.348,31.2667,31.2664,6.3849,1023.4304,1023.4302,1497.65,1497.65,0.0000e+00
8.000,13.5258,13.5262,3.748812,3.748814,2.6351,7.933,0.572,31.2669,31.2666,6.3840,1023.4353,1023.4350,1497.66,1497.66,0.0000e+00
9.000,13.5303,13.5296,3.749175,3.749103,2.6334,8.924,0.685,31.2662,31.2661,6.3778,1023.4383,1023.4384,1497.69,1497.69,0.0000e+00
10.000,13.5225,13.5231,3.748663,3.748641,2.6328,9.916,0.410,31.2675,31.2668,6.3808,1023.4453,1023.4447,1497.68,1497.69,0.0000e+00
11.000,13.5271,13.5265,3.749031,3.749014,2.6314,10.907,0.475,31.2667,31.2671,6.3648,1023.4483,1023.4487,1497.72,1497.71,0.0000e+00
12.000,13.4917,13.4914,3.746500,3.746692,2.6207,11.899,0.381,31.2718,31.2739,6.2979,1023.4638,1023.4654,1497.62,1497.62,0.0000e+00
13.000,13.4191,13.3992,3.741204,3.740489,2.6040,12.890,0.733,31.2817,31.2914,6.2402,1023.4904,1023.5017,1497.41,1497.35,0.0000e+00
14.000,13.2012,13.2016,3.725453,3.726198,2.5753,13.882,0.456,31.3136,31.3202,6.1462,1023.5623,1023.5674,1496.73,1496.74,0.0000e+00
