PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,10.6478,10.6516,3.746003,3.746765,0.3309,1.9921,3.64,2.977,0.390,33.7465,33.7506,5.0879,1025.8754,1025.8779,1490.67,1490.69,0.0000e+00
4.000,10.4843,10.4901,3.730827,3.731666,0.3615,1.9852,4.03,3.970,0.485,33.7450,33.7480,5.0701,1025.9072,1025.9086,1490.10,1490.13,0.0000e+00
5.000,10.3169,10.3136,3.715067,3.715150,0.3482,1.9788,5.01,4.962,0.502,33.7410,33.7449,5.0990,1025.9376,1025.9412,1489.52,1489.51,0.0000e+00
6.000,10.1449,10.1425,3.698942,3.699089,0.3775,1.9813,5.12,5.954,0.742,33.7373,33.7410,5.1504,1025.9687,1025.9720,1488.91,1488.91,0.0000e+00
7.000,10.0994,10.0958,3.694312,3.694333,0.3942,1.9861,29.75,6.947,0.585,33.7323,33.7358,5.1751,1025.9770,1025.9804,1488.76,1488.75,0.0000e+00
8.000,10.0695,10.0712,3.691370,3.691906,0.3755,1.9901,25.55,7.939,0.350,33.7298,33.7336,5.1506,1025.9846,1025.9874,1488.67,1488.68,0.0000e+00
9.000,10.0277,10.0238,3.687118,3.687020,0.3980,1.9818,77.74,8.932,0.579,33.7251,33.7277,5.0413,1025.9926,1025.9953,1488.53,1488.52,0.0000e+00
10.000,9.6977,9.6818,3.653514,3.652407,0.3946,1.9583,98.37,9.924,0.572,33.6898,33.6934,4.9153,1026.0246,1026.0301,1487.31,1487.25,0.0000e+00
11.000,9.4615,9.4563,3.630565,3.630548,0.2995,1.9284,83.98,10.916,0.551,33.6751,33.6798,4.8521,1026.0566,1026.0611,1486.45,1486.43,0.0000e+00
12.000,9.3577,9.3568,3.621326,3.621666,0.2674,1.9038,67.19,11.909,0.448,33.6769,33.6813,4.7995,1026.0794,1026.0831,1486.09,1486.09,0.0000e+00
13.000,9.3150,9.3131,3.617918,3.618146,0.2268,1.8751,65.43,12.901,0.395,33.6814,33.6856,4.7412,1026.0944,1026.0980,1485.95,1485.95,0.0000e+00
14.000,9.2908,9.2899,3.616647,3.616981,0.2215,1.8590,91.58,13.893,0.644,33.6906,33.6949,4.6867,1026.1101,1026.1136,1485.89,1485.89,0.0000e+00
15.000,9.2624,9.2609,3.614564,3.614823,0.2363,1.8445,98.59,14.886,0.528,33.6954,33.6995,4.6500,1026.1229,1026.1265,1485.81,1485.81,0.0000e+00
16.000,9.2066,9.2074,3.609843,3.610313,0.2210,1.8275,98.84,15.878,0.428,33.6987,33.7028,4.6026,1026.1391,1026.1421,1485.62,1485.63,0.0000e+00
17.000,9.1764,9.1764,3.607019,3.607393,0.2184,1.8140,79.63,16.870,0.556,33.6974,33.7013,4.5732,1026.1474,1026.1505,1485.53,1485.53,0.0000e+00
18.000,9.1642,9.1637,3.606368,3.606689,0.2160,1.8035,70.89,17.863,0.487,33.7018,33.7055,4.5437,1026.1574,1026.1604,1485.50,1485.51,0.0000e+00
19.000,9.1420,9.1439,3.604886,3.605427,0.2032,1.7898,99.16,18.855,0.405,33.7069,33.7107,4.4619,1026.1695,1026.1722,1485.45,1485.46,0.0000e+00
20.000,9.0954,9.0915,3.601201,3.601278,0.1926,1.7652,98.84,19.847,0.610,33.7122,33.7167,4.3135,1026.1856,1026.1898,1485.30,1485.29,0.0000e+00
21.000,8.9779,8.9757,3.593258,3.593475,0.2049,1.7435,79.13,20.840,0.550,33.7403,33.7447,4.2753,1026.2308,1026.2346,1484.92,1484.91,0.0000e+00
22.000,8.9599,8.9598,3.592940,3.593293,0.1740,1.7232,99.55,21.832,0.378,33.7536,33.7574,4.2685,1026.2486,1026.2516,1484.88,1484.89,0.0000e+00
23.000,8.9614,8.9611,3.593623,3.593948,0.2005,1.7126,98.85,22.824,0.647,33.7589,33.7626,4.2501,1026.2571,1026.2601,1484.91,1484.91,0.0000e+00
24.000,8.9577,8.9575,3.593913,3.594226,0.1861,1.7073,70.20,23.817,0.520,33.7649,33.7685,4.2518,1026.2670,1026.2698,1484.92,1484.92,0.0000e+00
25.000,8.9593,8.9593,3.594644,3.594977,0.1808,1.7033,90.13,24.809,0.404,33.7706,33.7742,4.2553,1026.2757,1026.2785,1484.95,1484.95,0.0000e+00
26.000,8.9615,8.9613,3.595602,3.595916,0.1935,1.7001,99.17,25.801,0.495,33.7781,33.7815,4.2406,1026.2858,1026.2885,1484.98,1484.99,0.0000e+00
27.000,8.9651,8.9651,3.596974,3.597292,0.1936,1.6979,75.47,26.794,0.613,33.7885,33.7918,4.2408,1026.2979,1026.3005,1485.03,1485.03,0.0000e+00
28.000,8.9682,8.9682,3.597600,3.597952,0.1944,1.6968,85.68,27.786,0.412,33.7917,33.7954,4.2404,1026.3045,1026.3073,1485.06,1485.06,0.0000e+00
29.000,8.9759,8.9759,3.599773,3.600148,0.2065,1.6937,99.75,28.778,0.435,33.8066,33.8105,4.2127,1026.3194,1026.3225,1485.12,1485.12,0.0000e+00
30.000,8.9749,8.9748,3.600586,3.600927,0.2642,1.6908,75.51,29.770,0.656,33.8156,33.8192,4.2111,1026.3312,1026.3340,1485.14,1485.15,0.0000e+00
31.000,8.9749,8.9747,3.600915,3.601221,0.2464,1.6891,80.77,30.763,0.551,33.8185,33.8219,4.2174,1026.3381,1026.3407,1485.16,1485.17,0.0000e+00
32.000,8.9765,8.9764,3.601258,3.601561,0.1909,1.6897,99.15,31.755,0.370,33.8201,33.8234,4.2165,1026.3436,1026.3462,1485.19,1485.19,0.0000e+00
33.000,8.9758,8.9756,3.601474,3.601789,0.1963,1.6875,84.64,32.747,0.564,33.8226,33.8261,4.2059,1026.3502,1026.3529,1485.21,1485.21,0.0000e+00
34.000,8.9760,8.9759,3.601802,3.602124,0.1977,1.6866,77.29,33.740,0.584,33.8254,33.8288,4.2090,1026.3569,1026.3596,1485.23,1485.23,0.0000e+00
35.000,8.9756,8.9755,3.602896,3.603202,0.1945,1.6857,100.33,34.732,0.350,33.8367,33.8400,4.2005,1026.3704,1026.3729,1485.25,1485.26,0.0000e+00
36.000,8.9739,8.9738,3.603834,3.604143,0.2134,1.6819,87.27,35.724,0.652,33.8477,33.8510,4.1731,1026.3838,1026.3864,1485.28,1485.28,0.0000e+00
37.000,8.9712,8.9714,3.604593,3.604885,0.2203,1.6797,64.27,36.716,0.862,33.8577,33.8606,4.1651,1026.3966,1026.3988,1485.30,1485.30,0.0000e+00
38.000,8.9617,8.9611,3.605071,3.605372,0.2211,1.6757,88.12,37.708,0.529,33.8712,33.8750,4.1507,1026.4133,1026.4163,1485.30,1485.30,0.0000e+00
39.000,8.9514,8.9516,3.605270,3.605558,0.2018,1.6683,84.49,38.701,0.750,33.8827,33.8855,4.0955,1026.4285,1026.4306,1485.29,1485.29,0.0000e+00
40.000,8.9438,8.9439,3.605082,3.605373,0.2239,1.6630,78.83,39.693,0.908,33.8876,33.8905,4.0626,1026.4380,1026.4403,1485.28,1485.29,0.0000e+00
41.000,8.9082,8.9070,3.603256,3.603477,0.2442,1.6548,79.72,40.685,0.541,33.9020,33.9055,4.0170,1026.4595,1026.4624,1485.18,1485.18,0.0000e+00
42.000,8.8554,8.8546,3.599940,3.600177,0.2284,1.6200,100.17,41.677,0.501,33.9172,33.9205,3.8474,1026.4843,1026.4870,1485.03,1485.02,0.0000e+00
43.000,8.8278,8.8271,3.598021,3.598270,0.2464,1.6052,86.24,42.670,0.671,33.9230,33.9263,3.8152,1026.4978,1026.5004,1484.95,1484.95,0.0000e+00
44.000,8.8140,8.8147,3.597043,3.597397,0.2540,1.5909,72.55,43.662,0.490,33.9256,33.9286,3.7945,1026.5065,1026.5087,1484.91,1484.92,0.0000e+00
45.000,8.8051,8.8037,3.596404,3.596594,0.2424,1.5743,81.40,44.654,0.375,33.9269,33.9302,3.7217,1026.5135,1026.5163,1484.90,1484.90,0.0000e+00
46.000,8.7651,8.7633,3.593162,3.593313,0.2407,1.5515,70.15,45.646,0.596,33.9307,33.9340,3.5859,1026.5273,1026.5301,1484.77,1484.77,0.0000e+00
47.000,8.7343,8.7335,3.590726,3.590949,0.2538,1.5314,98.57,46.638,0.721,33.9341,33.9372,3.4976,1026.5393,1026.5419,1484.68,1484.68,0.0000e+00
48.000,8.6816,8.6787,3.586329,3.586401,0.2513,1.5090,86.84,47.631,0.486,33.9380,33.9415,3.4405,1026.5552,1026.5584,1484.50,1484.50,0.0000e+00
49.000,8.6535,8.6532,3.584007,3.584292,0.2267,1.4789,68.33,48.623,0.520,33.9400,33.9433,3.3912,1026.5657,1026.5683,1484.42,1484.42,0.0000e+00
