PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,13.0259,13.0279,3.884956,3.885555,0.3338,2.3735,4.67,1.984,0.184,32.9664,32.9703,6.1057,1024.8217,1024.8243,1497.90,1497.91,0.0000e+00
3.000,13.0239,13.0223,3.884538,3.884598,0.3679,2.3733,4.30,2.977,0.539,32.9638,32.9657,6.1334,1024.8245,1024.8264,1497.91,1497.91,0.0000e+00
4.000,13.0160,13.0166,3.885681,3.886019,0.3975,2.3723,36.02,3.969,0.391,32.9811,32.9838,6.1050,1024.8439,1024.8459,1497.92,1497.93,0.0000e+00
5.000,13.0051,13.0056,3.884876,3.885240,0.3786,2.3700,29.28,4.961,0.383,32.9825,32.9856,6.1029,1024.8517,1024.8539,1497.90,1497.91,0.0000e+00
6.000,13.0021,13.0056,3.884834,3.885407,0.3630,2.3662,102.29,5.953,0.690,32.9843,32.9867,6.0728,1024.8582,1024.8594,1497.91,1497.93,0.0000e+00
7.000,12.9950,12.9977,3.884342,3.884879,0.3874,2.3664,72.52,6.945,0.752,32.9854,32.9882,6.0734,1024.8649,1024.8665,1497.91,1497.92,0.0000e+00
8.000,12.8644,12.8318,3.874581,3.872447,0.3921,2.3584,82.84,7.938,0.540,33.0065,33.0147,6.0630,1024.9114,1024.9240,1497.51,1497.41,0.0000e+00
9.000,12.7455,12.7352,3.866171,3.865597,0.4033,2.3581,67.21,8.930,0.494,33.0301,33.0337,6.1128,1024.9573,1024.9622,1497.15,1497.12,0.0000e+00
10.000,12.7097,12.6880,3.863330,3.862069,0.4276,2.3595,98.79,9.922,0.573,33.0340,33.0410,6.1272,1024.9718,1024.9815,1497.05,1496.99,0.0000e+00
11.000,12.7742,12.7571,3.868001,3.867279,0.3892,2.3632,94.91,10.914,0.543,33.0216,33.0296,6.0892,1024.9542,1024.9637,1497.27,1497.23,0.0000e+00
12.000,12.8619,12.8575,3.874200,3.874080,0.3901,2.3463,72.32,11.906,0.478,33.0034,33.0061,5.9846,1024.9274,1024.9303,1497.56,1497.55,0.0000e+00
13.000,12.5857,12.5369,3.853468,3.849819,0.4352,2.3372,83.04,12.898,0.800,33.0474,33.0554,6.0256,1025.0198,1025.0354,1496.70,1496.55,0.0000e+00
14.000,12.4942,12.4449,3.845569,3.841804,0.4086,2.3355,98.78,13.891,0.838,33.0519,33.0593,6.0482,1025.0454,1025.0606,1496.41,1496.25,0.0000e+00
15.000,12.4745,12.4522,3.843930,3.842254,0.6496,2.3335,98.83,14.883,0.640,33.0531,33.0567,6.0163,1025.0546,1025.0617,1496.36,1496.29,0.0000e+00
16.000,12.3836,12.4394,3.836469,3.841462,0.4139,2.3144,98.83,15.875,0.446,33.0612,33.0600,5.8672,1025.0828,1025.0712,1496.08,1496.27,0.0000e+00
17.000,12.2029,12.2024,3.822177,3.822583,0.3698,2.2730,82.59,16.867,0.828,33.0829,33.0872,5.6389,1025.1386,1025.1420,1495.51,1495.51,0.0000e+00
18.000,12.0444,12.0052,3.805105,3.801954,0.3869,2.2475,99.00,17.859,1.052,33.0578,33.0620,5.5638,1025.1535,1025.1641,1494.95,1494.82,0.0000e+00
19.000,11.4974,11.4796,3.753083,3.752387,0.3768,2.2172,98.83,18.851,1.275,33.0375,33.0465,5.5599,1025.2437,1025.2540,1493.06,1493.01,0.0000e+00
