PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
3.000,15.1725,15.1771,3.981196,3.980850,2.5762,2.3558,21.5830,24.2903,98.90,2.975,0.155,32.0412,32.0344,5.9220,5.7802,1023.6682,1023.6619,1503.83,1503.83,0.0000e+00
4.000,15.1759,15.1791,3.981551,3.981420,2.5777,2.3514,21.6460,24.2913,98.90,3.966,0.382,32.0413,32.0374,5.9203,5.7736,1023.6719,1023.6683,1503.85,1503.86,0.0000e+00
5.000,15.1731,15.1766,3.981424,3.981419,2.5743,2.3528,21.7897,24.2912,98.90,4.958,0.648,32.0420,32.0391,5.9054,5.7874,1023.6775,1023.6746,1503.87,1503.87,0.0000e+00
6.000,15.1735,15.1745,3.981501,3.981276,2.5738,2.3521,21.7457,24.2915,98.90,5.949,0.535,32.0420,32.0392,5.9008,5.7798,1023.6819,1023.6795,1503.88,1503.88,0.0000e+00
7.000,15.1748,15.1771,3.981642,3.981536,2.5654,2.3419,21.6609,24.2913,98.90,6.941,0.454,32.0418,32.0390,5.9015,5.7385,1023.6860,1023.6833,1503.90,1503.91,0.0000e+00
8.000,15.0164,15.0121,3.967876,3.973223,2.5756,2.3377,21.5406,24.2912,71.16,7.932,0.740,32.0474,32.0992,6.0206,5.7874,1023.7288,1023.7696,1503.42,1503.47,0.0000e+00
9.000,14.4961,14.4872,3.922343,3.932310,2.5968,2.3513,21.7042,24.2914,74.62,8.924,0.769,32.0632,32.1614,6.1556,5.9364,1023.8557,1023.9334,1501.79,1501.87,0.0000e+00
10.000,14.0252,14.0328,3.881982,3.885972,2.6112,2.3723,21.7299,24.2914,77.55,9.915,0.405,32.0843,32.1147,6.2045,6.0466,1023.9745,1023.9964,1500.30,1500.36,0.0000e+00
11.000,13.9435,13.9447,3.874838,3.876197,2.6067,2.3753,22.0308,24.2912,95.41,10.907,0.396,32.0862,32.0977,6.1026,5.9841,1023.9972,1024.0058,1500.05,1500.07,0.0000e+00
12.000,13.8596,13.8623,3.867577,3.869196,2.5822,2.3610,22.1327,24.2912,98.97,11.899,0.618,32.0889,32.1016,6.0215,5.9185,1024.0208,1024.0301,1499.80,1499.82,0.0000e+00
13.000,13.6114,13.6117,3.845663,3.852280,2.5692,2.3453,22.1591,24.2914,98.90,12.890,0.762,32.0932,32.1545,6.0270,5.8968,1024.0789,1024.1261,1499.00,1499.07,0.0000e+00
14.000,13.2479,13.2494,3.815284,3.821038,2.5568,2.3345,22.1645,24.2914,98.90,13.882,0.544,32.1154,32.1681,6.0105,5.9077,1024.1731,1024.2136,1497.84,1497.90,0.0000e+00
15.000,12.7287,12.7182,3.771596,3.781194,2.4821,2.2764,22.2385,24.2912,98.90,14.873,0.599,32.1434,32.2434,5.7570,5.6856,1024.3008,1024.3802,1496.14,1496.23,0.0000e+00
16.000,12.3006,12.2866,3.735344,3.742302,2.4572,2.2488,22.1861,24.2912,98.90,15.864,0.872,32.1635,32.2424,5.7418,5.6522,1024.4026,1024.4664,1494.73,1494.78,0.0000e+00
17.000,11.6814,11.6827,3.683020,3.694058,2.4256,2.2202,22.2449,24.2916,98.90,16.856,0.497,32.1924,32.2986,5.7361,5.6558,1024.5446,1024.6267,1492.65,1492.78,0.0000e+00
18.000,11.1876,11.1997,3.642207,3.649036,2.3697,2.1703,21.9660,24.2909,98.90,17.848,0.613,32.2231,32.2798,5.6880,5.5969,1024.6622,1024.7040,1490.98,1491.09,0.0000e+00
19.000,10.9633,10.9578,3.623923,3.628686,2.3597,2.1609,21.7665,24.2907,98.90,18.839,0.838,32.2391,32.2910,5.7068,5.6224,1024.7186,1024.7600,1490.23,1490.27,0.0000e+00
20.000,10.8246,10.8264,3.613131,3.616049,2.3365,2.1439,21.7336,24.2911,98.90,19.830,0.492,32.2537,32.2811,5.6464,5.5743,1024.7589,1024.7798,1489.77,1489.81,0.0000e+00
21.000,10.7112,10.7017,3.603595,3.608137,2.3048,2.1132,21.5346,24.2905,98.90,20.822,0.802,32.2585,32.3122,5.5785,5.4754,1024.7868,1024.8302,1489.39,1489.42,0.0000e+00
22.000,10.2858,10.2747,3.567344,3.574945,2.3006,2.1073,21.6593,24.2907,98.56,21.813,0.851,32.2723,32.3587,5.6193,5.5291,1024.8747,1024.9439,1487.90,1487.97,0.0000e+00
23.000,9.9167,9.9019,3.536278,3.541958,2.2692,2.0811,21.6036,24.2907,98.92,22.805,0.570,32.2874,32.3583,5.5899,5.4884,1024.9527,1025.0105,1486.61,1486.64,0.0000e+00
24.000,9.7560,9.7510,3.522776,3.526555,2.2608,2.0678,21.4558,24.2902,98.90,23.796,1.150,32.2937,32.3367,5.6318,5.4971,1024.9886,1025.0229,1486.05,1486.08,0.0000e+00
25.000,9.5121,9.4999,3.502505,3.509678,2.2633,2.0672,21.3997,24.2900,98.90,24.788,1.259,32.3055,32.3900,5.6707,5.5475,1025.0418,1025.1098,1485.19,1485.25,0.0000e+00
26.000,9.3457,9.3470,3.489147,3.492930,2.2608,2.0674,21.3574,24.2896,98.90,25.779,0.863,32.3181,32.3559,5.6920,5.5821,1025.0829,1025.1122,1484.61,1484.66,0.0000e+00
27.000,9.1518,9.1425,3.473349,3.479096,2.2675,2.0612,21.3838,24.2897,98.89,26.771,1.105,32.3304,32.3982,5.9446,5.6830,1025.1277,1025.1822,1483.93,1483.97,0.0000e+00
28.000,8.8713,8.8643,3.452303,3.457572,2.2894,2.0769,21.4251,24.2885,98.90,27.762,1.228,32.3668,32.4280,6.0412,5.8199,1025.2044,1025.2534,1482.95,1483.00,0.0000e+00
29.000,8.7708,8.7695,3.447036,3.449592,2.3030,2.0946,21.4093,24.2898,98.90,28.753,0.839,32.4032,32.4310,6.0223,5.8806,1025.2529,1025.2749,1482.63,1482.66,0.0000e+00
30.000,8.7058,8.7106,3.443432,3.445818,2.3477,2.1314,21.2728,24.2910,98.90,29.745,0.851,32.4246,32.4451,6.2956,6.0336,1025.2842,1025.2995,1482.43,1482.48,0.0000e+00
31.000,8.6952,8.6950,3.444542,3.444649,2.3673,2.1475,21.1940,24.2914,98.90,30.736,1.130,32.4455,32.4467,6.3302,6.1110,1025.3067,1025.3077,1482.44,1482.44,0.0000e+00
32.000,8.6550,8.6551,3.441913,3.442905,2.3808,2.1626,21.3291,24.2909,98.90,31.728,0.957,32.4544,32.4647,6.3254,6.1544,1025.3244,1025.3324,1482.31,1482.33,0.0000e+00
33.000,8.6122,8.6187,3.438956,3.440448,2.3965,2.1865,21.3424,24.2906,98.83,32.719,0.456,32.4622,32.4719,6.2986,6.1575,1025.3416,1025.3481,1482.18,1482.22,0.0000e+00
34.000,8.5350,8.5353,3.433077,3.434434,2.4055,2.1956,21.3660,24.2909,98.90,33.711,0.664,32.4711,32.4851,6.3202,6.1721,1025.3648,1025.3757,1481.92,1481.94,0.0000e+00
35.000,8.3797,8.3803,3.421692,3.423543,2.4089,2.1995,21.2897,24.2905,98.90,34.702,0.683,32.4940,32.5129,6.3377,6.2152,1025.4106,1025.4253,1481.38,1481.41,0.0000e+00
36.000,8.3463,8.3484,3.419353,3.419883,2.4087,2.2043,21.4199,24.2905,98.90,35.693,0.523,32.4997,32.5034,6.3230,6.2265,1025.4246,1025.4272,1481.28,1481.29,0.0000e+00
37.000,8.3187,8.3221,3.417383,3.418124,2.4064,2.2045,21.3935,24.2910,98.90,36.685,0.402,32.5039,32.5086,6.3125,6.2041,1025.4366,1025.4398,1481.19,1481.21,0.0000e+00
38.000,8.2226,8.2266,3.410162,3.411157,2.4022,2.1986,21.4120,24.2912,98.90,37.676,0.439,32.5161,32.5228,6.3003,6.1791,1025.4650,1025.4697,1480.86,1480.89,0.0000e+00
39.000,8.1779,8.1794,3.406931,3.407653,2.3973,2.1933,21.3816,24.2914,98.90,38.668,0.755,32.5228,32.5291,6.2941,6.1774,1025.4814,1025.4861,1480.72,1480.73,0.0000e+00
40.000,8.1271,8.1289,3.402908,3.403585,2.3957,2.1922,21.4618,24.2912,98.90,39.659,0.618,32.5268,32.5323,6.3035,6.1901,1025.4966,1025.5007,1480.55,1480.56,0.0000e+00
41.000,8.1114,8.1165,3.401847,3.402491,2.3912,2.1896,21.4971,24.2910,98.89,40.650,0.613,32.5296,32.5317,6.2994,6.1903,1025.5057,1025.5066,1480.51,1480.53,0.0000e+00
42.000,8.0917,8.0936,3.400632,3.401062,2.3907,2.1896,21.3234,24.2909,98.71,41.642,1.034,32.5345,32.5373,6.3041,6.1951,1025.5170,1025.5189,1480.46,1480.47,0.0000e+00
43.000,8.0771,8.0791,3.400173,3.400224,2.3907,2.1894,21.4660,24.2905,98.87,42.633,0.842,32.5428,32.5415,6.3022,6.1953,1025.5302,1025.5289,1480.43,1480.43,0.0000e+00
44.000,8.0540,8.0543,3.398888,3.399554,2.3810,2.1828,21.3733,24.2905,98.90,43.624,0.661,32.5501,32.5569,6.2559,6.1537,1025.5439,1025.5492,1480.37,1480.37,0.0000e+00
45.000,7.9836,7.9846,3.393865,3.394675,2.3784,2.1793,21.3410,24.2911,98.90,44.616,1.038,32.5617,32.5694,6.2634,6.1472,1025.5678,1025.5737,1480.13,1480.14,0.0000e+00
46.000,7.9479,7.9493,3.390861,3.391401,2.3767,2.1761,21.3389,24.2908,98.90,45.607,0.813,32.5625,32.5669,6.2610,6.1400,1025.5782,1025.5815,1480.01,1480.02,0.0000e+00
47.000,7.9086,7.9143,3.387809,3.388807,2.3688,2.1686,21.4729,24.2911,98.90,46.598,0.331,32.5661,32.5715,6.2320,6.1203,1025.5913,1025.5947,1479.88,1479.91,0.0000e+00
48.000,7.8432,7.8448,3.382715,3.382992,2.3588,2.1602,21.4465,24.2904,98.90,47.590,0.646,32.5722,32.5737,6.2120,6.1040,1025.6101,1025.6111,1479.66,1479.66,0.0000e+00
49.000,7.8183,7.8192,3.381178,3.381560,2.3568,2.1578,21.4494,24.2911,84.89,48.581,0.924,32.5786,32.5818,6.2165,6.1044,1025.6233,1025.6257,1479.59,1479.59,0.0000e+00
50.000,7.7794,7.7816,3.377975,3.378507,2.3547,2.1559,21.4507,24.2911,97.60,49.572,0.679,32.5802,32.5839,6.2112,6.1077,1025.6347,1025.6373,1479.46,1479.47,0.0000e+00
