PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
2.000,14.3539,14.3497,3.923740,3.923784,2.4247,3.0978,0.1548,0.1057,2.18,1.984,0.339,32.1967,32.2006,6.2332,6.2542,1023.9573,1023.9613,1501.37,1501.36,0.0000e+00
3.000,14.3187,14.3237,3.920999,3.921711,2.4244,3.1004,0.1461,0.1402,3.25,2.976,0.439,32.2005,32.2029,6.2399,6.2662,1023.9721,1023.9729,1501.28,1501.30,0.0000e+00
4.000,14.3059,14.3016,3.919762,3.919784,2.4256,3.1007,0.1707,0.1278,70.64,3.968,0.337,32.1995,32.2033,6.2444,6.2668,1023.9785,1023.9823,1501.25,1501.24,0.0000e+00
5.000,14.2810,14.2873,3.917858,3.918575,2.4231,3.1019,0.1756,0.1325,100.22,4.959,0.638,32.2024,32.2037,6.2457,6.2762,1023.9903,1023.9900,1501.19,1501.21,0.0000e+00
6.000,14.2160,14.2139,3.912987,3.912892,2.4278,3.1016,0.1988,0.1388,98.87,5.951,0.652,32.2116,32.2125,6.2831,6.2941,1024.0154,1024.0166,1501.00,1501.00,0.0000e+00
7.000,13.9691,13.9632,3.896538,3.895038,2.4165,3.0919,0.4364,0.1791,98.75,6.943,0.519,32.2666,32.2576,6.2200,6.2903,1024.1132,1024.1074,1500.28,1500.25,0.0000e+00
8.000,14.0497,14.0123,3.900608,3.898691,2.4026,3.0986,0.5716,0.1753,98.88,7.935,1.093,32.2361,32.2498,6.2070,6.3454,1024.0776,1024.0958,1500.53,1500.42,0.0000e+00
9.000,13.9221,13.8860,3.892305,3.887416,2.4141,3.1223,0.5200,0.1841,98.88,8.927,1.148,32.2661,32.2512,6.3235,6.4255,1024.1313,1024.1272,1500.16,1500.02,0.0000e+00
10.000,12.9168,13.0133,3.818624,3.822926,2.4238,3.1243,1.1830,0.2238,98.88,9.919,0.676,32.4301,32.3881,6.4709,6.4990,1024.4631,1024.4118,1497.03,1497.30,0.0000e+00
11.000,12.8779,12.8967,3.813716,3.813941,2.4176,3.1064,1.8195,0.2426,98.88,10.911,0.826,32.4167,32.4027,6.3606,6.4433,1024.4655,1024.4510,1496.90,1496.95,0.0000e+00
12.000,12.5988,12.7036,3.792074,3.798886,2.4123,3.1024,1.9408,0.2662,98.88,11.902,0.898,32.4507,32.4253,6.4026,6.4710,1024.5504,1024.5105,1496.02,1496.34,0.0000e+00
13.000,12.2548,12.2550,3.764616,3.763657,2.4089,3.1019,2.1308,0.3142,98.88,12.894,0.683,32.4852,32.4756,6.4658,6.5393,1024.6470,1024.6393,1494.91,1494.89,0.0000e+00
14.000,12.0029,12.0475,3.744710,3.747964,2.4109,3.1005,2.5205,0.3115,94.02,13.886,0.376,32.5120,32.5046,6.4910,6.5376,1024.7197,1024.7057,1494.09,1494.24,0.0000e+00
15.000,11.9407,11.9347,3.739485,3.738509,2.3990,3.0780,2.5770,0.3309,99.03,14.878,0.702,32.5153,32.5111,6.4048,6.4602,1024.7385,1024.7364,1493.90,1493.87,0.0000e+00
16.000,11.8140,11.8750,3.729622,3.733161,2.3874,3.0585,2.6554,0.3702,98.88,15.870,0.738,32.5301,32.5111,6.3720,6.4156,1024.7779,1024.7518,1493.50,1493.68,0.0000e+00
17.000,11.5027,11.5300,3.702788,3.703712,2.3702,3.0325,3.1682,0.4610,98.88,16.862,0.481,32.5412,32.5263,6.3425,6.3914,1024.8480,1024.8315,1492.45,1492.52,0.0000e+00
18.000,11.1506,11.1637,3.672018,3.671917,2.3364,2.9842,3.3019,0.4171,67.59,17.854,0.409,32.5493,32.5367,6.2515,6.3064,1024.9223,1024.9102,1491.24,1491.27,0.0000e+00
19.000,10.9213,10.9317,3.650919,3.650831,2.3125,2.9521,3.9001,0.5789,57.24,18.845,0.698,32.5435,32.5334,6.2087,6.2701,1024.9629,1024.9532,1490.44,1490.47,0.0000e+00
