Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 20-Dec-1999 starting at 17:49:20 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
15,-124.41,1,11.167,32.427,24.747,-0.39947,-9999
15,-124.41,2,11.167,32.494,24.799,-0.35047,-9999
15,-124.41,3,11.165,32.495,24.8,-0.35022,-9999
15,-124.41,4,11.163,32.494,24.8,-0.35127,-9999
15,-124.41,5,11.162,32.494,24.8,-0.35165,-9999
15,-124.41,6,11.163,32.494,24.8,-0.35116,-9999
15,-124.41,7,11.168,32.495,24.8,-0.34954,-9999
15,-124.41,8,11.168,32.496,24.801,-0.34909,-9999
15,-124.41,9,11.168,32.496,24.801,-0.34903,-9999
15,-124.41,10,11.167,32.495,24.801,-0.34948,-9999
15,-124.41,11,11.166,32.495,24.801,-0.3497,-9999
15,-124.41,12,11.167,32.495,24.801,-0.3497,-9999
15,-124.41,13,11.167,32.495,24.801,-0.34951,-9999
15,-124.41,14,11.167,32.494,24.8,-0.35039,-9999
15,-124.41,15,11.166,32.494,24.8,-0.35065,-9999
15,-124.41,16,11.164,32.496,24.802,-0.34998,-9999
15,-124.41,17,11.164,32.495,24.801,-0.35035,-9999
15,-124.41,18,11.165,32.496,24.801,-0.35005,-9999
15,-124.41,19,11.165,32.496,24.802,-0.34993,-9999
15,-124.41,20,11.166,32.496,24.801,-0.34987,-9999
15,-124.41,21,11.165,32.496,24.802,-0.34978,-9999
15,-124.41,22,11.165,32.496,24.802,-0.35004,-9999
15,-124.41,23,11.165,32.496,24.802,-0.3499,-9999
15,-124.41,24,11.165,32.496,24.802,-0.34977,-9999
15,-124.41,25,11.165,32.496,24.802,-0.35011,-9999
15,-124.41,26,11.164,32.495,24.801,-0.3511,-9999
15,-124.41,27,11.161,32.495,24.802,-0.35152,-9999
15,-124.41,28,11.161,32.496,24.803,-0.35067,-9999
15,-124.41,29,11.162,32.495,24.802,-0.351,-9999
15,-124.41,30,11.163,32.496,24.802,-0.35039,-9999
15,-124.41,31,11.163,32.496,24.802,-0.35061,-9999
15,-124.41,32,11.162,32.496,24.802,-0.35099,-9999
15,-124.41,33,11.16,32.495,24.802,-0.35154,-9999
15,-124.41,34,11.159,32.496,24.803,-0.35106,-9999
15,-124.41,35,11.158,32.497,24.804,-0.35108,-9999
15,-124.41,36,11.157,32.497,24.804,-0.35095,-9999
15,-124.41,37,11.159,32.496,24.803,-0.35117,-9999
15,-124.41,38,11.158,32.497,24.804,-0.35101,-9999
15,-124.41,39,11.158,32.497,24.804,-0.35101,-9999
15,-124.41,40,11.158,32.497,24.804,-0.35076,-9999
15,-124.41,41,11.158,32.497,24.804,-0.35094,-9999
15,-124.41,42,11.158,32.496,24.804,-0.35146,-9999
15,-124.41,43,11.156,32.497,24.805,-0.35107,-9999
15,-124.41,44,11.156,32.497,24.805,-0.35112,-9999
15,-124.41,45,11.156,32.498,24.805,-0.35083,-9999
15,-124.41,46,11.157,32.497,24.804,-0.35129,-9999
15,-124.41,47,11.156,32.498,24.805,-0.35059,-9999
15,-124.41,48,11.157,32.497,24.805,-0.35094,-9999
15,-124.41,49,11.158,32.496,24.804,-0.3515,-9999
15,-124.41,50,11.157,32.497,24.805,-0.35094,-9999
15,-124.41,51,11.157,32.497,24.805,-0.35111,-9999
15,-124.41,52,11.157,32.498,24.805,-0.35082,-9999
15,-124.41,53,11.156,32.498,24.806,-0.35076,-9999
15,-124.41,54,11.156,32.498,24.806,-0.35062,-9999
15,-124.41,55,11.156,32.499,24.806,-0.35023,-9999
15,-124.41,56,11.155,32.499,24.807,-0.35003,-9999
15,-124.41,57,11.154,32.5,24.808,-0.34948,-9999
15,-124.41,58,11.154,32.5,24.808,-0.34929,-9999
15,-124.41,59,11.152,32.502,24.81,-0.34879,-9999
15,-124.41,60,11.15,32.503,24.811,-0.34824,-9999
15,-124.41,61,11.148,32.504,24.812,-0.34769,-9999
15,-124.41,62,11.151,32.503,24.811,-0.34817,-9999
15,-124.41,63,11.139,32.51,24.819,-0.34475,-9999
15,-124.41,64,11.093,32.527,24.84,-0.34103,-9999
15,-124.41,65,10.995,32.571,24.891,-0.32723,-9999
15,-124.41,66,10.974,32.582,24.904,-0.32344,-9999
15,-124.41,67,10.948,32.601,24.923,-0.31423,-9999
15,-124.41,68,10.911,32.627,24.95,-0.30219,-9999
15,-124.41,69,10.879,32.651,24.974,-0.29076,-9999
15,-124.41,70,10.834,32.71,25.028,-0.25593,-9999
15,-124.41,71,10.818,32.785,25.089,-0.20447,-9999
15,-124.41,72,10.816,32.814,25.112,-0.18362,-9999
15,-124.41,73,10.813,32.822,25.119,-0.17837,-9999
15,-124.41,74,10.808,32.832,25.128,-0.17152,-9999
15,-124.41,75,10.8,32.856,25.148,-0.15556,-9999
15,-124.41,76,10.775,32.876,25.168,-0.14589,-9999
15,-124.41,77,10.559,32.987,25.292,-0.10459,-9999
15,-124.41,78,10.408,33.048,25.365,-0.087726,-9999
15,-124.41,79,10.302,33.091,25.416,-0.075683,-9999
15,-124.41,80,10.184,33.093,25.438,-0.095438,-9999
15,-124.41,81,9.9159,33.23,25.59,-0.043041,-9999
15,-124.41,82,9.8062,33.284,25.65,-0.023549,-9999
15,-124.41,83,9.7338,33.313,25.685,-0.01458,-9999
15,-124.41,84,9.6997,33.329,25.704,-0.0088401,-9999
15,-124.41,85,9.6895,33.333,25.708,-0.0081411,-9999
15,-124.41,86,9.684,33.335,25.71,-0.0077129,-9999
15,-124.41,87,9.6767,33.337,25.713,-0.0073074,-9999
15,-124.41,88,9.6466,33.349,25.728,-0.0037571,-9999
15,-124.41,89,9.6338,33.343,25.725,-0.01069,-9999
15,-124.41,90,9.4679,33.384,25.784,-0.0096333,-9999
15,-124.41,91,9.2684,33.486,25.896,0.030509,-9999
10,-124.29,1,10.128,29.144,22.367,-2.9732,-9999
10,-124.29,2,10.187,29.714,22.801,-2.5493,-9999
10,-124.29,3,10.73,31.945,24.449,-0.83049,-9999
10,-124.29,4,11.116,32.46,24.782,-0.38463,-9999
10,-124.29,5,11.149,32.448,24.767,-0.38749,-9999
10,-124.29,6,11.153,32.451,24.769,-0.38409,-9999
10,-124.29,7,11.154,32.455,24.772,-0.38123,-9999
10,-124.29,8,11.155,32.456,24.772,-0.3803,-9999
10,-124.29,9,11.158,32.457,24.772,-0.37938,-9999
10,-124.29,10,11.159,32.458,24.773,-0.37831,-9999
10,-124.29,11,11.159,32.458,24.773,-0.37813,-9999
10,-124.29,12,11.161,32.457,24.772,-0.37837,-9999
10,-124.29,13,11.161,32.458,24.773,-0.37801,-9999
10,-124.29,14,11.161,32.459,24.774,-0.37706,-9999
10,-124.29,15,11.163,32.459,24.773,-0.37674,-9999
10,-124.29,16,11.162,32.46,24.774,-0.37644,-9999
10,-124.29,17,11.164,32.459,24.773,-0.37663,-9999
10,-124.29,18,11.164,32.461,24.775,-0.37514,-9999
10,-124.29,19,11.167,32.463,24.776,-0.37335,-9999
10,-124.29,20,11.169,32.464,24.776,-0.37214,-9999
10,-124.29,21,11.171,32.465,24.777,-0.37128,-9999
10,-124.29,22,11.176,32.466,24.776,-0.36978,-9999
10,-124.29,23,11.176,32.467,24.777,-0.36915,-9999
10,-124.29,24,11.176,32.468,24.778,-0.3681,-9999
10,-124.29,25,11.177,32.468,24.778,-0.36813,-9999
10,-124.29,26,11.18,32.468,24.777,-0.36787,-9999
10,-124.29,27,11.179,32.469,24.778,-0.3672,-9999
10,-124.29,28,11.181,32.47,24.779,-0.36579,-9999
