Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 23-Jun-2000 starting at 14:49:00 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
5,-124.18,1,8.3297,33.895,26.36,0.17096,-9999
5,-124.18,2,8.3161,33.884,26.354,0.16115,-9999
5,-124.18,3,8.3167,33.881,26.35,0.15841,-9999
5,-124.18,4,8.3173,33.879,26.349,0.15733,-9999
5,-124.18,5,8.2924,33.895,26.366,0.16506,-9999
5,-124.18,6,8.2146,33.929,26.404,0.17713,-9999
5,-124.18,7,7.9246,34.119,26.596,0.26786,-9999
5,-124.18,8,7.8415,34.071,26.57,0.22004,-9999
5,-124.18,9,7.8232,33.952,26.48,0.13168,-9999
5,-124.18,10,7.8158,33.896,26.436,0.089473,-9999
5,-124.18,11,7.8,33.886,26.431,0.079976,-9999
5,-124.18,12,7.789,33.886,26.433,0.078156,-9999
5,-124.18,13,7.777,33.886,26.434,0.07611,-9999
5,-124.18,14,7.7574,33.885,26.437,0.072807,-9999
5,-124.18,15,7.7347,33.889,26.443,0.071839,-9999
5,-124.18,16,7.7197,33.882,26.44,0.064502,-9999
5,-124.18,17,7.6832,33.884,26.446,0.060177,-9999
5,-124.18,18,7.652,33.888,26.454,0.058272,-9999
5,-124.18,19,7.5946,33.897,26.47,0.056226,-9999
5,-124.18,20,7.5534,33.891,26.471,0.045103,-9999
5,-124.18,21,7.4566,33.901,26.492,0.037544,-9999
5,-124.18,22,7.409,33.911,26.507,0.037695,-9999
5,-124.18,23,7.3613,33.911,26.513,0.029933,-9999
5,-124.18,24,7.2957,33.918,26.528,0.025471,-9999
5,-124.18,25,7.2059,33.922,26.544,0.014973,-9999
5,-124.18,26,7.1161,33.938,26.569,0.012979,-9999
5,-124.18,27,7.0938,33.947,26.579,0.015688,-9999
5,-124.18,28,7.0599,33.955,26.59,0.016679,-9999
5,-124.18,29,7.0461,33.955,26.592,0.01426,-9999
5,-124.18,30,7.0399,33.953,26.592,0.012463,-9999
5,-124.18,31,7.0331,33.955,26.594,0.012748,-9999
5,-124.18,32,7.0273,33.955,26.595,0.011744,-9999
5,-124.18,33,7.0186,33.955,26.596,0.01038,-9999
5,-124.18,34,7.0011,33.958,26.601,0.010379,-9999
5,-124.18,35,6.9934,33.959,26.602,0.0094558,-9999
5,-124.18,36,6.9846,33.962,26.606,0.010167,-9999
5,-124.18,37,6.9812,33.963,26.607,0.01031,-9999
