Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 25-Sep-2000 starting at 15:18:33 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
15,-124.41,1,9.8604,32.833,25.287,-0.34058,-9999
15,-124.41,2,9.7568,32.691,25.194,-0.46109,-9999
15,-124.41,3,9.7271,32.669,25.181,-0.48274,-9999
15,-124.41,4,9.6755,32.67,25.19,-0.4906,-9999
15,-124.41,5,9.5969,32.694,25.222,-0.48654,-9999
15,-124.41,6,9.4824,32.711,25.254,-0.49394,-9999
15,-124.41,7,9.4035,32.735,25.285,-0.4903,-9999
15,-124.41,8,9.3806,32.743,25.295,-0.4882,-9999
15,-124.41,9,9.3651,32.759,25.31,-0.47911,-9999
15,-124.41,10,9.3429,32.763,25.316,-0.48051,-9999
15,-124.41,11,9.3033,32.767,25.326,-0.48406,-9999
15,-124.41,12,9.2237,32.747,25.323,-0.51194,-9999
15,-124.41,13,8.9244,32.732,25.358,-0.57261,-9999
15,-124.41,14,8.7584,32.773,25.415,-0.57084,-9999
15,-124.41,15,8.8578,32.876,25.481,-0.47966,-9999
15,-124.41,16,8.9687,32.922,25.499,-0.42834,-9999
15,-124.41,17,9.0268,32.952,25.514,-0.39684,-9999
15,-124.41,18,9.0822,32.975,25.524,-0.37081,-9999
15,-124.41,19,9.111,32.988,25.529,-0.35653,-9999
15,-124.41,20,9.1411,33.001,25.534,-0.34252,-9999
15,-124.41,21,9.1867,33.027,25.548,-0.31589,-9999
15,-124.41,22,9.206,33.041,25.556,-0.30243,-9999
15,-124.41,23,9.1812,33.063,25.576,-0.29106,-9999
15,-124.41,24,8.9545,33.051,25.603,-0.33708,-9999
15,-124.41,25,8.6071,33.016,25.629,-0.42004,-9999
15,-124.41,26,8.3481,33.11,25.742,-0.39348,-9999
15,-124.41,27,8.3113,33.133,25.765,-0.38313,-9999
15,-124.41,28,8.2015,33.151,25.795,-0.38784,-9999
15,-124.41,29,8.1487,33.172,25.819,-0.38099,-9999
15,-124.41,30,8.146,33.187,25.832,-0.37002,-9999
15,-124.41,31,8.1439,33.188,25.833,-0.36993,-9999
15,-124.41,32,8.1412,33.094,25.76,-0.43814,-9999
15,-124.41,33,8.1296,33.221,25.861,-0.34823,-9999
15,-124.41,34,8.1242,33.24,25.877,-0.33545,-9999
15,-124.41,35,8.1266,33.274,25.903,-0.31039,-9999
15,-124.41,36,8.1382,33.249,25.882,-0.32689,-9999
15,-124.41,37,8.1539,32.966,25.658,-0.52828,-9999
15,-124.41,38,8.1775,32.938,25.632,-0.54527,-9999
15,-124.41,39,8.1931,32.916,25.613,-0.55834,-9999
15,-124.41,40,8.2174,32.892,25.59,-0.57219,-9999
15,-124.41,41,8.2222,32.883,25.583,-0.57765,-9999
15,-124.41,42,8.2054,32.894,25.593,-0.57274,-9999
15,-124.41,43,8.1935,32.899,25.6,-0.57051,-9999
15,-124.41,44,8.1779,32.911,25.611,-0.56454,-9999
15,-124.41,45,8.1682,32.917,25.617,-0.56182,-9999
15,-124.41,46,8.1617,32.92,25.62,-0.56097,-9999
15,-124.41,47,8.1591,32.917,25.618,-0.56349,-9999
15,-124.41,48,8.154,32.917,25.62,-0.56394,-9999
15,-124.41,49,8.1515,32.916,25.619,-0.56521,-9999
15,-124.41,50,8.149,32.915,25.619,-0.5664,-9999
15,-124.41,51,8.1433,32.917,25.621,-0.56549,-9999
15,-124.41,52,8.0909,32.963,25.665,-0.54089,-9999
15,-124.41,53,8.0559,32.993,25.694,-0.52458,-9999
