Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 10-Aug-2001 starting at 01:34:02 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
1,-124.1,1,10.586,33.675,25.821,0.40244,-9999
1,-124.1,2,10.248,33.642,25.854,0.31673,-9999
1,-124.1,3,9.9515,33.58,25.855,0.21805,-9999
1,-124.1,4,9.4646,33.66,25.998,0.19065,-9999
1,-124.1,5,9.1058,33.743,26.121,0.18984,-9999
1,-124.1,6,8.9707,33.764,26.158,0.18199,-9999
1,-124.1,7,8.9585,33.732,26.136,0.15711,-9999
1,-124.1,8,8.7584,33.743,26.175,0.13098,-9999
1,-124.1,9,8.6292,33.699,26.16,0.077928,-9999
1,-124.1,10,8.3058,33.807,26.295,0.10369,-9999
1,-124.1,11,8.2189,33.812,26.312,0.093283,-9999
1,-124.1,12,8.1255,33.812,26.326,0.078233,-9999
1,-124.1,13,8.013,33.819,26.347,0.064866,-9999
1,-124.1,14,7.9951,33.81,26.343,0.055942,-9999
1,-124.1,15,7.9563,33.824,26.36,0.059596,-9999
1,-124.1,16,7.9611,33.819,26.355,0.057004,-9999
1,-124.1,17,7.9533,33.821,26.358,0.05726,-9999
1,-124.1,18,7.9544,33.821,26.357,0.056971,-9999
1,-124.1,19,7.9479,33.823,26.36,0.057719,-9999
3,-124.13,1,9.7009,33.661,25.96,0.23296,-9999
3,-124.13,2,9.125,33.766,26.135,0.20931,-9999
3,-124.13,3,9.0024,33.723,26.121,0.15792,-9999
3,-124.13,4,8.7069,33.806,26.232,0.16803,-9999
3,-124.13,5,8.5552,33.785,26.24,0.12855,-9999
3,-124.13,6,8.4674,33.745,26.222,0.085183,-9999
3,-124.13,7,8.1974,33.798,26.304,0.079453,-9999
3,-124.13,8,7.9872,33.863,26.386,0.093239,-9999
3,-124.13,9,7.9326,33.862,26.393,0.083444,-9999
3,-124.13,10,7.8948,33.849,26.388,0.06824,-9999
3,-124.13,11,7.731,33.888,26.443,0.071011,-9999
3,-124.13,12,7.6733,33.9,26.461,0.070529,-9999
3,-124.13,13,7.6535,33.905,26.467,0.071039,-9999
3,-124.13,14,7.6478,33.899,26.463,0.065371,-9999
3,-124.13,15,7.6327,33.905,26.47,0.067764,-9999
3,-124.13,16,7.6221,33.901,26.469,0.063359,-9999
3,-124.13,17,7.5928,33.911,26.48,0.065438,-9999
3,-124.13,18,7.5758,33.911,26.483,0.063225,-9999
3,-124.13,19,7.5671,33.908,26.482,0.059694,-9999
3,-124.13,20,7.5425,33.893,26.474,0.044789,-9999
