Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 07-Nov-2001 starting at 22:53:43 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
1,-124.1,1,10.861,32.699,25.013,-0.25779,-9999
1,-124.1,2,10.831,32.701,25.019,-0.26217,-9999
1,-124.1,3,10.79,32.697,25.024,-0.2721,-9999
1,-124.1,4,10.746,32.705,25.037,-0.27496,-9999
1,-124.1,5,10.688,32.701,25.044,-0.28861,-9999
1,-124.1,6,10.645,32.708,25.057,-0.29127,-9999
1,-124.1,7,10.634,32.712,25.062,-0.2904,-9999
1,-124.1,8,10.629,32.713,25.064,-0.2903,-9999
1,-124.1,9,10.621,32.718,25.069,-0.28842,-9999
1,-124.1,10,10.61,32.73,25.081,-0.28122,-9999
1,-124.1,11,10.578,32.764,25.112,-0.2629,-9999
1,-124.1,12,10.559,32.786,25.133,-0.25011,-9999
1,-124.1,13,10.535,32.802,25.15,-0.24275,-9999
1,-124.1,14,10.494,32.833,25.18,-0.22802,-9999
1,-124.1,15,10.481,32.842,25.19,-0.2238,-9999
1,-124.1,16,10.464,32.855,25.203,-0.217,-9999
1,-124.1,17,10.446,32.866,25.215,-0.21224,-9999
1,-124.1,18,10.385,32.91,25.259,-0.19174,-9999
1,-124.1,19,10.313,32.96,25.311,-0.16828,-9999
1,-124.1,20,10.248,32.998,25.351,-0.15263,-9999
3,-124.13,1,10.85,32.587,24.928,-0.34112,-9999
3,-124.13,2,10.802,32.691,25.017,-0.2747,-9999
3,-124.13,3,10.779,32.67,25.005,-0.29399,-9999
3,-124.13,4,10.724,32.664,25.009,-0.30886,-9999
3,-124.13,5,10.683,32.654,25.009,-0.32334,-9999
3,-124.13,6,10.654,32.661,25.019,-0.3236,-9999
3,-124.13,7,10.647,32.663,25.022,-0.32355,-9999
3,-124.13,8,10.639,32.667,25.027,-0.32156,-9999
3,-124.13,9,10.625,32.665,25.027,-0.32606,-9999
3,-124.13,10,10.606,32.677,25.04,-0.32101,-9999
3,-124.13,11,10.62,32.684,25.043,-0.31333,-9999
3,-124.13,12,10.62,32.69,25.048,-0.3086,-9999
3,-124.13,13,10.62,32.694,25.051,-0.30594,-9999
3,-124.13,14,10.618,32.697,25.054,-0.3039,-9999
3,-124.13,15,10.62,32.7,25.056,-0.30174,-9999
