Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 29-Jul-2008 starting at 00:50:00 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
1,-124.1,1,11.105,33.659,25.717,0.48723,6.9602
1,-124.1,2,10.041,33.673,25.913,0.30196,7.7031
1,-124.1,3,9.1386,33.739,26.112,0.19206,7.2098
1,-124.1,4,9.0247,33.787,26.168,0.20794,6.7405
1,-124.1,5,8.7657,33.772,26.197,0.15354,5.4724
1,-124.1,6,8.3644,33.741,26.233,0.064996,4.7404
1,-124.1,7,8.0662,33.79,26.317,0.053114,3.999
1,-124.1,8,7.7667,33.86,26.416,0.056315,3.6179
1,-124.1,9,7.6754,33.875,26.44,0.052562,3.3278
1,-124.1,10,7.6151,33.878,26.451,0.045457,3.1369
1,-124.1,11,7.591,33.886,26.461,0.047406,2.9306
1,-124.1,12,7.5481,33.887,26.468,0.041715,2.7318
1,-124.1,13,7.5067,33.888,26.475,0.036129,2.5796
1,-124.1,14,7.4836,33.886,26.476,0.030765,2.4748
1,-124.1,15,7.4743,33.885,26.477,0.028738,2.4021
1,-124.1,16,7.4757,33.897,26.486,0.037567,2.3231
1,-124.1,17,7.4578,33.889,26.482,0.029042,2.2425
1,-124.1,18,7.442,33.883,26.48,0.022496,2.1862
1,-124.1,19,7.4341,33.884,26.482,0.022058,2.1356
3,-124.13,1,10.51,33.705,25.857,0.4099,9.6326
3,-124.13,2,10.491,33.696,25.854,0.40039,9.455
3,-124.13,3,10.186,33.679,25.893,0.3323,9.2143
3,-124.13,4,9.9558,33.719,25.963,0.31998,8.897
3,-124.13,5,9.7626,33.732,26.006,0.29548,8.4993
3,-124.13,6,9.6194,33.713,26.014,0.25604,7.4589
3,-124.13,7,9.1811,33.6,25.996,0.098562,6.1612
3,-124.13,8,8.5307,33.512,26.029,-0.072946,5.4972
3,-124.13,9,8.2995,33.817,26.303,0.10971,5.3529
3,-124.13,10,8.3734,33.857,26.323,0.15026,5.2326
3,-124.13,11,8.392,33.864,26.326,0.15824,4.8881
3,-124.13,12,8.2929,33.834,26.317,0.12048,4.3921
3,-124.13,13,8.0592,33.809,26.332,0.064988,3.973
3,-124.13,14,7.8523,33.783,26.343,0.014149,3.6851
3,-124.13,15,7.7324,33.797,26.371,0.0055162,3.4594
3,-124.13,16,7.6876,33.812,26.389,0.0087735,3.2912
3,-124.13,17,7.6485,33.825,26.405,0.011995,3.1778
3,-124.13,18,7.6269,33.834,26.415,0.015548,3.0854
3,-124.13,19,7.6178,33.841,26.422,0.019016,3.0004
3,-124.13,20,7.6013,33.846,26.428,0.020191,2.9347
3,-124.13,21,7.5887,33.859,26.441,0.027821,2.8735
3,-124.13,22,7.5773,33.867,26.449,0.031816,2.8089
3,-124.13,23,7.5697,33.871,26.452,0.032939,2.7183
3,-124.13,24,7.549,33.881,26.463,0.037165,2.6198
3,-124.13,25,7.5174,33.88,26.467,0.03187,2.5308
3,-124.13,26,7.4755,33.883,26.476,0.027537,2.4785
3,-124.13,27,7.4625,33.889,26.482,0.029857,2.4465
3,-124.13,28,7.4617,33.889,26.482,0.029795,2.4098
3,-124.13,29,7.4581,33.896,26.488,0.033768,2.3769
3,-124.13,30,7.4434,33.898,26.492,0.033457,2.3428
3,-124.13,31,7.4271,33.901,26.496,0.032555,2.3142
3,-124.13,32,7.4215,33.903,26.499,0.033356,2.2975
3,-124.13,33,7.4203,33.907,26.502,0.036265,2.2821
3,-124.13,34,7.4234,33.91,26.504,0.039038,2.267
3,-124.13,35,7.4258,33.91,26.504,0.0394,2.2576
3,-124.13,36,7.426,33.91,26.503,0.03885,2.245
3,-124.13,37,7.425,33.909,26.503,0.038551,2.2312
3,-124.13,38,7.4247,33.91,26.505,0.039365,2.2223
3,-124.13,39,7.4255,33.912,26.506,0.040491,2.2153
3,-124.13,40,7.4271,33.91,26.504,0.03958,2.2083
3,-124.13,41,7.427,33.91,26.504,0.039197,2.1989
3,-124.13,42,7.4275,33.91,26.504,0.039551,2.1918
3,-124.13,43,7.4285,33.91,26.504,0.039409,2.186
3,-124.13,44,7.4276,33.91,26.504,0.039767,2.1721
3,-124.13,45,7.4266,33.911,26.505,0.040183,2.172
5,-124.18,1,11.549,33.452,25.475,0.42079,8.0825
5,-124.18,2,10.44,33.452,25.673,0.21319,8.3808
5,-124.18,3,10.087,33.496,25.767,0.18109,8.221
5,-124.18,4,9.768,33.532,25.848,0.15083,8.0858
5,-124.18,5,9.6429,33.555,25.887,0.14552,8.1102
5,-124.18,6,9.6341,33.597,25.921,0.17495,8.1426
5,-124.18,7,9.6667,33.623,25.936,0.1992,8.2469
5,-124.18,8,9.694,33.658,25.959,0.22943,8.2946
5,-124.18,9,9.748,33.691,25.976,0.26269,7.6779
5,-124.18,10,9.4797,33.633,25.975,0.17399,7.036
5,-124.18,11,9.103,33.645,26.045,0.11825,6.5534
5,-124.18,12,8.9043,33.671,26.096,0.1036,6.2228
5,-124.18,13,8.7579,33.703,26.144,0.10198,5.9383
5,-124.18,14,8.6412,33.738,26.19,0.10833,5.5919
5,-124.18,15,8.5316,33.749,26.215,0.097897,5.1859
5,-124.18,16,8.4141,33.733,26.22,0.067367,4.9453
5,-124.18,17,8.3428,33.745,26.24,0.0646,4.7474
5,-124.18,18,8.2704,33.787,26.284,0.083085,4.5648
5,-124.18,19,8.2207,33.79,26.294,0.077449,4.3504
5,-124.18,20,8.1416,33.776,26.294,0.054143,4.0538
5,-124.18,21,7.9968,33.771,26.313,0.028097,3.7103
5,-124.18,22,7.866,33.77,26.331,0.0066354,3.4576
