Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 16-Jan-2014 starting at 21:10:00 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
1,-124.1,1,9.0322,32.781,25.379,-0.51958,6.1719
1,-124.1,2,9.0343,32.782,25.38,-0.51802,6.157
1,-124.1,3,9.027,32.798,25.394,-0.50789,6.1893
1,-124.1,4,9.0122,32.803,25.4,-0.50668,6.2035
1,-124.1,5,8.9693,32.809,25.411,-0.50992,6.2197
1,-124.1,6,8.94,32.812,25.418,-0.51255,6.1957
1,-124.1,7,8.9197,32.819,25.427,-0.51043,6.1822
1,-124.1,8,8.9229,32.824,25.43,-0.50681,6.1867
1,-124.1,9,8.9279,32.827,25.432,-0.50339,6.1593
1,-124.1,10,8.9315,32.829,25.433,-0.50116,6.1464
1,-124.1,11,8.9361,32.834,25.436,-0.49688,6.1456
1,-124.1,12,8.944,32.845,25.443,-0.48829,6.1371
1,-124.1,13,8.9521,32.854,25.449,-0.48017,6.1181
1,-124.1,14,8.9655,32.866,25.456,-0.46944,6.0981
1,-124.1,15,8.9972,32.898,25.477,-0.44067,6.0604
1,-124.1,16,9.0015,32.908,25.483,-0.43318,6.036
1,-124.1,17,8.9975,32.91,25.486,-0.43229,6.0148
1,-124.1,18,8.9965,32.911,25.487,-0.43169,6.0464
1,-124.1,19,8.9961,32.911,25.487,-0.43142,6.0595
1,-124.1,20,8.995,32.912,25.488,-0.43106,6.0584
1,-124.1,21,8.9923,32.914,25.489,-0.43044,6.0237
1,-124.1,22,8.9898,32.915,25.491,-0.42978,6.0149
1,-124.1,23,8.9849,32.916,25.492,-0.43032,6.0135
1,-124.1,24,8.9761,32.916,25.494,-0.43151,6.0383
1,-124.1,25,8.9724,32.915,25.494,-0.43265,6.0189
1,-124.1,26,8.9694,32.915,25.494,-0.4336,5.99
3,-124.13,1,8.937,32.731,25.355,-0.57157,6.3831
3,-124.13,2,8.8831,32.734,25.365,-0.57839,6.3772
3,-124.13,3,8.8677,32.736,25.369,-0.57943,6.3836
3,-124.13,4,8.8601,32.743,25.376,-0.57528,6.3784
3,-124.13,5,8.8552,32.75,25.382,-0.57154,6.3773
3,-124.13,6,8.8604,32.763,25.392,-0.56116,6.3624
3,-124.13,7,8.8734,32.777,25.401,-0.54869,6.3475
3,-124.13,8,8.884,32.786,25.406,-0.54045,6.3026
3,-124.13,9,8.9063,32.807,25.419,-0.52159,6.2652
3,-124.13,10,8.9511,32.852,25.448,-0.48162,6.212
3,-124.13,11,8.9693,32.877,25.464,-0.46039,6.1715
3,-124.13,12,8.9831,32.9,25.48,-0.4417,6.1367
3,-124.13,13,8.9799,32.915,25.492,-0.43154,6.1425
3,-124.13,14,8.9766,32.919,25.496,-0.42872,6.1196
3,-124.13,15,8.9724,32.925,25.502,-0.42503,6.104
3,-124.13,16,8.9639,32.942,25.516,-0.41453,6.0429
3,-124.13,17,8.9525,32.954,25.527,-0.40806,6.0451
3,-124.13,18,8.9436,32.966,25.538,-0.40023,6.056
3,-124.13,19,8.9396,32.971,25.542,-0.39796,6.0255
3,-124.13,20,8.9381,32.972,25.544,-0.397,6.0318
3,-124.13,21,8.9344,32.976,25.547,-0.39503,6.0373
3,-124.13,22,8.9301,32.98,25.551,-0.39257,6.0056
3,-124.13,23,8.9289,32.981,25.552,-0.39228,6.0182
3,-124.13,24,8.9285,32.981,25.553,-0.392,5.9818
3,-124.13,25,8.9277,32.982,25.553,-0.3915,6.0011
3,-124.13,26,8.9261,32.985,25.555,-0.39019,6.0205
3,-124.13,27,8.9173,32.99,25.561,-0.38761,5.9862
3,-124.13,28,8.9151,32.991,25.562,-0.3872,5.9914
3,-124.13,29,8.9135,32.994,25.565,-0.3856,5.9707
3,-124.13,30,8.9113,33,25.57,-0.38134,6.0126
3,-124.13,31,8.9093,33.006,25.575,-0.3777,6.0078
3,-124.13,32,8.9044,33.014,25.582,-0.37259,5.9938
3,-124.13,33,8.8978,33.022,25.589,-0.36797,5.9792
3,-124.13,34,8.8859,33.034,25.6,-0.36133,5.9648
3,-124.13,35,8.8685,33.048,25.614,-0.35409,5.9401
3,-124.13,36,8.861,33.054,25.62,-0.35077,5.9223
3,-124.13,37,8.8592,33.056,25.622,-0.34992,5.9131
3,-124.13,38,8.8575,33.057,25.623,-0.34927,5.9408
3,-124.13,39,8.8551,33.059,25.625,-0.34851,5.9388
3,-124.13,40,8.8314,33.064,25.633,-0.34838,5.9082
3,-124.13,41,8.8107,33.075,25.644,-0.34413,5.9074
3,-124.13,42,8.7971,33.082,25.652,-0.34089,5.8956
3,-124.13,43,8.7848,33.091,25.661,-0.33692,5.8551
3,-124.13,44,8.769,33.103,25.672,-0.33099,5.7911
3,-124.13,45,8.7618,33.107,25.677,-0.329,5.7863
3,-124.13,46,8.7583,33.109,25.679,-0.32807,5.7568
3,-124.13,47,8.7542,33.112,25.682,-0.32687,5.7474
5,-124.18,1,8.9151,32.742,25.367,-0.56716,6.4006
5,-124.18,2,8.8764,32.743,25.374,-0.57269,6.4075
5,-124.18,3,8.8517,32.746,25.38,-0.57483,6.4039
5,-124.18,4,8.8334,32.751,25.386,-0.57424,6.3708
5,-124.18,5,8.8108,32.764,25.401,-0.56806,6.3522
5,-124.18,6,8.7996,32.775,25.411,-0.56196,6.3424
5,-124.18,7,8.778,32.803,25.436,-0.54563,6.285
