Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 31-Mar-2014 starting at 18:35:00 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
15,-124.41,1,10.659,32.219,24.675,-0.64393,6.3861
15,-124.41,2,10.614,32.216,24.68,-0.65437,6.4053
15,-124.41,3,10.576,32.218,24.688,-0.6597,6.4141
15,-124.41,4,10.55,32.219,24.693,-0.66434,6.3907
15,-124.41,5,10.525,32.219,24.697,-0.66829,6.4279
15,-124.41,6,10.517,32.219,24.698,-0.67007,6.419
15,-124.41,7,10.505,32.22,24.702,-0.67143,6.4054
15,-124.41,8,10.499,32.221,24.703,-0.67217,6.415
15,-124.41,9,10.492,32.221,24.705,-0.67305,6.4056
15,-124.41,10,10.486,32.222,24.707,-0.67319,6.4214
15,-124.41,11,10.482,32.223,24.708,-0.67367,6.4229
15,-124.41,12,10.481,32.223,24.708,-0.67388,6.4097
15,-124.41,13,10.477,32.223,24.709,-0.67409,6.3973
15,-124.41,14,10.474,32.224,24.71,-0.67432,6.4187
15,-124.41,15,10.472,32.224,24.711,-0.67444,6.4152
15,-124.41,16,10.469,32.225,24.711,-0.67458,6.4316
15,-124.41,17,10.464,32.227,24.714,-0.67417,6.4251
15,-124.41,18,10.462,32.228,24.715,-0.6741,6.4099
15,-124.41,19,10.457,32.229,24.717,-0.67358,6.3873
15,-124.41,20,10.453,32.231,24.719,-0.67343,6.4115
15,-124.41,21,10.451,32.231,24.719,-0.67369,6.4138
15,-124.41,22,10.447,32.232,24.721,-0.67334,6.4012
15,-124.41,23,10.444,32.234,24.722,-0.67301,6.3733
15,-124.41,24,10.441,32.235,24.724,-0.67291,6.4219
15,-124.41,25,10.435,32.237,24.726,-0.67239,6.4087
15,-124.41,26,10.432,32.238,24.728,-0.67235,6.4403
15,-124.41,27,10.427,32.239,24.73,-0.6723,6.4213
15,-124.41,28,10.413,32.242,24.734,-0.67279,6.4438
15,-124.41,29,10.409,32.243,24.736,-0.67293,6.4293
15,-124.41,30,10.405,32.243,24.737,-0.67295,6.4549
15,-124.41,31,10.398,32.247,24.741,-0.67182,6.4797
15,-124.41,32,10.384,32.255,24.749,-0.66857,6.49
15,-124.41,33,10.377,32.257,24.752,-0.66846,6.4692
15,-124.41,34,10.371,32.257,24.753,-0.66953,6.5009
