Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 24-Oct-2019 starting at 22:28:00 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
1,-124.1,1,13.041,32.286,24.289,-0.13578,5.9284
1,-124.1,2,13.031,32.308,24.307,-0.12189,6.1253
1,-124.1,3,13.031,32.307,24.306,-0.12285,6.0728
1,-124.1,4,13.028,32.293,24.297,-0.13367,6.0347
1,-124.1,5,12.986,32.292,24.304,-0.14293,5.9909
1,-124.1,6,12.946,32.3,24.318,-0.14521,5.9471
1,-124.1,7,12.906,32.305,24.329,-0.15004,5.913
1,-124.1,8,12.868,32.319,24.348,-0.14714,5.9218
1,-124.1,9,12.857,32.326,24.356,-0.14419,5.9197
1,-124.1,10,12.853,32.325,24.355,-0.14592,5.8932
1,-124.1,11,12.846,32.326,24.357,-0.14697,5.8314
1,-124.1,12,12.837,32.327,24.361,-0.14742,5.7734
1,-124.1,13,12.827,32.329,24.363,-0.14858,5.7411
1,-124.1,14,12.817,32.331,24.367,-0.14872,5.6997
1,-124.1,15,12.807,32.335,24.372,-0.14793,5.683
1,-124.1,16,12.801,32.339,24.376,-0.14671,5.6698
1,-124.1,17,12.795,32.34,24.378,-0.14698,5.5604
1,-124.1,18,12.781,32.332,24.375,-0.1555,5.4183
1,-124.1,19,12.672,32.344,24.405,-0.16912,5.2388
1,-124.1,20,12.517,32.376,24.459,-0.17651,5.1696
1,-124.1,21,12.406,32.44,24.53,-0.15178,5.1678
1,-124.1,22,12.352,32.461,24.557,-0.14729,5.143
1,-124.1,23,12.308,32.474,24.575,-0.14637,5.136
3,-124.13,1,12.778,32.124,24.214,-0.30809,6.4009
3,-124.13,2,12.778,32.128,24.217,-0.30518,6.3898
3,-124.13,3,12.779,32.134,24.222,-0.30086,6.3642
3,-124.13,4,12.776,32.152,24.236,-0.28797,6.2749
3,-124.13,5,12.769,32.176,24.257,-0.27163,6.1527
3,-124.13,6,12.742,32.226,24.301,-0.24052,6.1006
3,-124.13,7,12.703,32.261,24.335,-0.22303,6.0669
3,-124.13,8,12.685,32.285,24.357,-0.2092,6.0608
3,-124.13,9,12.69,32.29,24.36,-0.20432,6.0285
3,-124.13,10,12.698,32.307,24.372,-0.19041,5.9629
3,-124.13,11,12.72,32.325,24.381,-0.173,5.9387
3,-124.13,12,12.736,32.324,24.377,-0.17055,5.9201
3,-124.13,13,12.731,32.331,24.384,-0.16634,5.874
3,-124.13,14,12.731,32.348,24.397,-0.1542,5.8443
3,-124.13,15,12.734,32.349,24.398,-0.15217,5.8437
3,-124.13,16,12.738,32.356,24.402,-0.14651,5.8246
3,-124.13,17,12.749,32.361,24.403,-0.14087,5.8105
3,-124.13,18,12.758,32.365,24.405,-0.13593,5.8004
3,-124.13,19,12.765,32.364,24.403,-0.13543,5.7965
3,-124.13,20,12.765,32.364,24.403,-0.13528,5.7929
3,-124.13,21,12.76,32.362,24.403,-0.13756,5.7915
3,-124.13,22,12.749,32.362,24.404,-0.14029,5.7766
3,-124.13,23,12.739,32.363,24.407,-0.14177,5.7805
3,-124.13,24,12.731,32.362,24.408,-0.14343,5.7814
3,-124.13,25,12.724,32.362,24.409,-0.14522,5.7933
3,-124.13,26,12.716,32.361,24.41,-0.14746,5.7976
