Newport Hydrographic Line (44.65oN) CTD+DO station data collected on 04-May-2021 starting at 16:44:00 UTC
NHL station number, longitude (degW), pressure (dbar),temperature (degC), practical salinity, potential density (kg/m^3), spiciness (kg/m^3), dissolved oxygen (ml/L)
1,-124.1,1,10.189,32.965,25.335,-0.18633,6.4511
1,-124.1,2,10.178,32.907,25.292,-0.23066,6.3428
1,-124.1,3,10.147,32.916,25.304,-0.22946,6.3261
1,-124.1,4,10.106,32.926,25.319,-0.22951,6.251
1,-124.1,5,10.019,32.949,25.351,-0.22853,6.1352
1,-124.1,6,9.7584,33.017,25.448,-0.22471,5.7314
1,-124.1,7,9.3915,33.126,25.592,-0.20881,5.3366
1,-124.1,8,9.2587,33.169,25.647,-0.20028,5.2694
1,-124.1,9,9.2464,33.183,25.66,-0.19239,5.188
1,-124.1,10,9.2109,33.206,25.684,-0.18191,4.9953
1,-124.1,11,9.1713,33.226,25.706,-0.174,4.6843
1,-124.1,12,9.0998,33.267,25.749,-0.15661,4.3544
1,-124.1,13,9.0137,33.308,25.794,-0.14141,4.1512
1,-124.1,14,8.942,33.34,25.831,-0.12969,4.0406
1,-124.1,15,8.8671,33.375,25.87,-0.11729,3.9125
1,-124.1,16,8.7874,33.413,25.912,-0.10319,3.6852
1,-124.1,17,8.7087,33.451,25.954,-0.088653,3.5085
1,-124.1,18,8.6558,33.475,25.981,-0.079882,3.3788
1,-124.1,19,8.5879,33.507,26.016,-0.067904,3.0982
3,-124.13,2,10.135,32.425,24.923,-0.5885,6.1127
3,-124.13,3,10.124,32.429,24.928,-0.58775,6.0677
3,-124.13,4,10.108,32.435,24.936,-0.58594,6.0798
3,-124.13,5,10.061,32.451,24.956,-0.5821,5.9287
3,-124.13,6,9.8359,32.548,25.069,-0.55165,5.732
3,-124.13,7,9.7499,32.583,25.111,-0.54077,5.6653
3,-124.13,8,9.5937,32.659,25.195,-0.5126,5.2237
3,-124.13,9,9.1293,32.935,25.484,-0.39203,4.8573
3,-124.13,10,8.9705,33.044,25.595,-0.33959,4.7329
3,-124.13,11,8.946,33.083,25.629,-0.31561,4.7708
3,-124.13,12,8.9611,33.125,25.66,-0.28237,4.7678
3,-124.13,13,8.9085,33.181,25.712,-0.25069,4.6964
3,-124.13,14,8.8726,33.232,25.757,-0.21991,4.5871
3,-124.13,15,8.8747,33.309,25.817,-0.16394,4.5491
3,-124.13,16,8.8857,33.338,25.838,-0.14094,4.5003
3,-124.13,17,8.8815,33.345,25.844,-0.13689,4.5109
3,-124.13,18,8.8781,33.347,25.846,-0.13604,4.4764
3,-124.13,19,8.8744,33.349,25.849,-0.13488,4.4753
3,-124.13,20,8.8659,33.353,25.853,-0.13358,4.3872
3,-124.13,21,8.8144,33.369,25.874,-0.13005,4.2444
3,-124.13,22,8.7251,33.381,25.897,-0.13635,3.9101
3,-124.13,23,8.6396,33.398,25.924,-0.13798,3.766
3,-124.13,24,8.5928,33.415,25.944,-0.13343,3.7258
3,-124.13,25,8.6216,33.433,25.954,-0.11586,3.867
3,-124.13,26,8.6659,33.447,25.958,-0.098204,3.9682
3,-124.13,27,8.6399,33.458,25.971,-0.094532,3.7234
3,-124.13,28,8.5511,33.502,26.018,-0.077479,3.2722
3,-124.13,29,8.3782,33.578,26.104,-0.050573,2.9922
3,-124.13,30,8.217,33.609,26.153,-0.054186,2.6182
3,-124.13,31,8.1302,33.63,26.182,-0.053165,2.5378
3,-124.13,32,8.0873,33.647,26.202,-0.047281,2.453
3,-124.13,33,8.0687,33.661,26.215,-0.040635,2.444
3,-124.13,34,8.0416,33.677,26.232,-0.033097,2.2735
3,-124.13,35,7.9724,33.721,26.277,-0.012211,2.1023
3,-124.13,36,7.8639,33.781,26.34,0.013873,1.971
3,-124.13,37,7.7948,33.808,26.371,0.022326,1.936
