stationid,latitude,longitude
A-02,55.000411666666665,-166.92577001633987
A-03,55.00377942857143,-166.32419296825395
A-04,54.996570537520626,-165.75120729498775
A-05,54.99640466998444,-165.15263289076265
A-06,55.03919672278121,-164.57680586383236
AA-01,63.67256589285714,-168.28121529761904
AA-02,63.670366,-167.54281177777779
AA-03,63.675005311594205,-166.7917645652174
AA-04,63.672284771241834,-166.08624333333333
AA-05,63.66410208333333,-165.35699541666665
AA-06,63.6755,-164.6511766666667
AA-07,63.670297,-163.866395
AA-08,63.654323636363635,-163.06634
AA-10,63.65247,-161.56823
AA-18,63.67842669103314,-168.99080020467835
AA-19,63.661654166666665,-169.71187583333335
AA-21,63.69997166666667,-171.044295
AA-22,63.65011855555555,-172.04994269444444
AA-23,63.66197982905983,-172.70959350783477
AZ0504,54.831568397530866,-165.51020665784833
B-01,55.33679535146634,-167.54712487225194
B-02,55.33030213983051,-166.9702363996479
B-03,55.342038314028315,-166.3529836057486
B-04,55.33064587195484,-165.78741745989305
B-05,55.32838589458428,-165.16655912147982
B-06,55.340996502611944,-164.556163680991
B-07,55.33629902312038,-164.0243206023605
B-08,55.34443899887425,-163.4138205190814
BB-01,64.00800708130082,-168.3086391077236
BB-02,64.02016333333333,-167.5656072777778
BB-03,64.00827306372548,-166.80701090686276
BB-04,64.00477730434783,-166.056659942029
BB-05,64.023271,-165.320315
BB-06,64.00356916666667,-164.56654500000002
BB-07,63.99868,-163.86121
BB-08,63.97936,-163.04557
BB-09,64.009195,-162.3235075
BB-10,64.01371,-161.53088
BB-18,64.0063737037037,-169.06038337962963
BB-19,63.98212615384615,-169.77625461538463
BB-20,63.99231,-170.560249
BB-21,64.02325692307693,-171.3166635897436
BB-22,64.00420206896553,-171.95402448275863
C-01,55.66023585559427,-167.58466940680518
C-02,55.66675985602504,-166.98573685080856
C-03,55.669280041331184,-166.3874009125067
C-04,55.67178572419421,-165.79890932884538
C-05,55.65549951551303,-165.1816571426884
C-06,55.66144590098463,-164.58813333495257
C-07,55.68536695252736,-164.0006264084419
C-08,55.67212034402783,-163.40222771574267
C-09,55.671870863455155,-162.82282718256687
