"","prop_positive","prop_zero","prop_no_lengths","total_n_hauls","region","species"
"1",0.464325797659131,0.535674202340869,0.261183261183261,6237,"BC","walleye pollock"
"2",0.969443484272382,0.0305565157276184,0.448600069132389,14465,"EBS","walleye pollock"
"3",0.721315529179031,0.278684470820969,0.521430926475437,12132,"GOA","walleye pollock"
"4",0.86013986013986,0.13986013986014,0.141608391608392,572,"NBS","walleye pollock"
"5",0.0502405130946018,0.949759486905398,0.0502405130946018,1871,"NWFSC.Combo","walleye pollock"
"6",0.562900128040973,0.437099871959027,0.197663252240717,6248,"BC","sablefish"
"7",0.0192879363982026,0.980712063601797,0.991012789491877,14465,"EBS","sablefish"
"8",0.461874536311928,0.538125463688072,0.714203280850713,12131,"GOA","sablefish"
"9",0,1,1,572,"NBS","sablefish"
"10",0.680919294494923,0.319080705505077,0.00534473543559594,1871,"NWFSC.Combo","sablefish"
"11",0.75264338353092,0.24735661646908,0.398269785325216,6242,"BC","dover sole"
"12",0.00871068095402696,0.991289319045973,0.993847217421362,14465,"EBS","dover sole"
"13",0.504203758654797,0.495796241345203,0.681915595120343,12132,"GOA","dover sole"
"14",0,1,1,572,"NBS","dover sole"
"15",0.865312667022982,0.134687332977018,0.00374131480491716,1871,"NWFSC.Combo","dover sole"
"16",0.42724358974359,0.57275641025641,0.129967948717949,6240,"BC","petrale sole"
"17",0,1,1,14465,"EBS","petrale sole"
"18",0.0305828043854587,0.969417195614541,0.976341604154645,12131,"GOA","petrale sole"
"19",0,1,1,572,"NBS","petrale sole"
"20",0.5793693212186,0.4206306787814,0.00213789417423838,1871,"NWFSC.Combo","petrale sole"
"21",0.524763583907678,0.475236416092322,0.118769033498958,6239,"BC","pacific cod"
"22",0.959488420324922,0.0405115796750778,0.452471482889734,14465,"EBS","pacific cod"
"23",0.644741180349489,0.355258819650511,0.591328717441477,12132,"GOA","pacific cod"
"24",0.697552447552448,0.302447552447552,0.304195804195804,572,"NBS","pacific cod"
"25",0.241582041688936,0.758417958311064,0.00534473543559594,1871,"NWFSC.Combo","pacific cod"
"26",0.030623697290364,0.969376302709636,0.00513067179733846,6237,"BC","longspine thornyhead"
"27",0,1,1,14465,"EBS","longspine thornyhead"
"28",0.00799604319511994,0.99200395680488,0.992168823674883,12131,"GOA","longspine thornyhead"
"29",0,1,1,572,"NBS","longspine thornyhead"
"30",0.270443613041154,0.729556386958846,0.00374131480491716,1871,"NWFSC.Combo","longspine thornyhead"
"31",0.39375,0.60625,0.123076923076923,6240,"BC","shortspine thornyhead"
"32",0,1,1,14465,"EBS","shortspine thornyhead"
"33",0.256285549418844,0.743714450581156,0.829033055807435,12131,"GOA","shortspine thornyhead"
"34",0,1,1,572,"NBS","shortspine thornyhead"
"35",0.430785676109033,0.569214323890967,0.00267236771779797,1871,"NWFSC.Combo","shortspine thornyhead"
"36",0.404903060406986,0.595096939593014,0.00849222880948566,6241,"BC","pacific halibut"
"37",0.679953025697707,0.320046974302293,0.579718154186239,14476,"EBS","pacific halibut"
"38",0.762344406891435,0.237655593108565,0.486851867117303,12131,"GOA","pacific halibut"
"39",0,0,1,28864,"IPHC","pacific halibut"
"40",0.344405594405594,0.655594405594406,0.655594405594406,572,"NBS","pacific halibut"
"41",0.216996258685195,0.783003741314805,1,1871,"NWFSC.Combo","pacific halibut"
"42",0.198653198653199,0.801346801346801,0.0822510822510823,6237,"BC","canary rockfish"
"43",0,1,1,14465,"EBS","canary rockfish"
"44",0.00651224136509768,0.993487758634902,0.994889127029923,12131,"GOA","canary rockfish"
"45",0,1,1,572,"NBS","canary rockfish"
"46",0.177445216461785,0.822554783538215,0,1871,"NWFSC.Combo","canary rockfish"
"47",0.357383357383357,0.642616642616643,0.0631713965047298,6237,"BC","lingcod"
"48",0,1,1,14465,"EBS","lingcod"
"49",0.117550078311763,0.882449921688237,0.916082763168741,12131,"GOA","lingcod"
"50",0,1,1,572,"NBS","lingcod"
"51",0.415285943345804,0.584714056654196,0.00213789417423838,1871,"NWFSC.Combo","lingcod"
"52",0.11367644700978,0.88632355299022,0.0570787237453904,6237,"BC","darkblotched rockfish"
"53",0.000138264777048047,0.999861735222952,1,14465,"EBS","darkblotched rockfish"
"54",0.00832577693512489,0.991674223064875,0.993899925809908,12131,"GOA","darkblotched rockfish"
"55",0,1,1,572,"NBS","darkblotched rockfish"
"56",0.26349545697488,0.73650454302512,0.00106894708711919,1871,"NWFSC.Combo","darkblotched rockfish"
"57",0.854353393085788,0.145646606914213,0.393565941101152,6248,"BC","arrowtooth flounder"
"58",0.499688904251642,0.500311095748358,0.688212927756654,14465,"EBS","arrowtooth flounder"
"59",0.901739345478526,0.0982606545214739,0.394526419915918,12131,"GOA","arrowtooth flounder"
"60",0.0297202797202797,0.97027972027972,0.97027972027972,572,"NBS","arrowtooth flounder"
"61",0.653661143773383,0.346338856226617,0.00374131480491716,1871,"NWFSC.Combo","arrowtooth flounder"
"62",0.363141025641026,0.636858974358974,0.224839743589744,6240,"BC","pacific hake"
"63",0,1,1,14465,"EBS","pacific hake"
